,aljazeera,alternet,americanconservative,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,eff,federalist,fox,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,techcrunch,time,usatoday,verge,vice,vox,wapo,wsj
aljazeera,,12.282782477545197,12.168365982261195,11.173768283797228,11.894919931202589,18.471898084927844,12.588545082917172,14.380848642817515,12.950277288824989,12.638560026810554,9.821364068795535,12.551730430030187,12.618999363995737,10.581584100447184,9.251971547599247,12.13140728336024,15.368366172949893,11.464783668747272,14.19243722907824,10.793365658917091,14.225137840859533,13.386412306757192,10.052845679781509,14.430966024942474,9.434920494237156,13.768075121666454,14.435085464028608,13.14124693133817,14.620486369671324,12.565491346966901,15.507173939513219,11.19652737152709,11.65236253265806,8.121312837992974,11.080965947044486,12.441514662544364,13.72453546497739,11.04628097444031,16.919340511874516,7.6962844717104355,11.695163481366423,10.383563116805506,16.58544159941084,14.512969879334237,7.667392836799148,12.060041467867968,16.749399189490966
alternet,12.282782477545197,,18.471898084927844,12.588545082917172,14.380848642817515,12.950277288824989,12.638560026810554,9.821364068795535,12.551730430030187,12.618999363995737,10.581584100447184,9.251971547599247,12.13140728336024,15.368366172949893,11.464783668747272,14.19243722907824,10.793365658917091,14.225137840859533,13.386412306757192,10.052845679781509,14.430966024942474,9.434920494237156,13.768075121666454,14.435085464028608,13.14124693133817,14.620486369671324,12.565491346966901,15.507173939513219,11.19652737152709,12.30693240071978,8.908215905138196,12.014226377772781,12.441514662544364,13.72453546497739,11.04628097444031,16.919340511874516,7.6962844717104355,11.577642919920313,9.856165751319399,16.11861545810441,14.512969879334237,7.954651407121626,11.921758275342247,15.396743951904078,12.783532393984244,14.706460215432914,11.716964789291435
americanconservative,12.168365982261195,18.471898084927844,,12.950277288824989,12.638560026810554,9.821364068795535,12.551730430030187,12.618999363995737,10.581584100447184,9.251971547599247,12.13140728336024,15.368366172949893,11.464783668747272,14.19243722907824,10.793365658917091,14.225137840859533,13.386412306757192,10.052845679781509,14.430966024942474,9.434920494237156,13.768075121666454,14.435085464028608,13.14124693133817,14.620486369671324,12.565491346966901,15.507173939513219,11.19652737152709,12.30693240071978,8.908215905138196,12.014226377772781,12.819465036793064,14.32100430714618,11.04628097444031,16.919340511874516,7.6962844717104355,11.577642919920313,9.856165751319399,16.11861545810441,13.933695190626995,7.510179935725001,11.921758275342247,15.396743951904078,12.95659116201414,15.217442401345975,12.455965940757013,15.411744116170171,17.470840064148625
ap,11.173768283797228,12.588545082917172,12.950277288824989,,9.821364068795535,12.551730430030187,12.618999363995737,10.581584100447184,9.251971547599247,12.13140728336024,15.368366172949893,11.464783668747272,14.19243722907824,10.793365658917091,14.225137840859533,13.386412306757192,10.052845679781509,14.430966024942474,9.434920494237156,13.768075121666454,14.435085464028608,13.14124693133817,14.620486369671324,12.565491346966901,15.507173939513219,11.19652737152709,12.30693240071978,8.908215905138196,12.014226377772781,12.819465036793064,14.32100430714618,11.491198585922245,16.919340511874516,7.6962844717104355,11.577642919920313,9.856165751319399,16.11861545810441,13.933695190626995,7.510179935725001,11.373249876183465,15.396743951904078,12.95659116201414,15.217442401345975,12.654222128265928,15.910843319742048,17.647717134584894,17.17292908851475
atlantic,11.894919931202589,14.380848642817515,12.638560026810554,9.821364068795535,,12.551730430030187,12.618999363995737,10.581584100447184,9.251971547599247,12.13140728336024,15.368366172949893,11.464783668747272,14.19243722907824,10.793365658917091,14.225137840859533,13.386412306757192,10.052845679781509,14.430966024942474,9.434920494237156,13.768075121666454,14.435085464028608,13.14124693133817,14.620486369671324,12.565491346966901,15.507173939513219,11.19652737152709,12.30693240071978,8.908215905138196,12.014226377772781,12.819465036793064,14.32100430714618,11.491198585922245,16.919340511874516,7.6962844717104355,11.577642919920313,9.856165751319399,16.11861545810441,13.933695190626995,7.510179935725001,11.373249876183465,15.396743951904078,12.95659116201414,15.217442401345975,12.654222128265928,15.910843319742048,17.647717134584894,17.17292908851475
bbc,18.471898084927844,12.950277288824989,9.821364068795535,12.551730430030187,12.551730430030187,,12.551730430030187,12.618999363995737,10.581584100447184,9.251971547599247,12.13140728336024,15.368366172949893,11.464783668747272,14.19243722907824,10.793365658917091,14.225137840859533,13.386412306757192,10.052845679781509,14.430966024942474,9.434920494237156,13.768075121666454,14.435085464028608,13.14124693133817,14.620486369671324,12.565491346966901,15.507173939513219,11.19652737152709,12.30693240071978,8.908215905138196,12.014226377772781,12.819465036793064,14.32100430714618,11.04628097444031,16.919340511874516,7.6962844717104355,11.577642919920313,9.856165751319399,16.11861545810441,13.933695190626995,7.510179935725001,11.921758275342247,15.396743951904078,12.95659116201414,15.217442401345975,12.455965940757013,15.411744116170171,17.470840064148625
breitbart,12.588545082917172,12.638560026810554,12.551730430030187,12.618999363995737,12.618999363995737,12.551730430030187,,9.821364068795535,12.551730430030187,12.618999363995737,10.581584100447184,9.251971547599247,12.13140728336024,15.368366172949893,11.464783668747272,14.19243722907824,10.793365658917091,14.225137840859533,13.386412306757192,10.052845679781509,14.430966024942474,9.434920494237156,13.768075121666454,14.435085464028608,13.14124693133817,14.620486369671324,12.565491346966901,15.507173939513219,11.19652737152709,12.30693240071978,8.908215905138196,12.014226377772781,12.441514662544364,13.72453546497739,11.04628097444031,16.919340511874516,7.6962844717104355,11.577642919920313,9.856165751319399,16.11861545810441,14.512969879334237,7.954651407121626,11.921758275342247,15.396743951904078,12.783532393984244,14.706460215432914,11.716964789291435
businessinsider,14.380848642817515,9.821364068795535,12.618999363995737,10.581584100447184,10.581584100447184,12.618999363995737,9.821364068795535,,12.950277288824989,12.638560026810554,9.821364068795535,12.551730430030187,12.618999363995737,10.581584100447184,9.251971547599247,12.13140728336024,15.368366172949893,11.464783668747272,14.19243722907824,10.793365658917091,14.225137840859533,13.386412306757192,10.052845679781509,14.430966024942474,9.434920494237156,13.768075121666454,14.435085464028608,13.14124693133817,14.620486369671324,12.565491346966901,15.507173939513219,11.19652737152709,11.65236253265806,8.121312837992974,11.080965947044486,12.441514662544364,13.72453546497739,11.04628097444031,16.919340511874516,7.6962844717104355,11.695163481366423,10.383563116805506,16.58544159941084,14.512969879334237,7.667392836799148,12.060041467867968,16.749399189490966
buzzfeed,12.950277288824989,12.551730430030187,10.581584100447184,9.251971547599247,9.251971547599247,10.581584100447184,12.551730430030187,12.950277288824989,,18.471898084927844,12.588545082917172,14.380848642817515,12.950277288824989,12.638560026810554,9.821364068795535,12.551730430030187,12.618999363995737,10.581584100447184,9.251971547599247,12.13140728336024,15.368366172949893,11.464783668747272,14.19243722907824,10.793365658917091,14.225137840859533,13.386412306757192,10.052845679781509,14.430966024942474,9.434920494237156,13.768075121666454,14.435085464028608,13.14124693133817,14.317095234354047,11.683035615410663,15.734198649054308,10.683081018718296,11.65236253265806,8.121312837992974,11.080965947044486,12.441514662544364,14.123037904951227,11.379979208435767,17.447760888086336,8.2883063541497,10.773125992023452,10.761305723136303,16.832922549479772
cbs,12.638560026810554,12.618999363995737,9.251971547599247,12.13140728336024,12.13140728336024,9.251971547599247,12.618999363995737,12.638560026810554,18.471898084927844,,12.282782477545197,12.168365982261195,11.173768283797228,11.894919931202589,18.471898084927844,12.588545082917172,14.380848642817515,12.950277288824989,12.638560026810554,9.821364068795535,12.551730430030187,12.618999363995737,10.581584100447184,9.251971547599247,12.13140728336024,15.368366172949893,11.464783668747272,14.19243722907824,10.793365658917091,14.225137840859533,13.386412306757192,10.052845679781509,14.527699538822507,8.95487949943956,13.906354804199827,14.526666823033086,12.649551398255126,14.317095234354047,11.683035615410663,15.734198649054308,10.701755981011198,11.760471130096404,8.20210091692586,11.2199926740867,11.892253697405971,14.456028471190319,10.92778169785834
