,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,bbc,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,intercept,jacobinmag,motherjones,nationalreview,nbc,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,vice,vox,wapo,wsj
aljazeera,100.0,88.2022758337376,90.18370013494467,88.2022758337376,96.72790004498155,48.2635570520361,74.97324771840232,18.459689295371952,93.0588277992588,86.91160017992622,79.04833747071848,96.72790004498155,96.72790004498155,86.91160017992622,86.91160017992622,92.68336207140476,61.56152890713298,84.30755988829243,76.74736090592295,88.2022758337376,88.2022758337376,37.48661813494996,58.5462255330243,76.74736090592295,76.74736090592295,88.2022758337376,86.91160017992622,74.02851176222671,32.86212211664014,73.61948678444523,88.2022758337376,96.72790004498155,88.2022758337376,100.0,86.11765559851757,86.91160017992622,56.344741615901064,76.74736090592295,96.72790004498155,82.22794822168429,92.32624540163198,88.2022758337376,77.92847911309141,39.091461131739656,100.0,88.2022758337376
alternet,88.2022758337376,100.0,48.2635570520361,74.97324771840232,18.459689295371952,93.0588277992588,86.91160017992622,79.04833747071848,96.72790004498155,96.72790004498155,86.91160017992622,86.91160017992622,92.68336207140476,61.56152890713298,84.30755988829243,76.74736090592295,88.2022758337376,88.2022758337376,37.48661813494996,58.5462255330243,76.74736090592295,76.74736090592295,88.2022758337376,86.91160017992622,74.02851176222671,32.86212211664014,73.61948678444523,88.2022758337376,96.72790004498155,88.2022758337376,100.0,86.11765559851757,86.91160017992622,56.344741615901064,76.74736090592295,96.72790004498155,82.22794822168429,92.32624540163198,88.2022758337376,77.92847911309141,39.091461131739656,100.0,88.2022758337376,88.2022758337376,96.72790004498155,95.37255186617253
americanconservative,90.18370013494467,48.2635570520361,100.0,93.0588277992588,86.91160017992622,79.04833747071848,96.72790004498155,96.72790004498155,86.91160017992622,86.91160017992622,92.68336207140476,61.56152890713298,84.30755988829243,76.74736090592295,88.2022758337376,88.2022758337376,37.48661813494996,58.5462255330243,76.74736090592295,76.74736090592295,88.2022758337376,86.91160017992622,74.02851176222671,32.86212211664014,73.61948678444523,88.2022758337376,96.72790004498155,88.2022758337376,100.0,86.11765559851757,86.91160017992622,56.344741615901064,76.74736090592295,96.72790004498155,82.22794822168429,92.32624540163198,88.2022758337376,77.92847911309141,39.091461131739656,100.0,88.2022758337376,88.2022758337376,96.72790004498155,95.37255186617253,34.51711242385158,49.626661482439836
americanspectator,88.2022758337376,74.97324771840232,93.0588277992588,100.0,79.04833747071848,96.72790004498155,96.72790004498155,86.91160017992622,86.91160017992622,92.68336207140476,61.56152890713298,84.30755988829243,76.74736090592295,88.2022758337376,88.2022758337376,37.48661813494996,58.5462255330243,76.74736090592295,76.74736090592295,88.2022758337376,86.91160017992622,74.02851176222671,32.86212211664014,73.61948678444523,88.2022758337376,96.72790004498155,88.2022758337376,100.0,86.11765559851757,86.91160017992622,56.344741615901064,76.74736090592295,96.72790004498155,82.22794822168429,92.32624540163198,88.2022758337376,77.92847911309141,39.091461131739656,100.0,88.2022758337376,88.2022758337376,96.72790004498155,95.37255186617253,34.51711242385158,49.626661482439836,55.07560479208904
ap,96.72790004498155,18.459689295371952,86.91160017992622,79.04833747071848,100.0,96.72790004498155,96.72790004498155,86.91160017992622,86.91160017992622,92.68336207140476,61.56152890713298,84.30755988829243,76.74736090592295,88.2022758337376,88.2022758337376,37.48661813494996,58.5462255330243,76.74736090592295,76.74736090592295,88.2022758337376,86.91160017992622,74.02851176222671,32.86212211664014,73.61948678444523,88.2022758337376,96.72790004498155,88.2022758337376,100.0,86.11765559851757,86.91160017992622,56.344741615901064,76.74736090592295,96.72790004498155,82.22794822168429,92.32624540163198,88.2022758337376,77.92847911309141,39.091461131739656,100.0,88.2022758337376,88.2022758337376,96.72790004498155,95.37255186617253,34.51711242385158,49.626661482439836,55.07560479208904
atlantic,48.2635570520361,93.0588277992588,79.04833747071848,96.72790004498155,96.72790004498155,100.0,96.72790004498155,96.72790004498155,86.91160017992622,86.91160017992622,92.68336207140476,61.56152890713298,84.30755988829243,76.74736090592295,88.2022758337376,88.2022758337376,37.48661813494996,58.5462255330243,76.74736090592295,76.74736090592295,88.2022758337376,86.91160017992622,74.02851176222671,32.86212211664014,73.61948678444523,88.2022758337376,96.72790004498155,88.2022758337376,100.0,86.11765559851757,86.91160017992622,56.344741615901064,76.74736090592295,96.72790004498155,82.22794822168429,92.32624540163198,88.2022758337376,77.92847911309141,39.091461131739656,100.0,88.2022758337376,88.2022758337376,96.72790004498155,95.37255186617253,34.51711242385158,49.626661482439836
bbc,74.97324771840232,86.91160017992622,96.72790004498155,96.72790004498155,96.72790004498155,96.72790004498155,100.0,79.04833747071848,96.72790004498155,96.72790004498155,86.91160017992622,86.91160017992622,92.68336207140476,61.56152890713298,84.30755988829243,76.74736090592295,88.2022758337376,88.2022758337376,37.48661813494996,58.5462255330243,76.74736090592295,76.74736090592295,88.2022758337376,86.91160017992622,74.02851176222671,32.86212211664014,73.61948678444523,88.2022758337376,96.72790004498155,88.2022758337376,100.0,86.11765559851757,86.91160017992622,56.344741615901064,76.74736090592295,96.72790004498155,82.22794822168429,92.32624540163198,88.2022758337376,77.92847911309141,39.091461131739656,100.0,88.2022758337376,88.2022758337376,96.72790004498155,95.37255186617253
breitbart,18.459689295371952,79.04833747071848,96.72790004498155,86.91160017992622,86.91160017992622,96.72790004498155,79.04833747071848,100.0,93.0588277992588,86.91160017992622,79.04833747071848,96.72790004498155,96.72790004498155,86.91160017992622,86.91160017992622,92.68336207140476,61.56152890713298,84.30755988829243,76.74736090592295,88.2022758337376,88.2022758337376,37.48661813494996,58.5462255330243,76.74736090592295,76.74736090592295,88.2022758337376,86.91160017992622,74.02851176222671,32.86212211664014,73.61948678444523,88.2022758337376,96.72790004498155,88.2022758337376,100.0,86.11765559851757,86.91160017992622,56.344741615901064,76.74736090592295,96.72790004498155,82.22794822168429,92.32624540163198,88.2022758337376,77.92847911309141,39.091461131739656,100.0,88.2022758337376
buzzfeed,93.0588277992588,96.72790004498155,86.91160017992622,86.91160017992622,86.91160017992622,86.91160017992622,96.72790004498155,93.0588277992588,100.0,48.2635570520361,74.97324771840232,18.459689295371952,93.0588277992588,86.91160017992622,79.04833747071848,96.72790004498155,96.72790004498155,86.91160017992622,86.91160017992622,92.68336207140476,61.56152890713298,84.30755988829243,76.74736090592295,88.2022758337376,88.2022758337376,37.48661813494996,58.5462255330243,76.74736090592295,76.74736090592295,88.2022758337376,86.91160017992622,74.02851176222671,32.86212211664014,73.61948678444523,88.2022758337376,96.72790004498155,88.2022758337376,100.0,86.11765559851757,86.91160017992622,56.344741615901064,76.74736090592295,96.72790004498155,82.22794822168429,92.32624540163198,88.2022758337376
cbs,86.91160017992622,96.72790004498155,86.91160017992622,92.68336207140476,92.68336207140476,86.91160017992622,96.72790004498155,86.91160017992622,48.2635570520361,100.0,88.2022758337376,90.18370013494467,88.2022758337376,96.72790004498155,48.2635570520361,74.97324771840232,18.459689295371952,93.0588277992588,86.91160017992622,79.04833747071848,96.72790004498155,96.72790004498155,86.91160017992622,86.91160017992622,92.68336207140476,61.56152890713298,84.30755988829243,76.74736090592295,88.2022758337376,88.2022758337376,37.48661813494996,58.5462255330243,76.74736090592295,76.74736090592295,88.2022758337376,86.91160017992622,74.02851176222671,32.86212211664014,73.61948678444523,88.2022758337376,96.72790004498155,88.2022758337376,100.0,86.11765559851757,86.91160017992622,56.344741615901064
