,Similarity
aljazeera,6.3870559289766815
alternet,0.0
americanconservative,10.68905220441556
americanspectator,28.12543641320463
ap,26.505109501842316
atlantic,1.7824814903972808
bbc,25.384640856399553
breitbart,4.378512086720465
buzzfeed,0.0
cbs,11.592727536637948
cnn,8.381201259483618
commondreams,15.652142719347871
conversation,6.358467458598516
counterpunch,11.411255010819632
dailycaller,21.70855524899835
dailykos,13.36655773283728
dailymail,21.36741444046684
dailywire,21.70855524899835
economist,19.783483574175044
federalist,4.57465893514053
fox,2.137403496368706
guardian,13.893398074973684
huffingtonpost,10.68905220441556
infowars,7.856828654012937
intercept,1.7824814903972808
jacobinmag,4.378512086720465
motherjones,21.70855524899835
nationalreview,26.505109501842316
nbc,21.70855524899835
npr,16.545412982758013
nypost,8.381201259483618
nytimes,15.019841086324304
pbs,20.487297824306637
pjmedia,3.348348405789514
rawstory,8.381201259483618
redstate,9.085069294050141
rt,21.70855524899835
slate,32.70283867121731
spectator,19.019657658019185
townhall,14.86249942426866
truthdig,22.914436149330854
usatoday,8.381201259483618
vice,18.59110003460299
vox,26.83362071404759
wapo,16.449248648549762
wsj,7.856828654012937
