,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,fox,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,newyorker,npr,nypost,nytimes,opednews,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,spectator,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
aljazeera,100.0,85.18493734841294,77.09530031487091,79.17648339777637,83.15583453939496,100.0,78.17237080795053,73.51821764733582,79.17648339777637,100.0,88.43137966543131,67.85671799335888,80.09659299822333,77.09530031487091,100.0,72.23531119703514,100.0,71.85233188065581,88.43137966543131,79.17648339777637,100.0,78.54340569959523,93.0588277992588,100.0,72.23531119703514,90.18370013494467,77.09530031487091,86.91160017992622,72.23531119703514,79.17648339777637,100.0,79.17648339777637,72.23531119703514,72.23531119703514,72.23531119703514,100.0,76.86275933086262,72.23531119703514,80.36740026988936,80.09659299822333,67.85671799335888,90.74510373234504,79.17648339777637,72.23531119703514,100.0,100.0,72.23531119703514,75.08042916287204,82.99766989139266,69.65579333803032,77.09530031487091,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065,72.23531119703514,100.0,88.43137966543131,83.63950022490779
alternet,85.18493734841294,100.0,100.0,78.17237080795053,73.51821764733582,79.17648339777637,100.0,88.43137966543131,67.85671799335888,80.09659299822333,77.09530031487091,100.0,72.23531119703514,100.0,71.85233188065581,88.43137966543131,79.17648339777637,100.0,78.54340569959523,93.0588277992588,100.0,72.23531119703514,90.18370013494467,77.09530031487091,86.91160017992622,72.23531119703514,79.17648339777637,100.0,79.17648339777637,72.23531119703514,72.23531119703514,72.23531119703514,100.0,76.86275933086262,72.23531119703514,80.36740026988936,80.09659299822333,67.85671799335888,90.74510373234504,79.17648339777637,72.23531119703514,100.0,100.0,72.23531119703514,75.08042916287204,82.99766989139266,69.65579333803032,77.09530031487091,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065,72.23531119703514,100.0,88.43137966543131,83.63950022490779,100.0,77.09530031487091,79.17648339777637
americanconservative,77.09530031487091,100.0,100.0,79.17648339777637,100.0,88.43137966543131,67.85671799335888,80.09659299822333,77.09530031487091,100.0,72.23531119703514,100.0,71.85233188065581,88.43137966543131,79.17648339777637,100.0,78.54340569959523,93.0588277992588,100.0,72.23531119703514,90.18370013494467,77.09530031487091,86.91160017992622,72.23531119703514,79.17648339777637,100.0,79.17648339777637,72.23531119703514,72.23531119703514,72.23531119703514,100.0,76.86275933086262,72.23531119703514,80.36740026988936,80.09659299822333,67.85671799335888,90.74510373234504,79.17648339777637,72.23531119703514,100.0,100.0,72.23531119703514,75.08042916287204,82.99766989139266,69.65579333803032,77.09530031487091,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065,72.23531119703514,100.0,88.43137966543131,83.63950022490779,100.0,77.09530031487091,79.17648339777637,78.17237080795053,73.51821764733582
americanspectator,79.17648339777637,78.17237080795053,79.17648339777637,100.0,88.43137966543131,67.85671799335888,80.09659299822333,77.09530031487091,100.0,72.23531119703514,100.0,71.85233188065581,88.43137966543131,79.17648339777637,100.0,78.54340569959523,93.0588277992588,100.0,72.23531119703514,90.18370013494467,77.09530031487091,86.91160017992622,72.23531119703514,79.17648339777637,100.0,79.17648339777637,72.23531119703514,72.23531119703514,72.23531119703514,100.0,76.86275933086262,72.23531119703514,80.36740026988936,80.09659299822333,67.85671799335888,90.74510373234504,79.17648339777637,72.23531119703514,100.0,100.0,72.23531119703514,75.08042916287204,82.99766989139266,69.65579333803032,77.09530031487091,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065,72.23531119703514,100.0,88.43137966543131,83.63950022490779,100.0,77.09530031487091,79.17648339777637,78.17237080795053,73.51821764733582,79.17648339777637
ap,83.15583453939496,73.51821764733582,100.0,88.43137966543131,100.0,67.85671799335888,80.09659299822333,77.09530031487091,100.0,72.23531119703514,100.0,71.85233188065581,88.43137966543131,79.17648339777637,100.0,78.54340569959523,93.0588277992588,100.0,72.23531119703514,90.18370013494467,77.09530031487091,86.91160017992622,72.23531119703514,79.17648339777637,100.0,79.17648339777637,72.23531119703514,72.23531119703514,72.23531119703514,100.0,76.86275933086262,72.23531119703514,80.36740026988936,80.09659299822333,67.85671799335888,90.74510373234504,79.17648339777637,72.23531119703514,100.0,100.0,72.23531119703514,75.08042916287204,82.99766989139266,69.65579333803032,77.09530031487091,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065,72.23531119703514,100.0,88.43137966543131,83.63950022490779,100.0,77.09530031487091,79.17648339777637,78.17237080795053,73.51821764733582,79.17648339777637
atlantic,100.0,79.17648339777637,88.43137966543131,67.85671799335888,67.85671799335888,100.0,67.85671799335888,80.09659299822333,77.09530031487091,100.0,72.23531119703514,100.0,71.85233188065581,88.43137966543131,79.17648339777637,100.0,78.54340569959523,93.0588277992588,100.0,72.23531119703514,90.18370013494467,77.09530031487091,86.91160017992622,72.23531119703514,79.17648339777637,100.0,79.17648339777637,72.23531119703514,72.23531119703514,72.23531119703514,100.0,76.86275933086262,72.23531119703514,80.36740026988936,80.09659299822333,67.85671799335888,90.74510373234504,79.17648339777637,72.23531119703514,100.0,100.0,72.23531119703514,75.08042916287204,82.99766989139266,69.65579333803032,77.09530031487091,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065,72.23531119703514,100.0,88.43137966543131,83.63950022490779,100.0,77.09530031487091,79.17648339777637,78.17237080795053,73.51821764733582
axios,78.17237080795053,100.0,67.85671799335888,80.09659299822333,80.09659299822333,67.85671799335888,100.0,88.43137966543131,67.85671799335888,80.09659299822333,77.09530031487091,100.0,72.23531119703514,100.0,71.85233188065581,88.43137966543131,79.17648339777637,100.0,78.54340569959523,93.0588277992588,100.0,72.23531119703514,90.18370013494467,77.09530031487091,86.91160017992622,72.23531119703514,79.17648339777637,100.0,79.17648339777637,72.23531119703514,72.23531119703514,72.23531119703514,100.0,76.86275933086262,72.23531119703514,80.36740026988936,80.09659299822333,67.85671799335888,90.74510373234504,79.17648339777637,72.23531119703514,100.0,100.0,72.23531119703514,75.08042916287204,82.99766989139266,69.65579333803032,77.09530031487091,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065,72.23531119703514,100.0,88.43137966543131,83.63950022490779,100.0,77.09530031487091,79.17648339777637
bbc,73.51821764733582,88.43137966543131,80.09659299822333,77.09530031487091,77.09530031487091,80.09659299822333,88.43137966543131,100.0,79.17648339777637,100.0,88.43137966543131,67.85671799335888,80.09659299822333,77.09530031487091,100.0,72.23531119703514,100.0,71.85233188065581,88.43137966543131,79.17648339777637,100.0,78.54340569959523,93.0588277992588,100.0,72.23531119703514,90.18370013494467,77.09530031487091,86.91160017992622,72.23531119703514,79.17648339777637,100.0,79.17648339777637,72.23531119703514,72.23531119703514,72.23531119703514,100.0,76.86275933086262,72.23531119703514,80.36740026988936,80.09659299822333,67.85671799335888,90.74510373234504,79.17648339777637,72.23531119703514,100.0,100.0,72.23531119703514,75.08042916287204,82.99766989139266,69.65579333803032,77.09530031487091,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065,72.23531119703514,100.0,88.43137966543131,83.63950022490779
breitbart,79.17648339777637,67.85671799335888,77.09530031487091,100.0,100.0,77.09530031487091,67.85671799335888,79.17648339777637,100.0,100.0,78.17237080795053,73.51821764733582,79.17648339777637,100.0,88.43137966543131,67.85671799335888,80.09659299822333,77.09530031487091,100.0,72.23531119703514,100.0,71.85233188065581,88.43137966543131,79.17648339777637,100.0,78.54340569959523,93.0588277992588,100.0,72.23531119703514,90.18370013494467,77.09530031487091,86.91160017992622,72.23531119703514,79.17648339777637,100.0,79.17648339777637,72.23531119703514,72.23531119703514,72.23531119703514,100.0,76.86275933086262,72.23531119703514,80.36740026988936,80.09659299822333,67.85671799335888,90.74510373234504,79.17648339777637,72.23531119703514,100.0,100.0,72.23531119703514,75.08042916287204,82.99766989139266,69.65579333803032,77.09530031487091,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295,100.0,72.23531119703514,86.91160017992622,100.0,72.81989643179065
businessinsider,100.0,80.09659299822333,100.0,72.23531119703514,72.23531119703514,100.0,80.09659299822333,100.0,100.0,100.0,85.18493734841294,77.09530031487091,79.17648339777637,83.15583453939496,100.0,78.17237080795053,73.51821764733582,79.17648339777637,100.0,88.43137966543131,67.85671799335888,80.09659299822333,77.09530031487091,100.0,72.23531119703514,100.0,71.85233188065581,88.43137966543131,79.17648339777637,100.0,78.54340569959523,93.0588277992588,100.0,72.23531119703514,90.18370013494467,77.09530031487091,86.91160017992622,72.23531119703514,79.17648339777637,100.0,79.17648339777637,72.23531119703514,72.23531119703514,72.23531119703514,100.0,76.86275933086262,72.23531119703514,80.36740026988936,80.09659299822333,67.85671799335888,90.74510373234504,79.17648339777637,72.23531119703514,100.0,100.0,72.23531119703514,75.08042916287204,82.99766989139266,69.65579333803032,77.09530031487091,77.09530031487091,90.74510373234504,86.11765559851757,79.17648339777637,76.74736090592295
