,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,defenseone,economist,federalist,fivethirtyeight,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,vice,voltairenetwork,vox,wapo,wsj
aljazeera,,7.0,19.8997487421324,14.696938456699069,10.0,12.041594578792296,13.416407864998739,8.54400374531753,8.48528137423857,10.246950765959598,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518,12.041594578792296,2.23606797749979,11.313708498984761,14.866068747318506,10.63014581273465,10.0,13.416407864998739,13.038404810405298,8.54400374531753,13.416407864998739,12.36931687685298,10.246950765959598,20.322401432901575,10.63014581273465,3.1622776601683795,7.280109889280518,14.422205101855956,15.362291495737216,11.704699910719626,12.806248474865697,10.63014581273465,12.041594578792296,14.45683229480096,5.0,8.06225774829855,3.1622776601683795,8.94427190999916,12.041594578792296,9.273618495495704,10.954451150103322,11.0,9.219544457292887,7.3484692283495345,1.0,18.49324200890693,1.0,8.94427190999916,10.04987562112089,12.041594578792296
alternet,7.0,,12.041594578792296,13.416407864998739,8.54400374531753,8.48528137423857,10.246950765959598,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518,12.041594578792296,2.23606797749979,11.313708498984761,14.866068747318506,10.63014581273465,10.0,13.416407864998739,13.038404810405298,8.54400374531753,13.416407864998739,12.36931687685298,10.246950765959598,20.322401432901575,10.63014581273465,3.1622776601683795,7.280109889280518,14.422205101855956,15.362291495737216,11.704699910719626,12.806248474865697,10.63014581273465,12.041594578792296,14.45683229480096,5.0,8.06225774829855,3.1622776601683795,8.94427190999916,12.041594578792296,9.273618495495704,10.954451150103322,11.0,9.219544457292887,7.3484692283495345,1.0,18.49324200890693,1.0,8.94427190999916,10.04987562112089,12.041594578792296,10.392304845413264,14.422205101855956,8.246211251235321
americanconservative,19.8997487421324,12.041594578792296,,8.48528137423857,10.246950765959598,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518,12.041594578792296,2.23606797749979,11.313708498984761,14.866068747318506,10.63014581273465,10.0,13.416407864998739,13.038404810405298,8.54400374531753,13.416407864998739,12.36931687685298,10.246950765959598,20.322401432901575,10.63014581273465,3.1622776601683795,7.280109889280518,14.422205101855956,15.362291495737216,11.704699910719626,12.806248474865697,10.63014581273465,12.041594578792296,14.45683229480096,5.0,8.06225774829855,3.1622776601683795,8.94427190999916,12.041594578792296,9.273618495495704,10.954451150103322,11.0,9.219544457292887,7.3484692283495345,1.0,18.49324200890693,1.0,8.94427190999916,10.04987562112089,12.041594578792296,10.392304845413264,14.422205101855956,8.246211251235321,3.605551275463989,12.0
americanthinker,14.696938456699069,13.416407864998739,8.48528137423857,,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518,12.041594578792296,2.23606797749979,11.313708498984761,14.866068747318506,10.63014581273465,10.0,13.416407864998739,13.038404810405298,8.54400374531753,13.416407864998739,12.36931687685298,10.246950765959598,20.322401432901575,10.63014581273465,3.1622776601683795,7.280109889280518,14.422205101855956,15.362291495737216,11.704699910719626,12.806248474865697,10.63014581273465,12.041594578792296,14.45683229480096,5.0,8.06225774829855,3.1622776601683795,8.94427190999916,12.041594578792296,9.273618495495704,10.954451150103322,11.0,9.219544457292887,7.3484692283495345,1.0,18.49324200890693,1.0,8.94427190999916,10.04987562112089,12.041594578792296,10.392304845413264,14.422205101855956,8.246211251235321,3.605551275463989,12.0,15.132745950421556
antiwar,10.0,8.54400374531753,10.246950765959598,5.0,,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518,12.041594578792296,2.23606797749979,11.313708498984761,14.866068747318506,10.63014581273465,10.0,13.416407864998739,13.038404810405298,8.54400374531753,13.416407864998739,12.36931687685298,10.246950765959598,20.322401432901575,10.63014581273465,3.1622776601683795,7.280109889280518,14.422205101855956,15.362291495737216,11.704699910719626,12.806248474865697,10.63014581273465,12.041594578792296,14.45683229480096,5.0,8.06225774829855,3.1622776601683795,8.94427190999916,12.041594578792296,9.273618495495704,10.954451150103322,11.0,9.219544457292887,7.3484692283495345,1.0,18.49324200890693,1.0,8.94427190999916,10.04987562112089,12.041594578792296,10.392304845413264,14.422205101855956,8.246211251235321,3.605551275463989,12.0,15.132745950421556
ap,12.041594578792296,8.48528137423857,5.0,13.601470508735444,13.601470508735444,,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518,12.041594578792296,2.23606797749979,11.313708498984761,14.866068747318506,10.63014581273465,10.0,13.416407864998739,13.038404810405298,8.54400374531753,13.416407864998739,12.36931687685298,10.246950765959598,20.322401432901575,10.63014581273465,3.1622776601683795,7.280109889280518,14.422205101855956,15.362291495737216,11.704699910719626,12.806248474865697,10.63014581273465,12.041594578792296,14.45683229480096,5.0,8.06225774829855,3.1622776601683795,8.94427190999916,12.041594578792296,9.273618495495704,10.954451150103322,11.0,9.219544457292887,7.3484692283495345,1.0,18.49324200890693,1.0,8.94427190999916,10.04987562112089,12.041594578792296,10.392304845413264,14.422205101855956,8.246211251235321,3.605551275463989,12.0
atlantic,13.416407864998739,10.246950765959598,13.601470508735444,19.8997487421324,19.8997487421324,13.601470508735444,,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518,12.041594578792296,2.23606797749979,11.313708498984761,14.866068747318506,10.63014581273465,10.0,13.416407864998739,13.038404810405298,8.54400374531753,13.416407864998739,12.36931687685298,10.246950765959598,20.322401432901575,10.63014581273465,3.1622776601683795,7.280109889280518,14.422205101855956,15.362291495737216,11.704699910719626,12.806248474865697,10.63014581273465,12.041594578792296,14.45683229480096,5.0,8.06225774829855,3.1622776601683795,8.94427190999916,12.041594578792296,9.273618495495704,10.954451150103322,11.0,9.219544457292887,7.3484692283495345,1.0,18.49324200890693,1.0,8.94427190999916,10.04987562112089,12.041594578792296,10.392304845413264,14.422205101855956,8.246211251235321
axios,8.54400374531753,5.0,19.8997487421324,7.211102550927978,7.211102550927978,19.8997487421324,5.0,,8.48528137423857,10.246950765959598,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518,12.041594578792296,2.23606797749979,11.313708498984761,14.866068747318506,10.63014581273465,10.0,13.416407864998739,13.038404810405298,8.54400374531753,13.416407864998739,12.36931687685298,10.246950765959598,20.322401432901575,10.63014581273465,3.1622776601683795,7.280109889280518,14.422205101855956,15.362291495737216,11.704699910719626,12.806248474865697,10.63014581273465,12.041594578792296,14.45683229480096,5.0,8.06225774829855,3.1622776601683795,8.94427190999916,12.041594578792296,9.273618495495704,10.954451150103322,11.0,9.219544457292887,7.3484692283495345,1.0,18.49324200890693,1.0,8.94427190999916,10.04987562112089,12.041594578792296
breitbart,8.48528137423857,13.601470508735444,7.211102550927978,11.704699910719626,11.704699910719626,7.211102550927978,13.601470508735444,8.48528137423857,,12.041594578792296,13.416407864998739,8.54400374531753,8.48528137423857,10.246950765959598,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518,12.041594578792296,2.23606797749979,11.313708498984761,14.866068747318506,10.63014581273465,10.0,13.416407864998739,13.038404810405298,8.54400374531753,13.416407864998739,12.36931687685298,10.246950765959598,20.322401432901575,10.63014581273465,3.1622776601683795,7.280109889280518,14.422205101855956,15.362291495737216,11.704699910719626,12.806248474865697,10.63014581273465,12.041594578792296,14.45683229480096,5.0,8.06225774829855,3.1622776601683795,8.94427190999916,12.041594578792296,9.273618495495704,10.954451150103322,11.0,9.219544457292887,7.3484692283495345,1.0,18.49324200890693
businessinsider,10.246950765959598,19.8997487421324,11.704699910719626,4.0,4.0,11.704699910719626,19.8997487421324,10.246950765959598,12.041594578792296,,7.0,19.8997487421324,14.696938456699069,10.0,12.041594578792296,13.416407864998739,8.54400374531753,8.48528137423857,10.246950765959598,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518,12.041594578792296,2.23606797749979,11.313708498984761,14.866068747318506,10.63014581273465,10.0,13.416407864998739,13.038404810405298,8.54400374531753,13.416407864998739,12.36931687685298,10.246950765959598,20.322401432901575,10.63014581273465,3.1622776601683795,7.280109889280518,14.422205101855956,15.362291495737216,11.704699910719626,12.806248474865697,10.63014581273465,12.041594578792296,14.45683229480096,5.0,8.06225774829855,3.1622776601683795,8.94427190999916,12.041594578792296,9.273618495495704,10.954451150103322
