,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,axios,bbc,bloomberg,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,eff,factcheck,federalist,fivethirtyeight,foreignaffairs,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newsbud,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,peoplesdaily,pjmedia,psychologytoday,rawstory,redstate,reuters,reveal,rt,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,voltairenetwork,vox,wapo,wsj
aljazeera,100.0,55.917635975515644,68.78615581953284,63.5634369576612,64.00690049479714,65.52628782920067,96.72790004498155,62.90818152397119,65.52628782920067,93.0588277992588,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105,65.52628782920067,95.37255186617253,65.52628782920067,62.90818152397119,64.00690049479714,65.52628782920067,100.0,68.44501077874139,63.784489936425274,65.52628782920067,65.52628782920067,65.52628782920067,57.21174088873189,65.60401895893501,70.36987469682589,65.52628782920067,100.0,71.9475865298736,63.5634369576612,65.52628782920067,72.0431657292691,95.9925123614105,63.93261125269463,74.33955877013513,65.60401895893501,72.13907281903028,86.11765559851757,96.72790004498155,75.73345726396644,64.00690049479714,100.0,63.784489936425274,67.27900044981558,71.00912053632923,64.00690049479714,65.52628782920067,63.784489936425274,90.74510373234504,97.68627593308626
alternet,55.917635975515644,100.0,65.52628782920067,96.72790004498155,62.90818152397119,65.52628782920067,93.0588277992588,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105,65.52628782920067,95.37255186617253,65.52628782920067,62.90818152397119,64.00690049479714,65.52628782920067,100.0,68.44501077874139,63.784489936425274,65.52628782920067,65.52628782920067,65.52628782920067,57.21174088873189,65.60401895893501,70.36987469682589,65.52628782920067,100.0,71.9475865298736,63.5634369576612,65.52628782920067,72.0431657292691,95.9925123614105,63.93261125269463,74.33955877013513,65.60401895893501,72.13907281903028,86.11765559851757,96.72790004498155,75.73345726396644,64.00690049479714,100.0,63.784489936425274,67.27900044981558,71.00912053632923,64.00690049479714,65.52628782920067,63.784489936425274,90.74510373234504,97.68627593308626,81.2032168226623,74.44408238678304,57.21174088873189
americanconservative,68.78615581953284,65.52628782920067,100.0,65.52628782920067,93.0588277992588,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105,65.52628782920067,95.37255186617253,65.52628782920067,62.90818152397119,64.00690049479714,65.52628782920067,100.0,68.44501077874139,63.784489936425274,65.52628782920067,65.52628782920067,65.52628782920067,57.21174088873189,65.60401895893501,70.36987469682589,65.52628782920067,100.0,71.9475865298736,63.5634369576612,65.52628782920067,72.0431657292691,95.9925123614105,63.93261125269463,74.33955877013513,65.60401895893501,72.13907281903028,86.11765559851757,96.72790004498155,75.73345726396644,64.00690049479714,100.0,63.784489936425274,67.27900044981558,71.00912053632923,64.00690049479714,65.52628782920067,63.784489936425274,90.74510373234504,97.68627593308626,81.2032168226623,74.44408238678304,57.21174088873189,67.27900044981558,71.9475865298736
americanspectator,63.5634369576612,96.72790004498155,65.52628782920067,100.0,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105,65.52628782920067,95.37255186617253,65.52628782920067,62.90818152397119,64.00690049479714,65.52628782920067,100.0,68.44501077874139,63.784489936425274,65.52628782920067,65.52628782920067,65.52628782920067,57.21174088873189,65.60401895893501,70.36987469682589,65.52628782920067,100.0,71.9475865298736,63.5634369576612,65.52628782920067,72.0431657292691,95.9925123614105,63.93261125269463,74.33955877013513,65.60401895893501,72.13907281903028,86.11765559851757,96.72790004498155,75.73345726396644,64.00690049479714,100.0,63.784489936425274,67.27900044981558,71.00912053632923,64.00690049479714,65.52628782920067,63.784489936425274,90.74510373234504,97.68627593308626,81.2032168226623,74.44408238678304,57.21174088873189,67.27900044981558,71.9475865298736,65.52628782920067
americanthinker,64.00690049479714,62.90818152397119,93.0588277992588,67.27900044981558,100.0,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105,65.52628782920067,95.37255186617253,65.52628782920067,62.90818152397119,64.00690049479714,65.52628782920067,100.0,68.44501077874139,63.784489936425274,65.52628782920067,65.52628782920067,65.52628782920067,57.21174088873189,65.60401895893501,70.36987469682589,65.52628782920067,100.0,71.9475865298736,63.5634369576612,65.52628782920067,72.0431657292691,95.9925123614105,63.93261125269463,74.33955877013513,65.60401895893501,72.13907281903028,86.11765559851757,96.72790004498155,75.73345726396644,64.00690049479714,100.0,63.784489936425274,67.27900044981558,71.00912053632923,64.00690049479714,65.52628782920067,63.784489936425274,90.74510373234504,97.68627593308626,81.2032168226623,74.44408238678304,57.21174088873189,67.27900044981558,71.9475865298736,65.52628782920067
antiwar,65.52628782920067,65.52628782920067,67.27900044981558,64.00690049479714,64.00690049479714,100.0,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105,65.52628782920067,95.37255186617253,65.52628782920067,62.90818152397119,64.00690049479714,65.52628782920067,100.0,68.44501077874139,63.784489936425274,65.52628782920067,65.52628782920067,65.52628782920067,57.21174088873189,65.60401895893501,70.36987469682589,65.52628782920067,100.0,71.9475865298736,63.5634369576612,65.52628782920067,72.0431657292691,95.9925123614105,63.93261125269463,74.33955877013513,65.60401895893501,72.13907281903028,86.11765559851757,96.72790004498155,75.73345726396644,64.00690049479714,100.0,63.784489936425274,67.27900044981558,71.00912053632923,64.00690049479714,65.52628782920067,63.784489936425274,90.74510373234504,97.68627593308626,81.2032168226623,74.44408238678304,57.21174088873189,67.27900044981558,71.9475865298736
ap,96.72790004498155,93.0588277992588,64.00690049479714,97.68627593308626,97.68627593308626,64.00690049479714,100.0,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105,65.52628782920067,95.37255186617253,65.52628782920067,62.90818152397119,64.00690049479714,65.52628782920067,100.0,68.44501077874139,63.784489936425274,65.52628782920067,65.52628782920067,65.52628782920067,57.21174088873189,65.60401895893501,70.36987469682589,65.52628782920067,100.0,71.9475865298736,63.5634369576612,65.52628782920067,72.0431657292691,95.9925123614105,63.93261125269463,74.33955877013513,65.60401895893501,72.13907281903028,86.11765559851757,96.72790004498155,75.73345726396644,64.00690049479714,100.0,63.784489936425274,67.27900044981558,71.00912053632923,64.00690049479714,65.52628782920067,63.784489936425274,90.74510373234504,97.68627593308626,81.2032168226623,74.44408238678304,57.21174088873189
atlantic,62.90818152397119,67.27900044981558,97.68627593308626,100.0,100.0,97.68627593308626,67.27900044981558,100.0,65.52628782920067,93.0588277992588,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105,65.52628782920067,95.37255186617253,65.52628782920067,62.90818152397119,64.00690049479714,65.52628782920067,100.0,68.44501077874139,63.784489936425274,65.52628782920067,65.52628782920067,65.52628782920067,57.21174088873189,65.60401895893501,70.36987469682589,65.52628782920067,100.0,71.9475865298736,63.5634369576612,65.52628782920067,72.0431657292691,95.9925123614105,63.93261125269463,74.33955877013513,65.60401895893501,72.13907281903028,86.11765559851757,96.72790004498155,75.73345726396644,64.00690049479714,100.0,63.784489936425274,67.27900044981558,71.00912053632923,64.00690049479714,65.52628782920067,63.784489936425274,90.74510373234504,97.68627593308626
axios,65.52628782920067,64.00690049479714,100.0,65.52628782920067,65.52628782920067,100.0,64.00690049479714,65.52628782920067,100.0,65.52628782920067,96.72790004498155,62.90818152397119,65.52628782920067,93.0588277992588,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105,65.52628782920067,95.37255186617253,65.52628782920067,62.90818152397119,64.00690049479714,65.52628782920067,100.0,68.44501077874139,63.784489936425274,65.52628782920067,65.52628782920067,65.52628782920067,57.21174088873189,65.60401895893501,70.36987469682589,65.52628782920067,100.0,71.9475865298736,63.5634369576612,65.52628782920067,72.0431657292691,95.9925123614105,63.93261125269463,74.33955877013513,65.60401895893501,72.13907281903028,86.11765559851757,96.72790004498155,75.73345726396644,64.00690049479714,100.0,63.784489936425274,67.27900044981558,71.00912053632923,64.00690049479714
bbc,93.0588277992588,97.68627593308626,65.52628782920067,67.27900044981558,67.27900044981558,65.52628782920067,97.68627593308626,93.0588277992588,65.52628782920067,100.0,55.917635975515644,68.78615581953284,63.5634369576612,64.00690049479714,65.52628782920067,96.72790004498155,62.90818152397119,65.52628782920067,93.0588277992588,67.27900044981558,64.00690049479714,97.68627593308626,100.0,65.52628782920067,67.27900044981558,63.784489936425274,55.79636376831898,65.60401895893501,65.52628782920067,96.72790004498155,65.52628782920067,100.0,76.40455166747519,100.0,65.52628782920067,65.52628782920067,65.52628782920067,95.9925123614105,71.00912053632923,65.52628782920067,59.85838772043941,88.2022758337376,100.0,57.21174088873189,96.72790004498155,62.193437230596714,100.0,64.00690049479714,65.52628782920067,65.52628782920067,88.2022758337376,65.52628782920067,95.9925123614105,65.52628782920067,95.37255186617253,65.52628782920067,62.90818152397119,64.00690049479714,65.52628782920067,100.0,68.44501077874139,63.784489936425274,65.52628782920067,65.52628782920067,65.52628782920067,57.21174088873189,65.60401895893501,70.36987469682589,65.52628782920067,100.0,71.9475865298736,63.5634369576612,65.52628782920067,72.0431657292691,95.9925123614105,63.93261125269463,74.33955877013513,65.60401895893501,72.13907281903028,86.11765559851757,96.72790004498155,75.73345726396644,64.00690049479714
