,aljazeera,alternet,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailymail,dailywire,economist,federalist,fox,guardian,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,reuters,rt,shadowproof,slate,truthdig,usatoday,veteranstoday,vox,wapo,wsj
aljazeera,100.0,62.62064374430807,67.85671799335888,57.337036206360594,83.80393153160384,67.77355282975994,62.62064374430807,63.4168103570238,72.23531119703514,64.68253490875809,69.56771127565096,62.052103792799485,67.52533519203436,62.33530100583307,64.75840495361658,64.75840495361658,62.62064374430807,62.33530100583307,66.55087918818326,59.5263588036405,60.59869892038341,54.54253464702508,79.04833747071848,62.052103792799485,71.85233188065581,71.85233188065581,57.337036206360594,60.66669086246645,59.5263588036405,68.95813423122166,66.55087918818326,87.54021458143603,83.63950022490779,65.83827354181504,93.45580008996312,67.60786306320767,47.748753895375074,83.31549847893488,54.307610780916924,68.61511977658485,67.77355282975994,90.18370013494467,68.44501077874139,59.00070507735315,90.74510373234504
alternet,62.62064374430807,100.0,67.77355282975994,62.62064374430807,63.4168103570238,72.23531119703514,64.68253490875809,69.56771127565096,62.052103792799485,67.52533519203436,62.33530100583307,64.75840495361658,64.75840495361658,62.62064374430807,62.33530100583307,66.55087918818326,59.5263588036405,60.59869892038341,54.54253464702508,79.04833747071848,62.052103792799485,71.85233188065581,71.85233188065581,57.337036206360594,60.66669086246645,59.5263588036405,68.95813423122166,66.55087918818326,87.54021458143603,83.63950022490779,65.83827354181504,93.45580008996312,67.60786306320767,47.748753895375074,83.31549847893488,54.307610780916924,68.61511977658485,67.77355282975994,90.18370013494467,68.44501077874139,59.00070507735315,90.74510373234504,52.9795707072134,68.61511977658485,71.7573984977559
ap,67.85671799335888,67.77355282975994,100.0,72.23531119703514,64.68253490875809,69.56771127565096,62.052103792799485,67.52533519203436,62.33530100583307,64.75840495361658,64.75840495361658,62.62064374430807,62.33530100583307,66.55087918818326,59.5263588036405,60.59869892038341,54.54253464702508,79.04833747071848,62.052103792799485,71.85233188065581,71.85233188065581,57.337036206360594,60.66669086246645,59.5263588036405,68.95813423122166,66.55087918818326,87.54021458143603,83.63950022490779,65.83827354181504,93.45580008996312,67.60786306320767,47.748753895375074,83.31549847893488,54.307610780916924,68.61511977658485,67.77355282975994,90.18370013494467,68.44501077874139,59.00070507735315,90.74510373234504,52.9795707072134,68.61511977658485,71.7573984977559,50.97306600490589,90.74510373234504
atlantic,57.337036206360594,62.62064374430807,72.23531119703514,100.0,69.56771127565096,62.052103792799485,67.52533519203436,62.33530100583307,64.75840495361658,64.75840495361658,62.62064374430807,62.33530100583307,66.55087918818326,59.5263588036405,60.59869892038341,54.54253464702508,79.04833747071848,62.052103792799485,71.85233188065581,71.85233188065581,57.337036206360594,60.66669086246645,59.5263588036405,68.95813423122166,66.55087918818326,87.54021458143603,83.63950022490779,65.83827354181504,93.45580008996312,67.60786306320767,47.748753895375074,83.31549847893488,54.307610780916924,68.61511977658485,67.77355282975994,90.18370013494467,68.44501077874139,59.00070507735315,90.74510373234504,52.9795707072134,68.61511977658485,71.7573984977559,50.97306600490589,90.74510373234504,50.48414265632012
axios,83.80393153160384,63.4168103570238,64.68253490875809,69.56771127565096,100.0,62.052103792799485,67.52533519203436,62.33530100583307,64.75840495361658,64.75840495361658,62.62064374430807,62.33530100583307,66.55087918818326,59.5263588036405,60.59869892038341,54.54253464702508,79.04833747071848,62.052103792799485,71.85233188065581,71.85233188065581,57.337036206360594,60.66669086246645,59.5263588036405,68.95813423122166,66.55087918818326,87.54021458143603,83.63950022490779,65.83827354181504,93.45580008996312,67.60786306320767,47.748753895375074,83.31549847893488,54.307610780916924,68.61511977658485,67.77355282975994,90.18370013494467,68.44501077874139,59.00070507735315,90.74510373234504,52.9795707072134,68.61511977658485,71.7573984977559,50.97306600490589,90.74510373234504,50.48414265632012
bbc,67.77355282975994,72.23531119703514,69.56771127565096,62.052103792799485,62.052103792799485,100.0,62.052103792799485,67.52533519203436,62.33530100583307,64.75840495361658,64.75840495361658,62.62064374430807,62.33530100583307,66.55087918818326,59.5263588036405,60.59869892038341,54.54253464702508,79.04833747071848,62.052103792799485,71.85233188065581,71.85233188065581,57.337036206360594,60.66669086246645,59.5263588036405,68.95813423122166,66.55087918818326,87.54021458143603,83.63950022490779,65.83827354181504,93.45580008996312,67.60786306320767,47.748753895375074,83.31549847893488,54.307610780916924,68.61511977658485,67.77355282975994,90.18370013494467,68.44501077874139,59.00070507735315,90.74510373234504,52.9795707072134,68.61511977658485,71.7573984977559,50.97306600490589,90.74510373234504
breitbart,62.62064374430807,64.68253490875809,62.052103792799485,67.52533519203436,67.52533519203436,62.052103792799485,100.0,69.56771127565096,62.052103792799485,67.52533519203436,62.33530100583307,64.75840495361658,64.75840495361658,62.62064374430807,62.33530100583307,66.55087918818326,59.5263588036405,60.59869892038341,54.54253464702508,79.04833747071848,62.052103792799485,71.85233188065581,71.85233188065581,57.337036206360594,60.66669086246645,59.5263588036405,68.95813423122166,66.55087918818326,87.54021458143603,83.63950022490779,65.83827354181504,93.45580008996312,67.60786306320767,47.748753895375074,83.31549847893488,54.307610780916924,68.61511977658485,67.77355282975994,90.18370013494467,68.44501077874139,59.00070507735315,90.74510373234504,52.9795707072134,68.61511977658485,71.7573984977559
businessinsider,63.4168103570238,69.56771127565096,67.52533519203436,62.33530100583307,62.33530100583307,67.52533519203436,69.56771127565096,100.0,72.23531119703514,64.68253490875809,69.56771127565096,62.052103792799485,67.52533519203436,62.33530100583307,64.75840495361658,64.75840495361658,62.62064374430807,62.33530100583307,66.55087918818326,59.5263588036405,60.59869892038341,54.54253464702508,79.04833747071848,62.052103792799485,71.85233188065581,71.85233188065581,57.337036206360594,60.66669086246645,59.5263588036405,68.95813423122166,66.55087918818326,87.54021458143603,83.63950022490779,65.83827354181504,93.45580008996312,67.60786306320767,47.748753895375074,83.31549847893488,54.307610780916924,68.61511977658485,67.77355282975994,90.18370013494467,68.44501077874139,59.00070507735315,90.74510373234504
buzzfeed,72.23531119703514,62.052103792799485,62.33530100583307,64.75840495361658,64.75840495361658,62.33530100583307,62.052103792799485,72.23531119703514,100.0,67.77355282975994,62.62064374430807,63.4168103570238,72.23531119703514,64.68253490875809,69.56771127565096,62.052103792799485,67.52533519203436,62.33530100583307,64.75840495361658,64.75840495361658,62.62064374430807,62.33530100583307,66.55087918818326,59.5263588036405,60.59869892038341,54.54253464702508,79.04833747071848,62.052103792799485,71.85233188065581,71.85233188065581,57.337036206360594,60.66669086246645,59.5263588036405,68.95813423122166,66.55087918818326,87.54021458143603,83.63950022490779,65.83827354181504,93.45580008996312,67.60786306320767,47.748753895375074,83.31549847893488,54.307610780916924,68.61511977658485,67.77355282975994
canary,64.68253490875809,67.52533519203436,64.75840495361658,64.75840495361658,64.75840495361658,64.75840495361658,67.52533519203436,64.68253490875809,67.77355282975994,100.0,62.62064374430807,67.85671799335888,57.337036206360594,83.80393153160384,67.77355282975994,62.62064374430807,63.4168103570238,72.23531119703514,64.68253490875809,69.56771127565096,62.052103792799485,67.52533519203436,62.33530100583307,64.75840495361658,64.75840495361658,62.62064374430807,62.33530100583307,66.55087918818326,59.5263588036405,60.59869892038341,54.54253464702508,79.04833747071848,62.052103792799485,71.85233188065581,71.85233188065581,57.337036206360594,60.66669086246645,59.5263588036405,68.95813423122166,66.55087918818326,87.54021458143603,83.63950022490779,65.83827354181504,93.45580008996312,67.60786306320767
cbs,69.56771127565096,62.33530100583307,64.75840495361658,62.62064374430807,62.62064374430807,64.75840495361658,62.33530100583307,69.56771127565096,62.62064374430807,62.62064374430807,100.0,47.39138898534962,44.56711139417057,51.41179459481151,46.985921630633634,60.19318599644665,62.62064374430807,67.85671799335888,57.337036206360594,83.80393153160384,67.77355282975994,62.62064374430807,63.4168103570238,72.23531119703514,64.68253490875809,69.56771127565096,62.052103792799485,67.52533519203436,62.33530100583307,64.75840495361658,64.75840495361658,62.62064374430807,62.33530100583307,66.55087918818326,59.5263588036405,60.59869892038341,54.54253464702508,79.04833747071848,62.052103792799485,71.85233188065581,71.85233188065581,57.337036206360594,60.66669086246645,59.5263588036405,68.95813423122166
cnn,62.052103792799485,64.75840495361658,62.62064374430807,62.33530100583307,62.33530100583307,62.62064374430807,64.75840495361658,62.052103792799485,63.4168103570238,67.85671799335888,47.39138898534962,100.0,83.63950022490779,62.836088514306134,58.93547147218183,60.32789641324954,67.03450639325088,56.46754146080411,47.39138898534962,44.56711139417057,51.41179459481151,46.985921630633634,60.19318599644665,62.62064374430807,67.85671799335888,57.337036206360594,83.80393153160384,67.77355282975994,62.62064374430807,63.4168103570238,72.23531119703514,64.68253490875809,69.56771127565096,62.052103792799485,67.52533519203436,62.33530100583307,64.75840495361658,64.75840495361658,62.62064374430807,62.33530100583307,66.55087918818326,59.5263588036405,60.59869892038341,54.54253464702508,79.04833747071848
commondreams,67.52533519203436,64.75840495361658,62.33530100583307,66.55087918818326,66.55087918818326,62.33530100583307,64.75840495361658,67.52533519203436,72.23531119703514,57.337036206360594,44.56711139417057,83.63950022490779,100.0,89.39718432612673,65.06353273179997,53.15065834289135,82.37920247680829,52.63924952848784,74.86652334390904,78.92097056791478,83.63950022490779,62.836088514306134,58.93547147218183,60.32789641324954,67.03450639325088,56.46754146080411,47.39138898534962,44.56711139417057,51.41179459481151,46.985921630633634,60.19318599644665,62.62064374430807,67.85671799335888,57.337036206360594,83.80393153160384,67.77355282975994,62.62064374430807,63.4168103570238,72.23531119703514,64.68253490875809,69.56771127565096,62.052103792799485,67.52533519203436,62.33530100583307,64.75840495361658
consortium,62.33530100583307,62.62064374430807,66.55087918818326,59.5263588036405,59.5263588036405,66.55087918818326,62.62064374430807,62.33530100583307,64.68253490875809,83.80393153160384,51.41179459481151,62.836088514306134,89.39718432612673,100.0,72.23531119703514,88.43137966543131,73.21670756334608,70.9169394469065,56.10017242842855,59.00070507735315,52.30135641790498,74.02851176222671,89.39718432612673,65.06353273179997,53.15065834289135,82.37920247680829,52.63924952848784,74.86652334390904,78.92097056791478,83.63950022490779,62.836088514306134,58.93547147218183,60.32789641324954,67.03450639325088,56.46754146080411,47.39138898534962,44.56711139417057,51.41179459481151,46.985921630633634,60.19318599644665,62.62064374430807,67.85671799335888,57.337036206360594,83.80393153160384,67.77355282975994
conversation,64.75840495361658,62.33530100583307,59.5263588036405,60.59869892038341,60.59869892038341,59.5263588036405,62.33530100583307,64.75840495361658,69.56771127565096,67.77355282975994,46.985921630633634,58.93547147218183,65.06353273179997,72.23531119703514,100.0,94.82635570520361,69.8327289960014,60.66669086246645,94.33255663046423,74.86652334390904,67.44301651799513,53.37975185101185,60.19318599644665,48.00551832937459,72.23531119703514,88.43137966543131,73.21670756334608,70.9169394469065,56.10017242842855,59.00070507735315,52.30135641790498,74.02851176222671,89.39718432612673,65.06353273179997,53.15065834289135,82.37920247680829,52.63924952848784,74.86652334390904,78.92097056791478,83.63950022490779,62.836088514306134,58.93547147218183,60.32789641324954,67.03450639325088,56.46754146080411
counterpunch,64.75840495361658,66.55087918818326,60.59869892038341,54.54253464702508,54.54253464702508,60.59869892038341,66.55087918818326,64.75840495361658,62.052103792799485,62.62064374430807,60.19318599644665,60.32789641324954,53.15065834289135,88.43137966543131,94.82635570520361,100.0,86.11765559851757,53.437201346832495,62.69232042819978,59.328442507507816,51.798957780022256,56.344741615901064,54.307610780916924,62.549104241049825,50.376147201216945,47.748753895375074,94.82635570520361,69.8327289960014,60.66669086246645,94.33255663046423,74.86652334390904,67.44301651799513,53.37975185101185,60.19318599644665,48.00551832937459,72.23531119703514,88.43137966543131,73.21670756334608,70.9169394469065,56.10017242842855,59.00070507735315,52.30135641790498,74.02851176222671,89.39718432612673,65.06353273179997
dailycaller,62.62064374430807,59.5263588036405,54.54253464702508,79.04833747071848,79.04833747071848,54.54253464702508,59.5263588036405,62.62064374430807,67.52533519203436,63.4168103570238,62.62064374430807,67.03450639325088,82.37920247680829,73.21670756334608,69.8327289960014,86.11765559851757,100.0,45.4431911110482,40.46935901341151,87.54021458143603,67.77355282975994,59.06604264065884,52.92267966487727,53.49472181184589,53.15065834289135,77.56761289040577,57.21174088873189,49.626661482439836,86.11765559851757,53.437201346832495,62.69232042819978,59.328442507507816,51.798957780022256,56.344741615901064,54.307610780916924,62.549104241049825,50.376147201216945,47.748753895375074,94.82635570520361,69.8327289960014,60.66669086246645,94.33255663046423,74.86652334390904,67.44301651799513,53.37975185101185
dailymail,62.33530100583307,60.59869892038341,79.04833747071848,62.052103792799485,62.052103792799485,79.04833747071848,60.59869892038341,62.33530100583307,62.33530100583307,72.23531119703514,67.85671799335888,56.46754146080411,52.63924952848784,70.9169394469065,60.66669086246645,53.437201346832495,45.4431911110482,100.0,68.44501077874139,52.245273337296226,58.35296679555273,61.771004423556654,84.65249080326396,93.0588277992588,44.954758727717724,90.74510373234504,50.48414265632012,55.37450628275924,48.993009674177976,58.224624324274885,45.4431911110482,40.46935901341151,87.54021458143603,67.77355282975994,59.06604264065884,52.92267966487727,53.49472181184589,53.15065834289135,77.56761289040577,57.21174088873189,49.626661482439836,86.11765559851757,53.437201346832495,62.69232042819978,59.328442507507816
dailywire,66.55087918818326,54.54253464702508,62.052103792799485,71.85233188065581,71.85233188065581,62.052103792799485,54.54253464702508,66.55087918818326,64.75840495361658,64.68253490875809,57.337036206360594,47.39138898534962,74.86652334390904,56.10017242842855,94.33255663046423,62.69232042819978,40.46935901341151,68.44501077874139,100.0,91.34283725407558,71.66278315232111,61.14596579112963,85.36672414280952,52.30135641790498,70.01070854933278,76.29138340031912,64.91063717737747,56.10017242842855,65.52628782920067,84.65249080326396,88.2022758337376,73.61948678444523,68.44501077874139,52.245273337296226,58.35296679555273,61.771004423556654,84.65249080326396,93.0588277992588,44.954758727717724,90.74510373234504,50.48414265632012,55.37450628275924,48.993009674177976,58.224624324274885,45.4431911110482
economist,59.5263588036405,79.04833747071848,71.85233188065581,71.85233188065581,71.85233188065581,71.85233188065581,79.04833747071848,59.5263588036405,64.75840495361658,69.56771127565096,83.80393153160384,44.56711139417057,78.92097056791478,59.00070507735315,74.86652334390904,59.328442507507816,87.54021458143603,52.245273337296226,91.34283725407558,100.0,56.10017242842855,67.77355282975994,53.15065834289135,40.02141709866556,60.59869892038341,74.13177852601804,79.56574233035035,65.29413899629394,71.85233188065581,48.574912595494524,76.86275933086262,54.307610780916924,74.65442273417506,73.61948678444523,91.34283725407558,71.66278315232111,61.14596579112963,85.36672414280952,52.30135641790498,70.01070854933278,76.29138340031912,64.91063717737747,56.10017242842855,65.52628782920067,84.65249080326396
