,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,lewrockwell,motherjones,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,vice,vox,wapo,wsj
aljazeera,100.0,76.74736090592295,83.63950022490779,100.0,83.63950022490779,76.29138340031912,90.74510373234504,79.04833747071848,74.13177852601804,76.74736090592295,74.5490352639489,100.0,73.72114617304926,73.61948678444523,84.47906711561083,93.0588277992588,91.34283725407558,80.78076445356649,83.63950022490779,61.701051948629946,83.80393153160384,74.5490352639489,71.7573984977559,83.15583453939496,90.18370013494467,76.40455166747519,76.40455166747519,73.72114617304926,76.74736090592295,76.74736090592295,90.460271283581,75.84401156437751,76.29138340031912,83.63950022490779,78.54340569959523,76.74736090592295,80.23153290665772,84.47906711561083,76.74736090592295,100.0
alternet,76.74736090592295,100.0,76.29138340031912,90.74510373234504,79.04833747071848,74.13177852601804,76.74736090592295,74.5490352639489,100.0,73.72114617304926,73.61948678444523,84.47906711561083,93.0588277992588,91.34283725407558,80.78076445356649,83.63950022490779,61.701051948629946,83.80393153160384,74.5490352639489,71.7573984977559,83.15583453939496,90.18370013494467,76.40455166747519,76.40455166747519,73.72114617304926,76.74736090592295,76.74736090592295,90.460271283581,75.84401156437751,76.29138340031912,83.63950022490779,78.54340569959523,76.74736090592295,80.23153290665772,84.47906711561083,76.74736090592295,100.0,76.74736090592295,93.0588277992588,76.74736090592295
ap,83.63950022490779,76.29138340031912,100.0,74.13177852601804,76.74736090592295,74.5490352639489,100.0,73.72114617304926,73.61948678444523,84.47906711561083,93.0588277992588,91.34283725407558,80.78076445356649,83.63950022490779,61.701051948629946,83.80393153160384,74.5490352639489,71.7573984977559,83.15583453939496,90.18370013494467,76.40455166747519,76.40455166747519,73.72114617304926,76.74736090592295,76.74736090592295,90.460271283581,75.84401156437751,76.29138340031912,83.63950022490779,78.54340569959523,76.74736090592295,80.23153290665772,84.47906711561083,76.74736090592295,100.0,76.74736090592295,93.0588277992588,76.74736090592295,85.18493734841294,95.9925123614105
atlantic,100.0,90.74510373234504,74.13177852601804,100.0,74.5490352639489,100.0,73.72114617304926,73.61948678444523,84.47906711561083,93.0588277992588,91.34283725407558,80.78076445356649,83.63950022490779,61.701051948629946,83.80393153160384,74.5490352639489,71.7573984977559,83.15583453939496,90.18370013494467,76.40455166747519,76.40455166747519,73.72114617304926,76.74736090592295,76.74736090592295,90.460271283581,75.84401156437751,76.29138340031912,83.63950022490779,78.54340569959523,76.74736090592295,80.23153290665772,84.47906711561083,76.74736090592295,100.0,76.74736090592295,93.0588277992588,76.74736090592295,85.18493734841294,95.9925123614105,90.18370013494467
breitbart,83.63950022490779,79.04833747071848,76.74736090592295,74.5490352639489,100.0,100.0,73.72114617304926,73.61948678444523,84.47906711561083,93.0588277992588,91.34283725407558,80.78076445356649,83.63950022490779,61.701051948629946,83.80393153160384,74.5490352639489,71.7573984977559,83.15583453939496,90.18370013494467,76.40455166747519,76.40455166747519,73.72114617304926,76.74736090592295,76.74736090592295,90.460271283581,75.84401156437751,76.29138340031912,83.63950022490779,78.54340569959523,76.74736090592295,80.23153290665772,84.47906711561083,76.74736090592295,100.0,76.74736090592295,93.0588277992588,76.74736090592295,85.18493734841294,95.9925123614105,90.18370013494467
buzzfeed,76.29138340031912,74.13177852601804,74.5490352639489,100.0,100.0,100.0,100.0,73.72114617304926,73.61948678444523,84.47906711561083,93.0588277992588,91.34283725407558,80.78076445356649,83.63950022490779,61.701051948629946,83.80393153160384,74.5490352639489,71.7573984977559,83.15583453939496,90.18370013494467,76.40455166747519,76.40455166747519,73.72114617304926,76.74736090592295,76.74736090592295,90.460271283581,75.84401156437751,76.29138340031912,83.63950022490779,78.54340569959523,76.74736090592295,80.23153290665772,84.47906711561083,76.74736090592295,100.0,76.74736090592295,93.0588277992588,76.74736090592295,85.18493734841294,95.9925123614105
cbs,90.74510373234504,76.74736090592295,100.0,73.72114617304926,73.72114617304926,100.0,100.0,74.5490352639489,100.0,73.72114617304926,73.61948678444523,84.47906711561083,93.0588277992588,91.34283725407558,80.78076445356649,83.63950022490779,61.701051948629946,83.80393153160384,74.5490352639489,71.7573984977559,83.15583453939496,90.18370013494467,76.40455166747519,76.40455166747519,73.72114617304926,76.74736090592295,76.74736090592295,90.460271283581,75.84401156437751,76.29138340031912,83.63950022490779,78.54340569959523,76.74736090592295,80.23153290665772,84.47906711561083,76.74736090592295,100.0,76.74736090592295,93.0588277992588,76.74736090592295
cnn,79.04833747071848,74.5490352639489,73.72114617304926,73.61948678444523,73.61948678444523,73.72114617304926,74.5490352639489,100.0,74.13177852601804,76.74736090592295,74.5490352639489,100.0,73.72114617304926,73.61948678444523,84.47906711561083,93.0588277992588,91.34283725407558,80.78076445356649,83.63950022490779,61.701051948629946,83.80393153160384,74.5490352639489,71.7573984977559,83.15583453939496,90.18370013494467,76.40455166747519,76.40455166747519,73.72114617304926,76.74736090592295,76.74736090592295,90.460271283581,75.84401156437751,76.29138340031912,83.63950022490779,78.54340569959523,76.74736090592295,80.23153290665772,84.47906711561083,76.74736090592295,100.0
commondreams,74.13177852601804,100.0,73.61948678444523,84.47906711561083,84.47906711561083,73.61948678444523,100.0,74.13177852601804,100.0,76.29138340031912,90.74510373234504,79.04833747071848,74.13177852601804,76.74736090592295,74.5490352639489,100.0,73.72114617304926,73.61948678444523,84.47906711561083,93.0588277992588,91.34283725407558,80.78076445356649,83.63950022490779,61.701051948629946,83.80393153160384,74.5490352639489,71.7573984977559,83.15583453939496,90.18370013494467,76.40455166747519,76.40455166747519,73.72114617304926,76.74736090592295,76.74736090592295,90.460271283581,75.84401156437751,76.29138340031912,83.63950022490779,78.54340569959523,76.74736090592295
conversation,76.74736090592295,73.72114617304926,84.47906711561083,93.0588277992588,93.0588277992588,84.47906711561083,73.72114617304926,76.74736090592295,76.29138340031912,100.0,76.74736090592295,83.63950022490779,100.0,83.63950022490779,76.29138340031912,90.74510373234504,79.04833747071848,74.13177852601804,76.74736090592295,74.5490352639489,100.0,73.72114617304926,73.61948678444523,84.47906711561083,93.0588277992588,91.34283725407558,80.78076445356649,83.63950022490779,61.701051948629946,83.80393153160384,74.5490352639489,71.7573984977559,83.15583453939496,90.18370013494467,76.40455166747519,76.40455166747519,73.72114617304926,76.74736090592295,76.74736090592295,90.460271283581
