,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,fox,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,newyorker,npr,nypost,nytimes,opednews,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,spectator,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
aljazeera,,58.69412236331676,5.0,1.0,4.242640687119285,46.216880033165374,49.39635614091387,57.89645930452051,7.0,57.175169435691224,10.0,12.36931687685298,55.794264938253285,53.74011537017761,16.0,55.937465083787984,15.0,7.0,15.0,55.794264938253285,57.175169435691224,57.89645930452051,7.0,56.07138307550475,8.06225774829855,56.07138307550475,58.146367040426526,55.794264938253285,3.605551275463989,7.0,12.36931687685298,16.0,7.0,16.0,46.14108798023731,4.242640687119285,20.0,12.649110640673518,12.649110640673518,56.07138307550475,10.198039027185569,49.48737212663449,15.0,15.0,15.0,57.89645930452051,15.0,58.59180830116101,16.0,42.42640687119285,55.794264938253285,15.0,56.07138307550475,46.314144707637645,12.649110640673518,38.44476557348217,15.0,54.85435260760991,15.524174696260024,55.794264938253285,56.07138307550475,56.07138307550475,55.794264938253285,53.74011537017761,46.216880033165374
alternet,58.69412236331676,,46.216880033165374,49.39635614091387,57.89645930452051,7.0,57.175169435691224,10.0,12.36931687685298,55.794264938253285,53.74011537017761,16.0,55.937465083787984,15.0,7.0,15.0,55.794264938253285,57.175169435691224,57.89645930452051,7.0,56.07138307550475,8.06225774829855,56.07138307550475,58.146367040426526,55.794264938253285,3.605551275463989,7.0,12.36931687685298,16.0,7.0,16.0,46.14108798023731,4.242640687119285,20.0,12.649110640673518,12.649110640673518,56.07138307550475,10.198039027185569,49.48737212663449,15.0,15.0,15.0,57.89645930452051,15.0,58.59180830116101,16.0,42.42640687119285,55.794264938253285,15.0,56.07138307550475,46.314144707637645,12.649110640673518,38.44476557348217,15.0,54.85435260760991,15.524174696260024,55.794264938253285,56.07138307550475,56.07138307550475,55.794264938253285,53.74011537017761,46.216880033165374,56.07138307550475,57.175169435691224,55.794264938253285
americanconservative,5.0,46.216880033165374,,7.0,57.175169435691224,10.0,12.36931687685298,55.794264938253285,53.74011537017761,16.0,55.937465083787984,15.0,7.0,15.0,55.794264938253285,57.175169435691224,57.89645930452051,7.0,56.07138307550475,8.06225774829855,56.07138307550475,58.146367040426526,55.794264938253285,3.605551275463989,7.0,12.36931687685298,16.0,7.0,16.0,46.14108798023731,4.242640687119285,20.0,12.649110640673518,12.649110640673518,56.07138307550475,10.198039027185569,49.48737212663449,15.0,15.0,15.0,57.89645930452051,15.0,58.59180830116101,16.0,42.42640687119285,55.794264938253285,15.0,56.07138307550475,46.314144707637645,12.649110640673518,38.44476557348217,15.0,54.85435260760991,15.524174696260024,55.794264938253285,56.07138307550475,56.07138307550475,55.794264938253285,53.74011537017761,46.216880033165374,56.07138307550475,57.175169435691224,55.794264938253285,5.656854249492381,56.78027826631356
americanspectator,1.0,49.39635614091387,7.0,,10.0,12.36931687685298,55.794264938253285,53.74011537017761,16.0,55.937465083787984,15.0,7.0,15.0,55.794264938253285,57.175169435691224,57.89645930452051,7.0,56.07138307550475,8.06225774829855,56.07138307550475,58.146367040426526,55.794264938253285,3.605551275463989,7.0,12.36931687685298,16.0,7.0,16.0,46.14108798023731,4.242640687119285,20.0,12.649110640673518,12.649110640673518,56.07138307550475,10.198039027185569,49.48737212663449,15.0,15.0,15.0,57.89645930452051,15.0,58.59180830116101,16.0,42.42640687119285,55.794264938253285,15.0,56.07138307550475,46.314144707637645,12.649110640673518,38.44476557348217,15.0,54.85435260760991,15.524174696260024,55.794264938253285,56.07138307550475,56.07138307550475,55.794264938253285,53.74011537017761,46.216880033165374,56.07138307550475,57.175169435691224,55.794264938253285,5.656854249492381,56.78027826631356,50.48762224545735
ap,4.242640687119285,57.89645930452051,57.175169435691224,10.0,,12.36931687685298,55.794264938253285,53.74011537017761,16.0,55.937465083787984,15.0,7.0,15.0,55.794264938253285,57.175169435691224,57.89645930452051,7.0,56.07138307550475,8.06225774829855,56.07138307550475,58.146367040426526,55.794264938253285,3.605551275463989,7.0,12.36931687685298,16.0,7.0,16.0,46.14108798023731,4.242640687119285,20.0,12.649110640673518,12.649110640673518,56.07138307550475,10.198039027185569,49.48737212663449,15.0,15.0,15.0,57.89645930452051,15.0,58.59180830116101,16.0,42.42640687119285,55.794264938253285,15.0,56.07138307550475,46.314144707637645,12.649110640673518,38.44476557348217,15.0,54.85435260760991,15.524174696260024,55.794264938253285,56.07138307550475,56.07138307550475,55.794264938253285,53.74011537017761,46.216880033165374,56.07138307550475,57.175169435691224,55.794264938253285,5.656854249492381,56.78027826631356,50.48762224545735
atlantic,46.216880033165374,7.0,10.0,12.36931687685298,12.36931687685298,,12.36931687685298,55.794264938253285,53.74011537017761,16.0,55.937465083787984,15.0,7.0,15.0,55.794264938253285,57.175169435691224,57.89645930452051,7.0,56.07138307550475,8.06225774829855,56.07138307550475,58.146367040426526,55.794264938253285,3.605551275463989,7.0,12.36931687685298,16.0,7.0,16.0,46.14108798023731,4.242640687119285,20.0,12.649110640673518,12.649110640673518,56.07138307550475,10.198039027185569,49.48737212663449,15.0,15.0,15.0,57.89645930452051,15.0,58.59180830116101,16.0,42.42640687119285,55.794264938253285,15.0,56.07138307550475,46.314144707637645,12.649110640673518,38.44476557348217,15.0,54.85435260760991,15.524174696260024,55.794264938253285,56.07138307550475,56.07138307550475,55.794264938253285,53.74011537017761,46.216880033165374,56.07138307550475,57.175169435691224,55.794264938253285,5.656854249492381,56.78027826631356
axios,49.39635614091387,57.175169435691224,12.36931687685298,55.794264938253285,55.794264938253285,12.36931687685298,,10.0,12.36931687685298,55.794264938253285,53.74011537017761,16.0,55.937465083787984,15.0,7.0,15.0,55.794264938253285,57.175169435691224,57.89645930452051,7.0,56.07138307550475,8.06225774829855,56.07138307550475,58.146367040426526,55.794264938253285,3.605551275463989,7.0,12.36931687685298,16.0,7.0,16.0,46.14108798023731,4.242640687119285,20.0,12.649110640673518,12.649110640673518,56.07138307550475,10.198039027185569,49.48737212663449,15.0,15.0,15.0,57.89645930452051,15.0,58.59180830116101,16.0,42.42640687119285,55.794264938253285,15.0,56.07138307550475,46.314144707637645,12.649110640673518,38.44476557348217,15.0,54.85435260760991,15.524174696260024,55.794264938253285,56.07138307550475,56.07138307550475,55.794264938253285,53.74011537017761,46.216880033165374,56.07138307550475,57.175169435691224,55.794264938253285
bbc,57.89645930452051,10.0,55.794264938253285,53.74011537017761,53.74011537017761,55.794264938253285,10.0,,7.0,57.175169435691224,10.0,12.36931687685298,55.794264938253285,53.74011537017761,16.0,55.937465083787984,15.0,7.0,15.0,55.794264938253285,57.175169435691224,57.89645930452051,7.0,56.07138307550475,8.06225774829855,56.07138307550475,58.146367040426526,55.794264938253285,3.605551275463989,7.0,12.36931687685298,16.0,7.0,16.0,46.14108798023731,4.242640687119285,20.0,12.649110640673518,12.649110640673518,56.07138307550475,10.198039027185569,49.48737212663449,15.0,15.0,15.0,57.89645930452051,15.0,58.59180830116101,16.0,42.42640687119285,55.794264938253285,15.0,56.07138307550475,46.314144707637645,12.649110640673518,38.44476557348217,15.0,54.85435260760991,15.524174696260024,55.794264938253285,56.07138307550475,56.07138307550475,55.794264938253285,53.74011537017761,46.216880033165374
breitbart,7.0,12.36931687685298,53.74011537017761,16.0,16.0,53.74011537017761,12.36931687685298,7.0,,46.216880033165374,49.39635614091387,57.89645930452051,7.0,57.175169435691224,10.0,12.36931687685298,55.794264938253285,53.74011537017761,16.0,55.937465083787984,15.0,7.0,15.0,55.794264938253285,57.175169435691224,57.89645930452051,7.0,56.07138307550475,8.06225774829855,56.07138307550475,58.146367040426526,55.794264938253285,3.605551275463989,7.0,12.36931687685298,16.0,7.0,16.0,46.14108798023731,4.242640687119285,20.0,12.649110640673518,12.649110640673518,56.07138307550475,10.198039027185569,49.48737212663449,15.0,15.0,15.0,57.89645930452051,15.0,58.59180830116101,16.0,42.42640687119285,55.794264938253285,15.0,56.07138307550475,46.314144707637645,12.649110640673518,38.44476557348217,15.0,54.85435260760991,15.524174696260024,55.794264938253285,56.07138307550475
businessinsider,57.175169435691224,55.794264938253285,16.0,55.937465083787984,55.937465083787984,16.0,55.794264938253285,57.175169435691224,46.216880033165374,,58.69412236331676,5.0,1.0,4.242640687119285,46.216880033165374,49.39635614091387,57.89645930452051,7.0,57.175169435691224,10.0,12.36931687685298,55.794264938253285,53.74011537017761,16.0,55.937465083787984,15.0,7.0,15.0,55.794264938253285,57.175169435691224,57.89645930452051,7.0,56.07138307550475,8.06225774829855,56.07138307550475,58.146367040426526,55.794264938253285,3.605551275463989,7.0,12.36931687685298,16.0,7.0,16.0,46.14108798023731,4.242640687119285,20.0,12.649110640673518,12.649110640673518,56.07138307550475,10.198039027185569,49.48737212663449,15.0,15.0,15.0,57.89645930452051,15.0,58.59180830116101,16.0,42.42640687119285,55.794264938253285,15.0,56.07138307550475,46.314144707637645,12.649110640673518,38.44476557348217
