,aljazeera,alternet,americanconservative,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,foreignaffairs,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,time,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
aljazeera,100.0,89.14767217266505,70.9169394469065,71.7573984977559,72.91855412056492,70.01070854933278,80.78076445356649,77.68725314137961,44.182156153709926,86.91160017992622,81.7817184788306,82.37920247680829,87.54021458143603,80.23153290665772,96.72790004498155,92.68336207140476,46.78434646098404,86.7086671508113,94.82635570520361,80.78076445356649,85.36672414280952,88.66511326092844,39.93222956553256,81.7817184788306,78.17237080795053,82.99766989139266,76.17875275875589,80.78076445356649,25.92468674206473,83.80393153160384,11.200005787372147,64.3806707432277,80.23153290665772,69.8327289960014,62.40643364532459,81.2032168226623,87.32721136708753,86.7086671508113,4.434512962922477,88.66511326092844,94.33255663046423,43.895173059747194,37.52945019332908,79.17648339777637,74.65442273417506,87.32721136708753,55.55481204523883,92.32624540163198,80.78076445356649,25.92468674206473,78.79436865225345,52.30135641790498,74.86652334390904,62.62064374430807,87.32721136708753,82.22794822168429
alternet,89.14767217266505,100.0,70.01070854933278,80.78076445356649,77.68725314137961,44.182156153709926,86.91160017992622,81.7817184788306,82.37920247680829,87.54021458143603,80.23153290665772,96.72790004498155,92.68336207140476,46.78434646098404,86.7086671508113,94.82635570520361,80.78076445356649,85.36672414280952,88.66511326092844,39.93222956553256,81.7817184788306,78.17237080795053,82.99766989139266,76.17875275875589,80.78076445356649,25.92468674206473,83.80393153160384,11.200005787372147,64.3806707432277,80.23153290665772,69.8327289960014,62.40643364532459,81.2032168226623,87.32721136708753,86.7086671508113,4.434512962922477,88.66511326092844,94.33255663046423,43.895173059747194,37.52945019332908,79.17648339777637,74.65442273417506,87.32721136708753,55.55481204523883,92.32624540163198,80.78076445356649,25.92468674206473,78.79436865225345,52.30135641790498,74.86652334390904,62.62064374430807,87.32721136708753,82.22794822168429,83.63950022490779,83.31549847893488,80.78076445356649
americanconservative,70.9169394469065,70.01070854933278,100.0,44.182156153709926,86.91160017992622,81.7817184788306,82.37920247680829,87.54021458143603,80.23153290665772,96.72790004498155,92.68336207140476,46.78434646098404,86.7086671508113,94.82635570520361,80.78076445356649,85.36672414280952,88.66511326092844,39.93222956553256,81.7817184788306,78.17237080795053,82.99766989139266,76.17875275875589,80.78076445356649,25.92468674206473,83.80393153160384,11.200005787372147,64.3806707432277,80.23153290665772,69.8327289960014,62.40643364532459,81.2032168226623,87.32721136708753,86.7086671508113,4.434512962922477,88.66511326092844,94.33255663046423,43.895173059747194,37.52945019332908,79.17648339777637,74.65442273417506,87.32721136708753,55.55481204523883,92.32624540163198,80.78076445356649,25.92468674206473,78.79436865225345,52.30135641790498,74.86652334390904,62.62064374430807,87.32721136708753,82.22794822168429,83.63950022490779,83.31549847893488,80.78076445356649,74.5490352639489,70.64213276976082
ap,71.7573984977559,80.78076445356649,44.182156153709926,100.0,81.7817184788306,82.37920247680829,87.54021458143603,80.23153290665772,96.72790004498155,92.68336207140476,46.78434646098404,86.7086671508113,94.82635570520361,80.78076445356649,85.36672414280952,88.66511326092844,39.93222956553256,81.7817184788306,78.17237080795053,82.99766989139266,76.17875275875589,80.78076445356649,25.92468674206473,83.80393153160384,11.200005787372147,64.3806707432277,80.23153290665772,69.8327289960014,62.40643364532459,81.2032168226623,87.32721136708753,86.7086671508113,4.434512962922477,88.66511326092844,94.33255663046423,43.895173059747194,37.52945019332908,79.17648339777637,74.65442273417506,87.32721136708753,55.55481204523883,92.32624540163198,80.78076445356649,25.92468674206473,78.79436865225345,52.30135641790498,74.86652334390904,62.62064374430807,87.32721136708753,82.22794822168429,83.63950022490779,83.31549847893488,80.78076445356649,74.5490352639489,70.64213276976082,64.60682750121278
atlantic,72.91855412056492,77.68725314137961,86.91160017992622,81.7817184788306,100.0,82.37920247680829,87.54021458143603,80.23153290665772,96.72790004498155,92.68336207140476,46.78434646098404,86.7086671508113,94.82635570520361,80.78076445356649,85.36672414280952,88.66511326092844,39.93222956553256,81.7817184788306,78.17237080795053,82.99766989139266,76.17875275875589,80.78076445356649,25.92468674206473,83.80393153160384,11.200005787372147,64.3806707432277,80.23153290665772,69.8327289960014,62.40643364532459,81.2032168226623,87.32721136708753,86.7086671508113,4.434512962922477,88.66511326092844,94.33255663046423,43.895173059747194,37.52945019332908,79.17648339777637,74.65442273417506,87.32721136708753,55.55481204523883,92.32624540163198,80.78076445356649,25.92468674206473,78.79436865225345,52.30135641790498,74.86652334390904,62.62064374430807,87.32721136708753,82.22794822168429,83.63950022490779,83.31549847893488,80.78076445356649,74.5490352639489,70.64213276976082,64.60682750121278
axios,70.01070854933278,44.182156153709926,81.7817184788306,82.37920247680829,82.37920247680829,100.0,82.37920247680829,87.54021458143603,80.23153290665772,96.72790004498155,92.68336207140476,46.78434646098404,86.7086671508113,94.82635570520361,80.78076445356649,85.36672414280952,88.66511326092844,39.93222956553256,81.7817184788306,78.17237080795053,82.99766989139266,76.17875275875589,80.78076445356649,25.92468674206473,83.80393153160384,11.200005787372147,64.3806707432277,80.23153290665772,69.8327289960014,62.40643364532459,81.2032168226623,87.32721136708753,86.7086671508113,4.434512962922477,88.66511326092844,94.33255663046423,43.895173059747194,37.52945019332908,79.17648339777637,74.65442273417506,87.32721136708753,55.55481204523883,92.32624540163198,80.78076445356649,25.92468674206473,78.79436865225345,52.30135641790498,74.86652334390904,62.62064374430807,87.32721136708753,82.22794822168429,83.63950022490779,83.31549847893488,80.78076445356649,74.5490352639489,70.64213276976082
bbc,80.78076445356649,86.91160017992622,82.37920247680829,87.54021458143603,87.54021458143603,82.37920247680829,100.0,81.7817184788306,82.37920247680829,87.54021458143603,80.23153290665772,96.72790004498155,92.68336207140476,46.78434646098404,86.7086671508113,94.82635570520361,80.78076445356649,85.36672414280952,88.66511326092844,39.93222956553256,81.7817184788306,78.17237080795053,82.99766989139266,76.17875275875589,80.78076445356649,25.92468674206473,83.80393153160384,11.200005787372147,64.3806707432277,80.23153290665772,69.8327289960014,62.40643364532459,81.2032168226623,87.32721136708753,86.7086671508113,4.434512962922477,88.66511326092844,94.33255663046423,43.895173059747194,37.52945019332908,79.17648339777637,74.65442273417506,87.32721136708753,55.55481204523883,92.32624540163198,80.78076445356649,25.92468674206473,78.79436865225345,52.30135641790498,74.86652334390904,62.62064374430807,87.32721136708753,82.22794822168429,83.63950022490779,83.31549847893488,80.78076445356649
breitbart,77.68725314137961,81.7817184788306,87.54021458143603,80.23153290665772,80.23153290665772,87.54021458143603,81.7817184788306,100.0,44.182156153709926,86.91160017992622,81.7817184788306,82.37920247680829,87.54021458143603,80.23153290665772,96.72790004498155,92.68336207140476,46.78434646098404,86.7086671508113,94.82635570520361,80.78076445356649,85.36672414280952,88.66511326092844,39.93222956553256,81.7817184788306,78.17237080795053,82.99766989139266,76.17875275875589,80.78076445356649,25.92468674206473,83.80393153160384,11.200005787372147,64.3806707432277,80.23153290665772,69.8327289960014,62.40643364532459,81.2032168226623,87.32721136708753,86.7086671508113,4.434512962922477,88.66511326092844,94.33255663046423,43.895173059747194,37.52945019332908,79.17648339777637,74.65442273417506,87.32721136708753,55.55481204523883,92.32624540163198,80.78076445356649,25.92468674206473,78.79436865225345,52.30135641790498,74.86652334390904,62.62064374430807,87.32721136708753,82.22794822168429
businessinsider,44.182156153709926,82.37920247680829,80.23153290665772,96.72790004498155,96.72790004498155,80.23153290665772,82.37920247680829,44.182156153709926,100.0,70.01070854933278,80.78076445356649,77.68725314137961,44.182156153709926,86.91160017992622,81.7817184788306,82.37920247680829,87.54021458143603,80.23153290665772,96.72790004498155,92.68336207140476,46.78434646098404,86.7086671508113,94.82635570520361,80.78076445356649,85.36672414280952,88.66511326092844,39.93222956553256,81.7817184788306,78.17237080795053,82.99766989139266,76.17875275875589,80.78076445356649,25.92468674206473,83.80393153160384,11.200005787372147,64.3806707432277,80.23153290665772,69.8327289960014,62.40643364532459,81.2032168226623,87.32721136708753,86.7086671508113,4.434512962922477,88.66511326092844,94.33255663046423,43.895173059747194,37.52945019332908,79.17648339777637,74.65442273417506,87.32721136708753,55.55481204523883,92.32624540163198,80.78076445356649,25.92468674206473,78.79436865225345,52.30135641790498
buzzfeed,86.91160017992622,87.54021458143603,96.72790004498155,92.68336207140476,92.68336207140476,96.72790004498155,87.54021458143603,86.91160017992622,70.01070854933278,100.0,89.14767217266505,70.9169394469065,71.7573984977559,72.91855412056492,70.01070854933278,80.78076445356649,77.68725314137961,44.182156153709926,86.91160017992622,81.7817184788306,82.37920247680829,87.54021458143603,80.23153290665772,96.72790004498155,92.68336207140476,46.78434646098404,86.7086671508113,94.82635570520361,80.78076445356649,85.36672414280952,88.66511326092844,39.93222956553256,81.7817184788306,78.17237080795053,82.99766989139266,76.17875275875589,80.78076445356649,25.92468674206473,83.80393153160384,11.200005787372147,64.3806707432277,80.23153290665772,69.8327289960014,62.40643364532459,81.2032168226623,87.32721136708753,86.7086671508113,4.434512962922477,88.66511326092844,94.33255663046423,43.895173059747194,37.52945019332908,79.17648339777637,74.65442273417506,87.32721136708753,55.55481204523883
canary,81.7817184788306,80.23153290665772,92.68336207140476,46.78434646098404,46.78434646098404,92.68336207140476,80.23153290665772,81.7817184788306,80.78076445356649,89.14767217266505,100.0,93.45580008996312,72.0431657292691,74.97324771840232,70.64213276976082,71.9475865298736,89.14767217266505,70.9169394469065,71.7573984977559,72.91855412056492,70.01070854933278,80.78076445356649,77.68725314137961,44.182156153709926,86.91160017992622,81.7817184788306,82.37920247680829,87.54021458143603,80.23153290665772,96.72790004498155,92.68336207140476,46.78434646098404,86.7086671508113,94.82635570520361,80.78076445356649,85.36672414280952,88.66511326092844,39.93222956553256,81.7817184788306,78.17237080795053,82.99766989139266,76.17875275875589,80.78076445356649,25.92468674206473,83.80393153160384,11.200005787372147,64.3806707432277,80.23153290665772,69.8327289960014,62.40643364532459,81.2032168226623,87.32721136708753,86.7086671508113,4.434512962922477,88.66511326092844,94.33255663046423
cbs,82.37920247680829,96.72790004498155,46.78434646098404,86.7086671508113,86.7086671508113,46.78434646098404,96.72790004498155,82.37920247680829,77.68725314137961,70.9169394469065,93.45580008996312,100.0,70.27967623763807,49.839657525357275,76.74736090592295,56.03924272863898,54.660453043713765,75.84401156437751,93.45580008996312,72.0431657292691,74.97324771840232,70.64213276976082,71.9475865298736,89.14767217266505,70.9169394469065,71.7573984977559,72.91855412056492,70.01070854933278,80.78076445356649,77.68725314137961,44.182156153709926,86.91160017992622,81.7817184788306,82.37920247680829,87.54021458143603,80.23153290665772,96.72790004498155,92.68336207140476,46.78434646098404,86.7086671508113,94.82635570520361,80.78076445356649,85.36672414280952,88.66511326092844,39.93222956553256,81.7817184788306,78.17237080795053,82.99766989139266,76.17875275875589,80.78076445356649,25.92468674206473,83.80393153160384,11.200005787372147,64.3806707432277,80.23153290665772,69.8327289960014
