,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,foreignaffairs,fox,globalresearch,grayzone,guardian,huffingtonpost,infowars,intercept,jacobinmag,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,reveal,rt,scientificamerican,shadowproof,slate,snopes,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
aljazeera,,5.477225575051661,7.681145747868608,5.196152422706632,5.656854249492381,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654
alternet,5.477225575051661,,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654,9.055385138137417,6.4031242374328485,4.123105625617661
americanconservative,7.681145747868608,11.445523142259598,,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654,9.055385138137417,6.4031242374328485,4.123105625617661,6.0,2.449489742783178
americanthinker,5.196152422706632,6.557438524302,3.1622776601683795,,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654,9.055385138137417,6.4031242374328485,4.123105625617661,6.0,2.449489742783178,9.848857801796104
antiwar,5.656854249492381,10.44030650891055,8.602325267042627,6.928203230275509,,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654,9.055385138137417,6.4031242374328485,4.123105625617661,6.0,2.449489742783178,9.848857801796104
ap,11.445523142259598,3.1622776601683795,6.928203230275509,7.211102550927978,7.211102550927978,,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654,9.055385138137417,6.4031242374328485,4.123105625617661,6.0,2.449489742783178
atlantic,6.557438524302,8.602325267042627,7.211102550927978,8.602325267042627,8.602325267042627,7.211102550927978,,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654,9.055385138137417,6.4031242374328485,4.123105625617661
bbc,10.44030650891055,6.928203230275509,8.602325267042627,5.0990195135927845,5.0990195135927845,8.602325267042627,6.928203230275509,,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665,4.58257569495584,7.0710678118654755,5.196152422706632,7.810249675906654
breitbart,3.1622776601683795,7.211102550927978,5.0990195135927845,7.483314773547883,7.483314773547883,5.0990195135927845,7.211102550927978,3.1622776601683795,,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413,9.433981132056603,8.12403840463596,4.123105625617661,7.0710678118654755,9.899494936611665
businessinsider,8.602325267042627,8.602325267042627,7.483314773547883,9.486832980505138,9.486832980505138,7.483314773547883,8.602325267042627,8.602325267042627,11.445523142259598,,5.477225575051661,7.681145747868608,5.196152422706632,5.656854249492381,11.445523142259598,6.557438524302,10.44030650891055,3.1622776601683795,8.602325267042627,6.928203230275509,7.211102550927978,8.602325267042627,5.0990195135927845,7.483314773547883,9.486832980505138,9.0,8.602325267042627,4.123105625617661,5.744562646538029,9.219544457292887,4.242640687119285,9.273618495495704,9.0,9.539392014169456,8.602325267042627,8.602325267042627,3.0,7.681145747868608,8.12403840463596,5.830951894845301,7.0710678118654755,8.306623862918075,9.539392014169456,8.12403840463596,9.486832980505138,8.06225774829855,9.899494936611665,4.69041575982343,5.385164807134504,7.0710678118654755,11.40175425099138,7.681145747868608,5.0990195135927845,9.433981132056603,7.874007874011811,9.0,7.14142842854285,5.0,3.7416573867739413,2.8284271247461903,9.1104335791443,9.0,5.656854249492381,9.0,8.602325267042627,9.848857801796104,9.486832980505138,8.602325267042627,10.344080432788601,5.0,5.0,9.848857801796104,11.40175425099138,4.58257569495584,10.295630140987,3.7416573867739413
