,Similarity
aljazeera,6.3870559289766815
alternet,0.0
americanconservative,10.68905220441556
americanthinker,28.12543641320463
ap,26.505109501842316
atlantic,1.7824814903972808
bbc,25.384640856399553
breitbart,4.378512086720465
buzzfeed,0.0
canary,11.592727536637948
cbs,8.381201259483618
cnn,15.652142719347871
commondreams,6.358467458598516
conversation,11.411255010819632
counterpunch,21.70855524899835
dailycaller,13.36655773283728
dailykos,21.36741444046684
dailymail,21.70855524899835
economist,19.783483574175044
federalist,4.57465893514053
fox,2.137403496368706
guardian,13.893398074973684
huffingtonpost,10.68905220441556
independent,7.856828654012937
infowars,1.7824814903972808
intercept,4.378512086720465
mintpress,21.70855524899835
motherjones,26.505109501842316
nationalreview,21.70855524899835
nbc,16.545412982758013
npr,8.381201259483618
nypost,15.019841086324304
nytimes,20.487297824306637
opednews,3.348348405789514
pjmedia,8.381201259483618
rawstory,9.085069294050141
redstate,21.70855524899835
reuters,32.70283867121731
rt,19.019657658019185
slate,14.86249942426866
spectator,22.914436149330854
truthdig,8.381201259483618
usatoday,18.59110003460299
vice,26.83362071404759
vox,16.449248648549762
wapo,7.856828654012937
