,aljazeera,alternet,americanconservative,americanspectator,americanthinker,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,freebeacon,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,newyorker,npr,nypost,nytimes,observerny,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
aljazeera,100.0,86.11765559851757,73.61948678444523,73.61948678444523,100.0,69.56771127565096,63.8584747124991,93.45580008996312,62.052103792799485,90.74510373234504,69.92158713012141,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901,69.92158713012141,74.13177852601804,74.13177852601804,58.80531416156176,76.40455166747519,100.0,69.92158713012141,62.052103792799485,69.92158713012141,62.33530100583307,69.92158713012141,60.19318599644665,65.83827354181504,57.905480070001445,93.45580008996312,69.92158713012141,71.85233188065581,69.13107076215275,61.214917104043046,63.784489936425274,59.06604264065884,74.13177852601804,69.92158713012141,69.92158713012141,66.87251282013307,57.905480070001445,69.92158713012141,69.92158713012141,76.86275933086262,72.23531119703514,69.92158713012141,64.68253490875809,81.4902074646901,69.92158713012141,62.33530100583307,79.30542282081444,69.92158713012141,57.905480070001445,83.80393153160384
alternet,86.11765559851757,100.0,69.56771127565096,63.8584747124991,93.45580008996312,62.052103792799485,90.74510373234504,69.92158713012141,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901,69.92158713012141,74.13177852601804,74.13177852601804,58.80531416156176,76.40455166747519,100.0,69.92158713012141,62.052103792799485,69.92158713012141,62.33530100583307,69.92158713012141,60.19318599644665,65.83827354181504,57.905480070001445,93.45580008996312,69.92158713012141,71.85233188065581,69.13107076215275,61.214917104043046,63.784489936425274,59.06604264065884,74.13177852601804,69.92158713012141,69.92158713012141,66.87251282013307,57.905480070001445,69.92158713012141,69.92158713012141,76.86275933086262,72.23531119703514,69.92158713012141,64.68253490875809,81.4902074646901,69.92158713012141,62.33530100583307,79.30542282081444,69.92158713012141,57.905480070001445,83.80393153160384,91.65774923946745,69.92158713012141,69.92158713012141
americanconservative,73.61948678444523,69.56771127565096,100.0,62.052103792799485,90.74510373234504,69.92158713012141,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901,69.92158713012141,74.13177852601804,74.13177852601804,58.80531416156176,76.40455166747519,100.0,69.92158713012141,62.052103792799485,69.92158713012141,62.33530100583307,69.92158713012141,60.19318599644665,65.83827354181504,57.905480070001445,93.45580008996312,69.92158713012141,71.85233188065581,69.13107076215275,61.214917104043046,63.784489936425274,59.06604264065884,74.13177852601804,69.92158713012141,69.92158713012141,66.87251282013307,57.905480070001445,69.92158713012141,69.92158713012141,76.86275933086262,72.23531119703514,69.92158713012141,64.68253490875809,81.4902074646901,69.92158713012141,62.33530100583307,79.30542282081444,69.92158713012141,57.905480070001445,83.80393153160384,91.65774923946745,69.92158713012141,69.92158713012141,66.87251282013307,72.91855412056492
americanspectator,73.61948678444523,63.8584747124991,62.052103792799485,100.0,69.92158713012141,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901,69.92158713012141,74.13177852601804,74.13177852601804,58.80531416156176,76.40455166747519,100.0,69.92158713012141,62.052103792799485,69.92158713012141,62.33530100583307,69.92158713012141,60.19318599644665,65.83827354181504,57.905480070001445,93.45580008996312,69.92158713012141,71.85233188065581,69.13107076215275,61.214917104043046,63.784489936425274,59.06604264065884,74.13177852601804,69.92158713012141,69.92158713012141,66.87251282013307,57.905480070001445,69.92158713012141,69.92158713012141,76.86275933086262,72.23531119703514,69.92158713012141,64.68253490875809,81.4902074646901,69.92158713012141,62.33530100583307,79.30542282081444,69.92158713012141,57.905480070001445,83.80393153160384,91.65774923946745,69.92158713012141,69.92158713012141,66.87251282013307,72.91855412056492,72.23531119703514
americanthinker,100.0,93.45580008996312,90.74510373234504,69.92158713012141,100.0,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901,69.92158713012141,74.13177852601804,74.13177852601804,58.80531416156176,76.40455166747519,100.0,69.92158713012141,62.052103792799485,69.92158713012141,62.33530100583307,69.92158713012141,60.19318599644665,65.83827354181504,57.905480070001445,93.45580008996312,69.92158713012141,71.85233188065581,69.13107076215275,61.214917104043046,63.784489936425274,59.06604264065884,74.13177852601804,69.92158713012141,69.92158713012141,66.87251282013307,57.905480070001445,69.92158713012141,69.92158713012141,76.86275933086262,72.23531119703514,69.92158713012141,64.68253490875809,81.4902074646901,69.92158713012141,62.33530100583307,79.30542282081444,69.92158713012141,57.905480070001445,83.80393153160384,91.65774923946745,69.92158713012141,69.92158713012141,66.87251282013307,72.91855412056492,72.23531119703514
ap,69.56771127565096,62.052103792799485,69.92158713012141,69.92158713012141,69.92158713012141,100.0,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901,69.92158713012141,74.13177852601804,74.13177852601804,58.80531416156176,76.40455166747519,100.0,69.92158713012141,62.052103792799485,69.92158713012141,62.33530100583307,69.92158713012141,60.19318599644665,65.83827354181504,57.905480070001445,93.45580008996312,69.92158713012141,71.85233188065581,69.13107076215275,61.214917104043046,63.784489936425274,59.06604264065884,74.13177852601804,69.92158713012141,69.92158713012141,66.87251282013307,57.905480070001445,69.92158713012141,69.92158713012141,76.86275933086262,72.23531119703514,69.92158713012141,64.68253490875809,81.4902074646901,69.92158713012141,62.33530100583307,79.30542282081444,69.92158713012141,57.905480070001445,83.80393153160384,91.65774923946745,69.92158713012141,69.92158713012141,66.87251282013307,72.91855412056492
atlantic,63.8584747124991,90.74510373234504,69.92158713012141,69.92158713012141,69.92158713012141,69.92158713012141,100.0,69.92158713012141,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901,69.92158713012141,74.13177852601804,74.13177852601804,58.80531416156176,76.40455166747519,100.0,69.92158713012141,62.052103792799485,69.92158713012141,62.33530100583307,69.92158713012141,60.19318599644665,65.83827354181504,57.905480070001445,93.45580008996312,69.92158713012141,71.85233188065581,69.13107076215275,61.214917104043046,63.784489936425274,59.06604264065884,74.13177852601804,69.92158713012141,69.92158713012141,66.87251282013307,57.905480070001445,69.92158713012141,69.92158713012141,76.86275933086262,72.23531119703514,69.92158713012141,64.68253490875809,81.4902074646901,69.92158713012141,62.33530100583307,79.30542282081444,69.92158713012141,57.905480070001445,83.80393153160384,91.65774923946745,69.92158713012141,69.92158713012141
bbc,93.45580008996312,69.92158713012141,69.92158713012141,87.54021458143603,87.54021458143603,69.92158713012141,69.92158713012141,100.0,62.052103792799485,90.74510373234504,69.92158713012141,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901,69.92158713012141,74.13177852601804,74.13177852601804,58.80531416156176,76.40455166747519,100.0,69.92158713012141,62.052103792799485,69.92158713012141,62.33530100583307,69.92158713012141,60.19318599644665,65.83827354181504,57.905480070001445,93.45580008996312,69.92158713012141,71.85233188065581,69.13107076215275,61.214917104043046,63.784489936425274,59.06604264065884,74.13177852601804,69.92158713012141,69.92158713012141,66.87251282013307,57.905480070001445,69.92158713012141,69.92158713012141,76.86275933086262,72.23531119703514,69.92158713012141,64.68253490875809,81.4902074646901,69.92158713012141,62.33530100583307,79.30542282081444,69.92158713012141,57.905480070001445,83.80393153160384
breitbart,62.052103792799485,69.92158713012141,87.54021458143603,57.905480070001445,57.905480070001445,87.54021458143603,69.92158713012141,62.052103792799485,100.0,69.56771127565096,63.8584747124991,93.45580008996312,62.052103792799485,90.74510373234504,69.92158713012141,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901,69.92158713012141,74.13177852601804,74.13177852601804,58.80531416156176,76.40455166747519,100.0,69.92158713012141,62.052103792799485,69.92158713012141,62.33530100583307,69.92158713012141,60.19318599644665,65.83827354181504,57.905480070001445,93.45580008996312,69.92158713012141,71.85233188065581,69.13107076215275,61.214917104043046,63.784489936425274,59.06604264065884,74.13177852601804,69.92158713012141,69.92158713012141,66.87251282013307,57.905480070001445,69.92158713012141,69.92158713012141,76.86275933086262,72.23531119703514,69.92158713012141,64.68253490875809,81.4902074646901,69.92158713012141,62.33530100583307
businessinsider,90.74510373234504,69.92158713012141,57.905480070001445,59.06604264065884,59.06604264065884,57.905480070001445,69.92158713012141,90.74510373234504,69.56771127565096,100.0,86.11765559851757,73.61948678444523,73.61948678444523,100.0,69.56771127565096,63.8584747124991,93.45580008996312,62.052103792799485,90.74510373234504,69.92158713012141,69.92158713012141,69.92158713012141,87.54021458143603,57.905480070001445,59.06604264065884,81.4902074646901,69.92158713012141,74.13177852601804,74.13177852601804,58.80531416156176,76.40455166747519,100.0,69.92158713012141,62.052103792799485,69.92158713012141,62.33530100583307,69.92158713012141,60.19318599644665,65.83827354181504,57.905480070001445,93.45580008996312,69.92158713012141,71.85233188065581,69.13107076215275,61.214917104043046,63.784489936425274,59.06604264065884,74.13177852601804,69.92158713012141,69.92158713012141,66.87251282013307,57.905480070001445,69.92158713012141,69.92158713012141,76.86275933086262,72.23531119703514
