,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,bloomberg,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,opednews,pbs,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,science,scientificamerican,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
aljazeera,,25.317977802344327,9.9498743710662,15.811388300841896,13.0,26.570660511172846,15.811388300841896,21.213203435596427,23.600847442411894,19.44222209522358,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955,10.44030650891055,27.910571473905726,29.58039891549808,15.811388300841896,13.601470508735444,19.672315572906,16.55294535724685,24.186773244895647,21.236760581595302,18.841443681416774,22.64950330581225,22.64950330581225,24.392621835300936,25.179356624028344,15.329709716755891,17.74823934929885,21.047565179849187,13.564659966250536,9.899494936611665,19.621416870348583,20.445048300260872,15.132745950421556,17.4928556845359,5.916079783099616,16.0312195418814,18.466185312619388,18.466185312619388,21.118712081942874,26.19160170741759,9.219544457292887,21.79449471770337,18.193405398660254,17.378147196982766,20.12461179749811,16.76305461424021,27.748873851023216,13.45362404707371,10.295630140987,9.899494936611665
alternet,25.317977802344327,,26.570660511172846,15.811388300841896,21.213203435596427,23.600847442411894,19.44222209522358,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955,10.44030650891055,27.910571473905726,29.58039891549808,15.811388300841896,13.601470508735444,19.672315572906,16.55294535724685,24.186773244895647,21.236760581595302,18.841443681416774,22.64950330581225,22.64950330581225,24.392621835300936,25.179356624028344,15.329709716755891,17.74823934929885,21.047565179849187,13.564659966250536,9.899494936611665,19.621416870348583,20.445048300260872,15.132745950421556,17.4928556845359,5.916079783099616,16.0312195418814,18.466185312619388,18.466185312619388,21.118712081942874,26.19160170741759,9.219544457292887,21.79449471770337,18.193405398660254,17.378147196982766,20.12461179749811,16.76305461424021,27.748873851023216,13.45362404707371,10.295630140987,9.899494936611665,20.223748416156685,16.55294535724685,22.64950330581225
americanconservative,9.9498743710662,26.570660511172846,,23.600847442411894,19.44222209522358,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955,10.44030650891055,27.910571473905726,29.58039891549808,15.811388300841896,13.601470508735444,19.672315572906,16.55294535724685,24.186773244895647,21.236760581595302,18.841443681416774,22.64950330581225,22.64950330581225,24.392621835300936,25.179356624028344,15.329709716755891,17.74823934929885,21.047565179849187,13.564659966250536,9.899494936611665,19.621416870348583,20.445048300260872,15.132745950421556,17.4928556845359,5.916079783099616,16.0312195418814,18.466185312619388,18.466185312619388,21.118712081942874,26.19160170741759,9.219544457292887,21.79449471770337,18.193405398660254,17.378147196982766,20.12461179749811,16.76305461424021,27.748873851023216,13.45362404707371,10.295630140987,9.899494936611665,20.223748416156685,16.55294535724685,22.64950330581225,16.431676725154983,25.179356624028344
americanthinker,15.811388300841896,15.811388300841896,23.600847442411894,,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955,10.44030650891055,27.910571473905726,29.58039891549808,15.811388300841896,13.601470508735444,19.672315572906,16.55294535724685,24.186773244895647,21.236760581595302,18.841443681416774,22.64950330581225,22.64950330581225,24.392621835300936,25.179356624028344,15.329709716755891,17.74823934929885,21.047565179849187,13.564659966250536,9.899494936611665,19.621416870348583,20.445048300260872,15.132745950421556,17.4928556845359,5.916079783099616,16.0312195418814,18.466185312619388,18.466185312619388,21.118712081942874,26.19160170741759,9.219544457292887,21.79449471770337,18.193405398660254,17.378147196982766,20.12461179749811,16.76305461424021,27.748873851023216,13.45362404707371,10.295630140987,9.899494936611665,20.223748416156685,16.55294535724685,22.64950330581225,16.431676725154983,25.179356624028344,16.0312195418814
antiwar,13.0,21.213203435596427,19.44222209522358,23.769728648009426,,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955,10.44030650891055,27.910571473905726,29.58039891549808,15.811388300841896,13.601470508735444,19.672315572906,16.55294535724685,24.186773244895647,21.236760581595302,18.841443681416774,22.64950330581225,22.64950330581225,24.392621835300936,25.179356624028344,15.329709716755891,17.74823934929885,21.047565179849187,13.564659966250536,9.899494936611665,19.621416870348583,20.445048300260872,15.132745950421556,17.4928556845359,5.916079783099616,16.0312195418814,18.466185312619388,18.466185312619388,21.118712081942874,26.19160170741759,9.219544457292887,21.79449471770337,18.193405398660254,17.378147196982766,20.12461179749811,16.76305461424021,27.748873851023216,13.45362404707371,10.295630140987,9.899494936611665,20.223748416156685,16.55294535724685,22.64950330581225,16.431676725154983,25.179356624028344,16.0312195418814
ap,26.570660511172846,23.600847442411894,23.769728648009426,24.269322199023193,24.269322199023193,,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955,10.44030650891055,27.910571473905726,29.58039891549808,15.811388300841896,13.601470508735444,19.672315572906,16.55294535724685,24.186773244895647,21.236760581595302,18.841443681416774,22.64950330581225,22.64950330581225,24.392621835300936,25.179356624028344,15.329709716755891,17.74823934929885,21.047565179849187,13.564659966250536,9.899494936611665,19.621416870348583,20.445048300260872,15.132745950421556,17.4928556845359,5.916079783099616,16.0312195418814,18.466185312619388,18.466185312619388,21.118712081942874,26.19160170741759,9.219544457292887,21.79449471770337,18.193405398660254,17.378147196982766,20.12461179749811,16.76305461424021,27.748873851023216,13.45362404707371,10.295630140987,9.899494936611665,20.223748416156685,16.55294535724685,22.64950330581225,16.431676725154983,25.179356624028344
atlantic,15.811388300841896,19.44222209522358,24.269322199023193,21.470910553583888,21.470910553583888,24.269322199023193,,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955,10.44030650891055,27.910571473905726,29.58039891549808,15.811388300841896,13.601470508735444,19.672315572906,16.55294535724685,24.186773244895647,21.236760581595302,18.841443681416774,22.64950330581225,22.64950330581225,24.392621835300936,25.179356624028344,15.329709716755891,17.74823934929885,21.047565179849187,13.564659966250536,9.899494936611665,19.621416870348583,20.445048300260872,15.132745950421556,17.4928556845359,5.916079783099616,16.0312195418814,18.466185312619388,18.466185312619388,21.118712081942874,26.19160170741759,9.219544457292887,21.79449471770337,18.193405398660254,17.378147196982766,20.12461179749811,16.76305461424021,27.748873851023216,13.45362404707371,10.295630140987,9.899494936611665,20.223748416156685,16.55294535724685,22.64950330581225
axios,21.213203435596427,23.769728648009426,21.470910553583888,15.811388300841896,15.811388300841896,21.470910553583888,23.769728648009426,,23.600847442411894,19.44222209522358,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955,10.44030650891055,27.910571473905726,29.58039891549808,15.811388300841896,13.601470508735444,19.672315572906,16.55294535724685,24.186773244895647,21.236760581595302,18.841443681416774,22.64950330581225,22.64950330581225,24.392621835300936,25.179356624028344,15.329709716755891,17.74823934929885,21.047565179849187,13.564659966250536,9.899494936611665,19.621416870348583,20.445048300260872,15.132745950421556,17.4928556845359,5.916079783099616,16.0312195418814,18.466185312619388,18.466185312619388,21.118712081942874,26.19160170741759,9.219544457292887,21.79449471770337,18.193405398660254,17.378147196982766,20.12461179749811,16.76305461424021,27.748873851023216,13.45362404707371,10.295630140987,9.899494936611665
bloomberg,23.600847442411894,24.269322199023193,15.811388300841896,20.904544960366874,20.904544960366874,15.811388300841896,24.269322199023193,23.600847442411894,,26.570660511172846,15.811388300841896,21.213203435596427,23.600847442411894,19.44222209522358,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955,10.44030650891055,27.910571473905726,29.58039891549808,15.811388300841896,13.601470508735444,19.672315572906,16.55294535724685,24.186773244895647,21.236760581595302,18.841443681416774,22.64950330581225,22.64950330581225,24.392621835300936,25.179356624028344,15.329709716755891,17.74823934929885,21.047565179849187,13.564659966250536,9.899494936611665,19.621416870348583,20.445048300260872,15.132745950421556,17.4928556845359,5.916079783099616,16.0312195418814,18.466185312619388,18.466185312619388,21.118712081942874,26.19160170741759,9.219544457292887,21.79449471770337,18.193405398660254,17.378147196982766,20.12461179749811,16.76305461424021
breitbart,19.44222209522358,21.470910553583888,20.904544960366874,21.047565179849187,21.047565179849187,20.904544960366874,21.470910553583888,19.44222209522358,26.570660511172846,,25.317977802344327,9.9498743710662,15.811388300841896,13.0,26.570660511172846,15.811388300841896,21.213203435596427,23.600847442411894,19.44222209522358,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955,10.44030650891055,27.910571473905726,29.58039891549808,15.811388300841896,13.601470508735444,19.672315572906,16.55294535724685,24.186773244895647,21.236760581595302,18.841443681416774,22.64950330581225,22.64950330581225,24.392621835300936,25.179356624028344,15.329709716755891,17.74823934929885,21.047565179849187,13.564659966250536,9.899494936611665,19.621416870348583,20.445048300260872,15.132745950421556,17.4928556845359,5.916079783099616,16.0312195418814,18.466185312619388,18.466185312619388,21.118712081942874,26.19160170741759,9.219544457292887
