,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,axios,bbc,bloomberg,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,defenseone,economist,federalist,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,vice,voltairenetwork,vox,wapo,wsj
aljazeera,100.0,79.17648339777637,74.44408238678304,74.44408238678304,95.37255186617253,57.21174088873189,55.917635975515644,57.46270058476025,65.52628782920067,54.48369000704547,100.0,57.46270058476025,57.46270058476025,78.66851810318029,77.09530031487091,100.0,88.43137966543131,97.68627593308626,54.48369000704547,57.39982205906211,67.85671799335888,100.0,54.48369000704547,54.48369000704547,100.0,83.80393153160384,100.0,57.21174088873189,88.43137966543131,53.609976705740166,63.125306229268496,83.80393153160384,56.90009613627778,100.0,88.43137966543131,54.48369000704547,95.37255186617253,100.0,55.917635975515644,100.0,83.80393153160384,54.48369000704547,52.92267966487727,77.09530031487091,97.68627593308626,57.21174088873189,54.48369000704547,63.125306229268496,55.917635975515644,100.0,55.917635975515644,81.4902074646901,97.68627593308626,57.39982205906211,88.43137966543131,97.68627593308626,88.43137966543131,56.90009613627778,54.48369000704547,95.37255186617253,100.0,58.80531416156176,65.52628782920067,57.39982205906211,57.39982205906211,81.92923735624956,83.80393153160384,54.48369000704547,55.917635975515644,54.48369000704547,57.46270058476025,95.37255186617253,71.7573984977559,53.66771166687151,55.917635975515644,56.46754146080411,55.917635975515644,55.97839736073509,56.46754146080411
alternet,79.17648339777637,100.0,57.21174088873189,55.917635975515644,57.46270058476025,65.52628782920067,54.48369000704547,100.0,57.46270058476025,57.46270058476025,78.66851810318029,77.09530031487091,100.0,88.43137966543131,97.68627593308626,54.48369000704547,57.39982205906211,67.85671799335888,100.0,54.48369000704547,54.48369000704547,100.0,83.80393153160384,100.0,57.21174088873189,88.43137966543131,53.609976705740166,63.125306229268496,83.80393153160384,56.90009613627778,100.0,88.43137966543131,54.48369000704547,95.37255186617253,100.0,55.917635975515644,100.0,83.80393153160384,54.48369000704547,52.92267966487727,77.09530031487091,97.68627593308626,57.21174088873189,54.48369000704547,63.125306229268496,55.917635975515644,100.0,55.917635975515644,81.4902074646901,97.68627593308626,57.39982205906211,88.43137966543131,97.68627593308626,88.43137966543131,56.90009613627778,54.48369000704547,95.37255186617253,100.0,58.80531416156176,65.52628782920067,57.39982205906211,57.39982205906211,81.92923735624956,83.80393153160384,54.48369000704547,55.917635975515644,54.48369000704547,57.46270058476025,95.37255186617253,71.7573984977559,53.66771166687151,55.917635975515644,56.46754146080411,55.917635975515644,55.97839736073509,56.46754146080411,66.55087918818326,54.48369000704547,55.917635975515644
americanconservative,74.44408238678304,57.21174088873189,100.0,65.52628782920067,54.48369000704547,100.0,57.46270058476025,57.46270058476025,78.66851810318029,77.09530031487091,100.0,88.43137966543131,97.68627593308626,54.48369000704547,57.39982205906211,67.85671799335888,100.0,54.48369000704547,54.48369000704547,100.0,83.80393153160384,100.0,57.21174088873189,88.43137966543131,53.609976705740166,63.125306229268496,83.80393153160384,56.90009613627778,100.0,88.43137966543131,54.48369000704547,95.37255186617253,100.0,55.917635975515644,100.0,83.80393153160384,54.48369000704547,52.92267966487727,77.09530031487091,97.68627593308626,57.21174088873189,54.48369000704547,63.125306229268496,55.917635975515644,100.0,55.917635975515644,81.4902074646901,97.68627593308626,57.39982205906211,88.43137966543131,97.68627593308626,88.43137966543131,56.90009613627778,54.48369000704547,95.37255186617253,100.0,58.80531416156176,65.52628782920067,57.39982205906211,57.39982205906211,81.92923735624956,83.80393153160384,54.48369000704547,55.917635975515644,54.48369000704547,57.46270058476025,95.37255186617253,71.7573984977559,53.66771166687151,55.917635975515644,56.46754146080411,55.917635975515644,55.97839736073509,56.46754146080411,66.55087918818326,54.48369000704547,55.917635975515644,83.80393153160384,95.37255186617253
americanspectator,74.44408238678304,55.917635975515644,65.52628782920067,100.0,100.0,57.46270058476025,57.46270058476025,78.66851810318029,77.09530031487091,100.0,88.43137966543131,97.68627593308626,54.48369000704547,57.39982205906211,67.85671799335888,100.0,54.48369000704547,54.48369000704547,100.0,83.80393153160384,100.0,57.21174088873189,88.43137966543131,53.609976705740166,63.125306229268496,83.80393153160384,56.90009613627778,100.0,88.43137966543131,54.48369000704547,95.37255186617253,100.0,55.917635975515644,100.0,83.80393153160384,54.48369000704547,52.92267966487727,77.09530031487091,97.68627593308626,57.21174088873189,54.48369000704547,63.125306229268496,55.917635975515644,100.0,55.917635975515644,81.4902074646901,97.68627593308626,57.39982205906211,88.43137966543131,97.68627593308626,88.43137966543131,56.90009613627778,54.48369000704547,95.37255186617253,100.0,58.80531416156176,65.52628782920067,57.39982205906211,57.39982205906211,81.92923735624956,83.80393153160384,54.48369000704547,55.917635975515644,54.48369000704547,57.46270058476025,95.37255186617253,71.7573984977559,53.66771166687151,55.917635975515644,56.46754146080411,55.917635975515644,55.97839736073509,56.46754146080411,66.55087918818326,54.48369000704547,55.917635975515644,83.80393153160384,95.37255186617253,86.11765559851757
americanthinker,95.37255186617253,57.46270058476025,54.48369000704547,100.0,100.0,57.46270058476025,57.46270058476025,78.66851810318029,77.09530031487091,100.0,88.43137966543131,97.68627593308626,54.48369000704547,57.39982205906211,67.85671799335888,100.0,54.48369000704547,54.48369000704547,100.0,83.80393153160384,100.0,57.21174088873189,88.43137966543131,53.609976705740166,63.125306229268496,83.80393153160384,56.90009613627778,100.0,88.43137966543131,54.48369000704547,95.37255186617253,100.0,55.917635975515644,100.0,83.80393153160384,54.48369000704547,52.92267966487727,77.09530031487091,97.68627593308626,57.21174088873189,54.48369000704547,63.125306229268496,55.917635975515644,100.0,55.917635975515644,81.4902074646901,97.68627593308626,57.39982205906211,88.43137966543131,97.68627593308626,88.43137966543131,56.90009613627778,54.48369000704547,95.37255186617253,100.0,58.80531416156176,65.52628782920067,57.39982205906211,57.39982205906211,81.92923735624956,83.80393153160384,54.48369000704547,55.917635975515644,54.48369000704547,57.46270058476025,95.37255186617253,71.7573984977559,53.66771166687151,55.917635975515644,56.46754146080411,55.917635975515644,55.97839736073509,56.46754146080411,66.55087918818326,54.48369000704547,55.917635975515644,83.80393153160384,95.37255186617253,86.11765559851757
antiwar,57.21174088873189,65.52628782920067,100.0,57.46270058476025,57.46270058476025,100.0,57.46270058476025,57.46270058476025,78.66851810318029,77.09530031487091,100.0,88.43137966543131,97.68627593308626,54.48369000704547,57.39982205906211,67.85671799335888,100.0,54.48369000704547,54.48369000704547,100.0,83.80393153160384,100.0,57.21174088873189,88.43137966543131,53.609976705740166,63.125306229268496,83.80393153160384,56.90009613627778,100.0,88.43137966543131,54.48369000704547,95.37255186617253,100.0,55.917635975515644,100.0,83.80393153160384,54.48369000704547,52.92267966487727,77.09530031487091,97.68627593308626,57.21174088873189,54.48369000704547,63.125306229268496,55.917635975515644,100.0,55.917635975515644,81.4902074646901,97.68627593308626,57.39982205906211,88.43137966543131,97.68627593308626,88.43137966543131,56.90009613627778,54.48369000704547,95.37255186617253,100.0,58.80531416156176,65.52628782920067,57.39982205906211,57.39982205906211,81.92923735624956,83.80393153160384,54.48369000704547,55.917635975515644,54.48369000704547,57.46270058476025,95.37255186617253,71.7573984977559,53.66771166687151,55.917635975515644,56.46754146080411,55.917635975515644,55.97839736073509,56.46754146080411,66.55087918818326,54.48369000704547,55.917635975515644,83.80393153160384,95.37255186617253
ap,55.917635975515644,54.48369000704547,57.46270058476025,57.46270058476025,57.46270058476025,57.46270058476025,100.0,100.0,57.46270058476025,57.46270058476025,78.66851810318029,77.09530031487091,100.0,88.43137966543131,97.68627593308626,54.48369000704547,57.39982205906211,67.85671799335888,100.0,54.48369000704547,54.48369000704547,100.0,83.80393153160384,100.0,57.21174088873189,88.43137966543131,53.609976705740166,63.125306229268496,83.80393153160384,56.90009613627778,100.0,88.43137966543131,54.48369000704547,95.37255186617253,100.0,55.917635975515644,100.0,83.80393153160384,54.48369000704547,52.92267966487727,77.09530031487091,97.68627593308626,57.21174088873189,54.48369000704547,63.125306229268496,55.917635975515644,100.0,55.917635975515644,81.4902074646901,97.68627593308626,57.39982205906211,88.43137966543131,97.68627593308626,88.43137966543131,56.90009613627778,54.48369000704547,95.37255186617253,100.0,58.80531416156176,65.52628782920067,57.39982205906211,57.39982205906211,81.92923735624956,83.80393153160384,54.48369000704547,55.917635975515644,54.48369000704547,57.46270058476025,95.37255186617253,71.7573984977559,53.66771166687151,55.917635975515644,56.46754146080411,55.917635975515644,55.97839736073509,56.46754146080411,66.55087918818326,54.48369000704547,55.917635975515644
atlantic,57.46270058476025,100.0,57.46270058476025,78.66851810318029,78.66851810318029,57.46270058476025,100.0,100.0,65.52628782920067,54.48369000704547,100.0,57.46270058476025,57.46270058476025,78.66851810318029,77.09530031487091,100.0,88.43137966543131,97.68627593308626,54.48369000704547,57.39982205906211,67.85671799335888,100.0,54.48369000704547,54.48369000704547,100.0,83.80393153160384,100.0,57.21174088873189,88.43137966543131,53.609976705740166,63.125306229268496,83.80393153160384,56.90009613627778,100.0,88.43137966543131,54.48369000704547,95.37255186617253,100.0,55.917635975515644,100.0,83.80393153160384,54.48369000704547,52.92267966487727,77.09530031487091,97.68627593308626,57.21174088873189,54.48369000704547,63.125306229268496,55.917635975515644,100.0,55.917635975515644,81.4902074646901,97.68627593308626,57.39982205906211,88.43137966543131,97.68627593308626,88.43137966543131,56.90009613627778,54.48369000704547,95.37255186617253,100.0,58.80531416156176,65.52628782920067,57.39982205906211,57.39982205906211,81.92923735624956,83.80393153160384,54.48369000704547,55.917635975515644,54.48369000704547,57.46270058476025,95.37255186617253,71.7573984977559,53.66771166687151,55.917635975515644,56.46754146080411,55.917635975515644,55.97839736073509,56.46754146080411
axios,65.52628782920067,57.46270058476025,78.66851810318029,77.09530031487091,77.09530031487091,78.66851810318029,57.46270058476025,65.52628782920067,100.0,57.21174088873189,55.917635975515644,57.46270058476025,65.52628782920067,54.48369000704547,100.0,57.46270058476025,57.46270058476025,78.66851810318029,77.09530031487091,100.0,88.43137966543131,97.68627593308626,54.48369000704547,57.39982205906211,67.85671799335888,100.0,54.48369000704547,54.48369000704547,100.0,83.80393153160384,100.0,57.21174088873189,88.43137966543131,53.609976705740166,63.125306229268496,83.80393153160384,56.90009613627778,100.0,88.43137966543131,54.48369000704547,95.37255186617253,100.0,55.917635975515644,100.0,83.80393153160384,54.48369000704547,52.92267966487727,77.09530031487091,97.68627593308626,57.21174088873189,54.48369000704547,63.125306229268496,55.917635975515644,100.0,55.917635975515644,81.4902074646901,97.68627593308626,57.39982205906211,88.43137966543131,97.68627593308626,88.43137966543131,56.90009613627778,54.48369000704547,95.37255186617253,100.0,58.80531416156176,65.52628782920067,57.39982205906211,57.39982205906211,81.92923735624956,83.80393153160384,54.48369000704547,55.917635975515644,54.48369000704547,57.46270058476025,95.37255186617253,71.7573984977559,53.66771166687151,55.917635975515644
bbc,54.48369000704547,57.46270058476025,77.09530031487091,100.0,100.0,77.09530031487091,57.46270058476025,54.48369000704547,57.21174088873189,100.0,79.17648339777637,74.44408238678304,74.44408238678304,95.37255186617253,57.21174088873189,55.917635975515644,57.46270058476025,65.52628782920067,54.48369000704547,100.0,57.46270058476025,57.46270058476025,78.66851810318029,77.09530031487091,100.0,88.43137966543131,97.68627593308626,54.48369000704547,57.39982205906211,67.85671799335888,100.0,54.48369000704547,54.48369000704547,100.0,83.80393153160384,100.0,57.21174088873189,88.43137966543131,53.609976705740166,63.125306229268496,83.80393153160384,56.90009613627778,100.0,88.43137966543131,54.48369000704547,95.37255186617253,100.0,55.917635975515644,100.0,83.80393153160384,54.48369000704547,52.92267966487727,77.09530031487091,97.68627593308626,57.21174088873189,54.48369000704547,63.125306229268496,55.917635975515644,100.0,55.917635975515644,81.4902074646901,97.68627593308626,57.39982205906211,88.43137966543131,97.68627593308626,88.43137966543131,56.90009613627778,54.48369000704547,95.37255186617253,100.0,58.80531416156176,65.52628782920067,57.39982205906211,57.39982205906211,81.92923735624956,83.80393153160384,54.48369000704547,55.917635975515644,54.48369000704547
