,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,guardian,huffingtonpost,intercept,motherjones,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,usatoday,vox,wapo,wsj
aljazeera,100.0,17.124742225572952,81.4902074646901,90.74510373234504,79.30542282081444,49.89304800613361,51.85452095955154,84.47906711561083,78.92097056791478,86.11765559851757,73.31683237152104,62.549104241049825,89.65271141040722,60.66669086246645,82.22794822168429,51.41179459481151,85.18493734841294,36.890021557482775,62.90818152397119,71.7573984977559,44.23013024409141,72.13907281903028,83.31549847893488,69.74413182725523,62.62064374430807,72.62364764812122,69.56771127565096,53.66771166687151,56.344741615901064,42.34229336069948,71.47449392582126,57.46270058476025
alternet,17.124742225572952,100.0,49.89304800613361,51.85452095955154,84.47906711561083,78.92097056791478,86.11765559851757,73.31683237152104,62.549104241049825,89.65271141040722,60.66669086246645,82.22794822168429,51.41179459481151,85.18493734841294,36.890021557482775,62.90818152397119,71.7573984977559,44.23013024409141,72.13907281903028,83.31549847893488,69.74413182725523,62.62064374430807,72.62364764812122,69.56771127565096,53.66771166687151,56.344741615901064,42.34229336069948,71.47449392582126,57.46270058476025,50.32223751362079,53.89937456006816,41.97209561455655
ap,81.4902074646901,49.89304800613361,100.0,78.92097056791478,86.11765559851757,73.31683237152104,62.549104241049825,89.65271141040722,60.66669086246645,82.22794822168429,51.41179459481151,85.18493734841294,36.890021557482775,62.90818152397119,71.7573984977559,44.23013024409141,72.13907281903028,83.31549847893488,69.74413182725523,62.62064374430807,72.62364764812122,69.56771127565096,53.66771166687151,56.344741615901064,42.34229336069948,71.47449392582126,57.46270058476025,50.32223751362079,53.89937456006816,41.97209561455655,58.09667494143695,47.54424725811911
atlantic,90.74510373234504,51.85452095955154,78.92097056791478,100.0,73.31683237152104,62.549104241049825,89.65271141040722,60.66669086246645,82.22794822168429,51.41179459481151,85.18493734841294,36.890021557482775,62.90818152397119,71.7573984977559,44.23013024409141,72.13907281903028,83.31549847893488,69.74413182725523,62.62064374430807,72.62364764812122,69.56771127565096,53.66771166687151,56.344741615901064,42.34229336069948,71.47449392582126,57.46270058476025,50.32223751362079,53.89937456006816,41.97209561455655,58.09667494143695,47.54424725811911,59.00070507735315
breitbart,79.30542282081444,84.47906711561083,86.11765559851757,73.31683237152104,100.0,62.549104241049825,89.65271141040722,60.66669086246645,82.22794822168429,51.41179459481151,85.18493734841294,36.890021557482775,62.90818152397119,71.7573984977559,44.23013024409141,72.13907281903028,83.31549847893488,69.74413182725523,62.62064374430807,72.62364764812122,69.56771127565096,53.66771166687151,56.344741615901064,42.34229336069948,71.47449392582126,57.46270058476025,50.32223751362079,53.89937456006816,41.97209561455655,58.09667494143695,47.54424725811911,59.00070507735315
buzzfeed,49.89304800613361,78.92097056791478,73.31683237152104,62.549104241049825,62.549104241049825,100.0,62.549104241049825,89.65271141040722,60.66669086246645,82.22794822168429,51.41179459481151,85.18493734841294,36.890021557482775,62.90818152397119,71.7573984977559,44.23013024409141,72.13907281903028,83.31549847893488,69.74413182725523,62.62064374430807,72.62364764812122,69.56771127565096,53.66771166687151,56.344741615901064,42.34229336069948,71.47449392582126,57.46270058476025,50.32223751362079,53.89937456006816,41.97209561455655,58.09667494143695,47.54424725811911
cbs,51.85452095955154,86.11765559851757,62.549104241049825,89.65271141040722,89.65271141040722,62.549104241049825,100.0,73.31683237152104,62.549104241049825,89.65271141040722,60.66669086246645,82.22794822168429,51.41179459481151,85.18493734841294,36.890021557482775,62.90818152397119,71.7573984977559,44.23013024409141,72.13907281903028,83.31549847893488,69.74413182725523,62.62064374430807,72.62364764812122,69.56771127565096,53.66771166687151,56.344741615901064,42.34229336069948,71.47449392582126,57.46270058476025,50.32223751362079,53.89937456006816,41.97209561455655
cnn,84.47906711561083,73.31683237152104,89.65271141040722,60.66669086246645,60.66669086246645,89.65271141040722,73.31683237152104,100.0,78.92097056791478,86.11765559851757,73.31683237152104,62.549104241049825,89.65271141040722,60.66669086246645,82.22794822168429,51.41179459481151,85.18493734841294,36.890021557482775,62.90818152397119,71.7573984977559,44.23013024409141,72.13907281903028,83.31549847893488,69.74413182725523,62.62064374430807,72.62364764812122,69.56771127565096,53.66771166687151,56.344741615901064,42.34229336069948,71.47449392582126,57.46270058476025
commondreams,78.92097056791478,62.549104241049825,60.66669086246645,82.22794822168429,82.22794822168429,60.66669086246645,62.549104241049825,78.92097056791478,100.0,49.89304800613361,51.85452095955154,84.47906711561083,78.92097056791478,86.11765559851757,73.31683237152104,62.549104241049825,89.65271141040722,60.66669086246645,82.22794822168429,51.41179459481151,85.18493734841294,36.890021557482775,62.90818152397119,71.7573984977559,44.23013024409141,72.13907281903028,83.31549847893488,69.74413182725523,62.62064374430807,72.62364764812122,69.56771127565096,53.66771166687151
conversation,86.11765559851757,89.65271141040722,82.22794822168429,51.41179459481151,51.41179459481151,82.22794822168429,89.65271141040722,86.11765559851757,49.89304800613361,100.0,17.124742225572952,81.4902074646901,90.74510373234504,79.30542282081444,49.89304800613361,51.85452095955154,84.47906711561083,78.92097056791478,86.11765559851757,73.31683237152104,62.549104241049825,89.65271141040722,60.66669086246645,82.22794822168429,51.41179459481151,85.18493734841294,36.890021557482775,62.90818152397119,71.7573984977559,44.23013024409141,72.13907281903028,83.31549847893488
