,aljazeera,alternet,americanconservative,antiwar,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,truthdig,usatoday,vice,vox,wapo,wsj
aljazeera,100.0,72.0431657292691,52.3575055175118,69.92158713012141,57.77849782098372,57.71514969506818,64.60682750121278,39.79869600962677,79.17648339777637,72.91855412056492,92.68336207140476,70.64213276976082,76.63253236019752,86.31182382406062,73.51821764733582,100.0,19.950497114563127,92.68336207140476,52.3575055175118,85.73724696291063,29.706945646358307,96.72790004498155,93.0588277992588,96.72790004498155,85.18493734841294,43.184056886618926,60.59869892038341,49.098070527897775,93.0588277992588,90.18370013494467,64.53128168954052,74.65442273417506,86.11765559851757,56.77606737954388,55.07560479208904,65.14023198407372,44.23013024409141,76.63253236019752,64.08134338628993,94.33255663046423,100.0,84.30755988829243,78.92097056791478,91.65774923946745,96.72790004498155,81.4902074646901,45.149609750772925,67.19729994922696,88.2022758337376,78.17237080795053,62.33530100583307,85.9261659403279,70.55110040483402
alternet,72.0431657292691,100.0,57.71514969506818,64.60682750121278,39.79869600962677,79.17648339777637,72.91855412056492,92.68336207140476,70.64213276976082,76.63253236019752,86.31182382406062,73.51821764733582,100.0,19.950497114563127,92.68336207140476,52.3575055175118,85.73724696291063,29.706945646358307,96.72790004498155,93.0588277992588,96.72790004498155,85.18493734841294,43.184056886618926,60.59869892038341,49.098070527897775,93.0588277992588,90.18370013494467,64.53128168954052,74.65442273417506,86.11765559851757,56.77606737954388,55.07560479208904,65.14023198407372,44.23013024409141,76.63253236019752,64.08134338628993,94.33255663046423,100.0,84.30755988829243,78.92097056791478,91.65774923946745,96.72790004498155,81.4902074646901,45.149609750772925,67.19729994922696,88.2022758337376,78.17237080795053,62.33530100583307,85.9261659403279,70.55110040483402,69.74413182725523,55.43452714881531,96.72790004498155
americanconservative,52.3575055175118,57.71514969506818,100.0,79.17648339777637,72.91855412056492,92.68336207140476,70.64213276976082,76.63253236019752,86.31182382406062,73.51821764733582,100.0,19.950497114563127,92.68336207140476,52.3575055175118,85.73724696291063,29.706945646358307,96.72790004498155,93.0588277992588,96.72790004498155,85.18493734841294,43.184056886618926,60.59869892038341,49.098070527897775,93.0588277992588,90.18370013494467,64.53128168954052,74.65442273417506,86.11765559851757,56.77606737954388,55.07560479208904,65.14023198407372,44.23013024409141,76.63253236019752,64.08134338628993,94.33255663046423,100.0,84.30755988829243,78.92097056791478,91.65774923946745,96.72790004498155,81.4902074646901,45.149609750772925,67.19729994922696,88.2022758337376,78.17237080795053,62.33530100583307,85.9261659403279,70.55110040483402,69.74413182725523,55.43452714881531,96.72790004498155,58.48170600064711,80.23153290665772
antiwar,69.92158713012141,64.60682750121278,79.17648339777637,100.0,92.68336207140476,70.64213276976082,76.63253236019752,86.31182382406062,73.51821764733582,100.0,19.950497114563127,92.68336207140476,52.3575055175118,85.73724696291063,29.706945646358307,96.72790004498155,93.0588277992588,96.72790004498155,85.18493734841294,43.184056886618926,60.59869892038341,49.098070527897775,93.0588277992588,90.18370013494467,64.53128168954052,74.65442273417506,86.11765559851757,56.77606737954388,55.07560479208904,65.14023198407372,44.23013024409141,76.63253236019752,64.08134338628993,94.33255663046423,100.0,84.30755988829243,78.92097056791478,91.65774923946745,96.72790004498155,81.4902074646901,45.149609750772925,67.19729994922696,88.2022758337376,78.17237080795053,62.33530100583307,85.9261659403279,70.55110040483402,69.74413182725523,55.43452714881531,96.72790004498155,58.48170600064711,80.23153290665772,49.89304800613361
ap,57.77849782098372,39.79869600962677,72.91855412056492,92.68336207140476,100.0,70.64213276976082,76.63253236019752,86.31182382406062,73.51821764733582,100.0,19.950497114563127,92.68336207140476,52.3575055175118,85.73724696291063,29.706945646358307,96.72790004498155,93.0588277992588,96.72790004498155,85.18493734841294,43.184056886618926,60.59869892038341,49.098070527897775,93.0588277992588,90.18370013494467,64.53128168954052,74.65442273417506,86.11765559851757,56.77606737954388,55.07560479208904,65.14023198407372,44.23013024409141,76.63253236019752,64.08134338628993,94.33255663046423,100.0,84.30755988829243,78.92097056791478,91.65774923946745,96.72790004498155,81.4902074646901,45.149609750772925,67.19729994922696,88.2022758337376,78.17237080795053,62.33530100583307,85.9261659403279,70.55110040483402,69.74413182725523,55.43452714881531,96.72790004498155,58.48170600064711,80.23153290665772,49.89304800613361
atlantic,57.71514969506818,79.17648339777637,92.68336207140476,70.64213276976082,70.64213276976082,100.0,70.64213276976082,76.63253236019752,86.31182382406062,73.51821764733582,100.0,19.950497114563127,92.68336207140476,52.3575055175118,85.73724696291063,29.706945646358307,96.72790004498155,93.0588277992588,96.72790004498155,85.18493734841294,43.184056886618926,60.59869892038341,49.098070527897775,93.0588277992588,90.18370013494467,64.53128168954052,74.65442273417506,86.11765559851757,56.77606737954388,55.07560479208904,65.14023198407372,44.23013024409141,76.63253236019752,64.08134338628993,94.33255663046423,100.0,84.30755988829243,78.92097056791478,91.65774923946745,96.72790004498155,81.4902074646901,45.149609750772925,67.19729994922696,88.2022758337376,78.17237080795053,62.33530100583307,85.9261659403279,70.55110040483402,69.74413182725523,55.43452714881531,96.72790004498155,58.48170600064711,80.23153290665772
axios,64.60682750121278,72.91855412056492,70.64213276976082,76.63253236019752,76.63253236019752,70.64213276976082,100.0,92.68336207140476,70.64213276976082,76.63253236019752,86.31182382406062,73.51821764733582,100.0,19.950497114563127,92.68336207140476,52.3575055175118,85.73724696291063,29.706945646358307,96.72790004498155,93.0588277992588,96.72790004498155,85.18493734841294,43.184056886618926,60.59869892038341,49.098070527897775,93.0588277992588,90.18370013494467,64.53128168954052,74.65442273417506,86.11765559851757,56.77606737954388,55.07560479208904,65.14023198407372,44.23013024409141,76.63253236019752,64.08134338628993,94.33255663046423,100.0,84.30755988829243,78.92097056791478,91.65774923946745,96.72790004498155,81.4902074646901,45.149609750772925,67.19729994922696,88.2022758337376,78.17237080795053,62.33530100583307,85.9261659403279,70.55110040483402,69.74413182725523,55.43452714881531,96.72790004498155
bbc,39.79869600962677,92.68336207140476,76.63253236019752,86.31182382406062,86.31182382406062,76.63253236019752,92.68336207140476,100.0,79.17648339777637,72.91855412056492,92.68336207140476,70.64213276976082,76.63253236019752,86.31182382406062,73.51821764733582,100.0,19.950497114563127,92.68336207140476,52.3575055175118,85.73724696291063,29.706945646358307,96.72790004498155,93.0588277992588,96.72790004498155,85.18493734841294,43.184056886618926,60.59869892038341,49.098070527897775,93.0588277992588,90.18370013494467,64.53128168954052,74.65442273417506,86.11765559851757,56.77606737954388,55.07560479208904,65.14023198407372,44.23013024409141,76.63253236019752,64.08134338628993,94.33255663046423,100.0,84.30755988829243,78.92097056791478,91.65774923946745,96.72790004498155,81.4902074646901,45.149609750772925,67.19729994922696,88.2022758337376,78.17237080795053,62.33530100583307,85.9261659403279,70.55110040483402
breitbart,79.17648339777637,70.64213276976082,86.31182382406062,73.51821764733582,73.51821764733582,86.31182382406062,70.64213276976082,79.17648339777637,100.0,57.71514969506818,64.60682750121278,39.79869600962677,79.17648339777637,72.91855412056492,92.68336207140476,70.64213276976082,76.63253236019752,86.31182382406062,73.51821764733582,100.0,19.950497114563127,92.68336207140476,52.3575055175118,85.73724696291063,29.706945646358307,96.72790004498155,93.0588277992588,96.72790004498155,85.18493734841294,43.184056886618926,60.59869892038341,49.098070527897775,93.0588277992588,90.18370013494467,64.53128168954052,74.65442273417506,86.11765559851757,56.77606737954388,55.07560479208904,65.14023198407372,44.23013024409141,76.63253236019752,64.08134338628993,94.33255663046423,100.0,84.30755988829243,78.92097056791478,91.65774923946745,96.72790004498155,81.4902074646901,45.149609750772925,67.19729994922696,88.2022758337376
businessinsider,72.91855412056492,76.63253236019752,73.51821764733582,100.0,100.0,73.51821764733582,76.63253236019752,72.91855412056492,57.71514969506818,100.0,72.0431657292691,52.3575055175118,69.92158713012141,57.77849782098372,57.71514969506818,64.60682750121278,39.79869600962677,79.17648339777637,72.91855412056492,92.68336207140476,70.64213276976082,76.63253236019752,86.31182382406062,73.51821764733582,100.0,19.950497114563127,92.68336207140476,52.3575055175118,85.73724696291063,29.706945646358307,96.72790004498155,93.0588277992588,96.72790004498155,85.18493734841294,43.184056886618926,60.59869892038341,49.098070527897775,93.0588277992588,90.18370013494467,64.53128168954052,74.65442273417506,86.11765559851757,56.77606737954388,55.07560479208904,65.14023198407372,44.23013024409141,76.63253236019752,64.08134338628993,94.33255663046423,100.0,84.30755988829243,78.92097056791478,91.65774923946745
