,aljazeera,alternet,americanconservative,antiwar,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,pjmedia,rawstory,redstate,reuters,rt,shadowproof,slate,spectator,strategicculture,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
aljazeera,,9.433981132056603,16.76305461424021,20.639767440550294,14.798648586948742,20.049937655763422,16.792855623746664,14.317821063276353,23.0,24.041630560342615,19.313207915827967,12.041594578792296,4.58257569495584,21.6794833886788,29.8496231131986,14.0,24.596747752497688,18.05547008526779,20.273134932713294,24.1039415863879,17.05872210923198,12.24744871391589,18.05547008526779,25.337718918639855,26.720778431774775,17.74823934929885,6.324555320336759,26.267851073127396,28.337254630609507,25.96150997149434,22.58317958127243,12.24744871391589,8.0,24.372115213907882,17.029386365926403,25.495097567963924,24.041630560342615,29.478805945967352,28.861739379323623,25.495097567963924,18.788294228055936,29.899832775452108,24.124676163629637,24.06241883103193,26.94438717061496,13.490737563232042,7.211102550927978,13.45362404707371,17.029386365926403,28.722813232690143,28.879058156387302,28.089143810376278,25.65151067676132,12.727922061357855,25.337718918639855,23.366642891095847,26.68332812825267,18.439088914585774,23.366642891095847,24.041630560342615,21.6794833886788,30.479501308256342,17.146428199482248,17.05872210923198,21.6794833886788
alternet,9.433981132056603,,20.049937655763422,16.792855623746664,14.317821063276353,23.0,24.041630560342615,19.313207915827967,12.041594578792296,4.58257569495584,21.6794833886788,29.8496231131986,14.0,24.596747752497688,18.05547008526779,20.273134932713294,24.1039415863879,17.05872210923198,12.24744871391589,18.05547008526779,25.337718918639855,26.720778431774775,17.74823934929885,6.324555320336759,26.267851073127396,28.337254630609507,25.96150997149434,22.58317958127243,12.24744871391589,8.0,24.372115213907882,17.029386365926403,25.495097567963924,24.041630560342615,29.478805945967352,28.861739379323623,25.495097567963924,18.788294228055936,29.899832775452108,24.124676163629637,24.06241883103193,26.94438717061496,13.490737563232042,7.211102550927978,13.45362404707371,17.029386365926403,28.722813232690143,28.879058156387302,28.089143810376278,25.65151067676132,12.727922061357855,25.337718918639855,23.366642891095847,26.68332812825267,18.439088914585774,23.366642891095847,24.041630560342615,21.6794833886788,30.479501308256342,17.146428199482248,17.05872210923198,21.6794833886788,18.788294228055936,23.366642891095847,14.866068747318506
americanconservative,16.76305461424021,20.049937655763422,,23.0,24.041630560342615,19.313207915827967,12.041594578792296,4.58257569495584,21.6794833886788,29.8496231131986,14.0,24.596747752497688,18.05547008526779,20.273134932713294,24.1039415863879,17.05872210923198,12.24744871391589,18.05547008526779,25.337718918639855,26.720778431774775,17.74823934929885,6.324555320336759,26.267851073127396,28.337254630609507,25.96150997149434,22.58317958127243,12.24744871391589,8.0,24.372115213907882,17.029386365926403,25.495097567963924,24.041630560342615,29.478805945967352,28.861739379323623,25.495097567963924,18.788294228055936,29.899832775452108,24.124676163629637,24.06241883103193,26.94438717061496,13.490737563232042,7.211102550927978,13.45362404707371,17.029386365926403,28.722813232690143,28.879058156387302,28.089143810376278,25.65151067676132,12.727922061357855,25.337718918639855,23.366642891095847,26.68332812825267,18.439088914585774,23.366642891095847,24.041630560342615,21.6794833886788,30.479501308256342,17.146428199482248,17.05872210923198,21.6794833886788,18.788294228055936,23.366642891095847,14.866068747318506,20.346989949375804,17.97220075561143
antiwar,20.639767440550294,16.792855623746664,23.0,,19.313207915827967,12.041594578792296,4.58257569495584,21.6794833886788,29.8496231131986,14.0,24.596747752497688,18.05547008526779,20.273134932713294,24.1039415863879,17.05872210923198,12.24744871391589,18.05547008526779,25.337718918639855,26.720778431774775,17.74823934929885,6.324555320336759,26.267851073127396,28.337254630609507,25.96150997149434,22.58317958127243,12.24744871391589,8.0,24.372115213907882,17.029386365926403,25.495097567963924,24.041630560342615,29.478805945967352,28.861739379323623,25.495097567963924,18.788294228055936,29.899832775452108,24.124676163629637,24.06241883103193,26.94438717061496,13.490737563232042,7.211102550927978,13.45362404707371,17.029386365926403,28.722813232690143,28.879058156387302,28.089143810376278,25.65151067676132,12.727922061357855,25.337718918639855,23.366642891095847,26.68332812825267,18.439088914585774,23.366642891095847,24.041630560342615,21.6794833886788,30.479501308256342,17.146428199482248,17.05872210923198,21.6794833886788,18.788294228055936,23.366642891095847,14.866068747318506,20.346989949375804,17.97220075561143,13.96424004376894
ap,14.798648586948742,14.317821063276353,24.041630560342615,19.313207915827967,,12.041594578792296,4.58257569495584,21.6794833886788,29.8496231131986,14.0,24.596747752497688,18.05547008526779,20.273134932713294,24.1039415863879,17.05872210923198,12.24744871391589,18.05547008526779,25.337718918639855,26.720778431774775,17.74823934929885,6.324555320336759,26.267851073127396,28.337254630609507,25.96150997149434,22.58317958127243,12.24744871391589,8.0,24.372115213907882,17.029386365926403,25.495097567963924,24.041630560342615,29.478805945967352,28.861739379323623,25.495097567963924,18.788294228055936,29.899832775452108,24.124676163629637,24.06241883103193,26.94438717061496,13.490737563232042,7.211102550927978,13.45362404707371,17.029386365926403,28.722813232690143,28.879058156387302,28.089143810376278,25.65151067676132,12.727922061357855,25.337718918639855,23.366642891095847,26.68332812825267,18.439088914585774,23.366642891095847,24.041630560342615,21.6794833886788,30.479501308256342,17.146428199482248,17.05872210923198,21.6794833886788,18.788294228055936,23.366642891095847,14.866068747318506,20.346989949375804,17.97220075561143,13.96424004376894
atlantic,20.049937655763422,23.0,19.313207915827967,12.041594578792296,12.041594578792296,,12.041594578792296,4.58257569495584,21.6794833886788,29.8496231131986,14.0,24.596747752497688,18.05547008526779,20.273134932713294,24.1039415863879,17.05872210923198,12.24744871391589,18.05547008526779,25.337718918639855,26.720778431774775,17.74823934929885,6.324555320336759,26.267851073127396,28.337254630609507,25.96150997149434,22.58317958127243,12.24744871391589,8.0,24.372115213907882,17.029386365926403,25.495097567963924,24.041630560342615,29.478805945967352,28.861739379323623,25.495097567963924,18.788294228055936,29.899832775452108,24.124676163629637,24.06241883103193,26.94438717061496,13.490737563232042,7.211102550927978,13.45362404707371,17.029386365926403,28.722813232690143,28.879058156387302,28.089143810376278,25.65151067676132,12.727922061357855,25.337718918639855,23.366642891095847,26.68332812825267,18.439088914585774,23.366642891095847,24.041630560342615,21.6794833886788,30.479501308256342,17.146428199482248,17.05872210923198,21.6794833886788,18.788294228055936,23.366642891095847,14.866068747318506,20.346989949375804,17.97220075561143
bbc,16.792855623746664,24.041630560342615,12.041594578792296,4.58257569495584,4.58257569495584,12.041594578792296,,19.313207915827967,12.041594578792296,4.58257569495584,21.6794833886788,29.8496231131986,14.0,24.596747752497688,18.05547008526779,20.273134932713294,24.1039415863879,17.05872210923198,12.24744871391589,18.05547008526779,25.337718918639855,26.720778431774775,17.74823934929885,6.324555320336759,26.267851073127396,28.337254630609507,25.96150997149434,22.58317958127243,12.24744871391589,8.0,24.372115213907882,17.029386365926403,25.495097567963924,24.041630560342615,29.478805945967352,28.861739379323623,25.495097567963924,18.788294228055936,29.899832775452108,24.124676163629637,24.06241883103193,26.94438717061496,13.490737563232042,7.211102550927978,13.45362404707371,17.029386365926403,28.722813232690143,28.879058156387302,28.089143810376278,25.65151067676132,12.727922061357855,25.337718918639855,23.366642891095847,26.68332812825267,18.439088914585774,23.366642891095847,24.041630560342615,21.6794833886788,30.479501308256342,17.146428199482248,17.05872210923198,21.6794833886788,18.788294228055936,23.366642891095847,14.866068747318506
breitbart,14.317821063276353,19.313207915827967,4.58257569495584,21.6794833886788,21.6794833886788,4.58257569495584,19.313207915827967,,23.0,24.041630560342615,19.313207915827967,12.041594578792296,4.58257569495584,21.6794833886788,29.8496231131986,14.0,24.596747752497688,18.05547008526779,20.273134932713294,24.1039415863879,17.05872210923198,12.24744871391589,18.05547008526779,25.337718918639855,26.720778431774775,17.74823934929885,6.324555320336759,26.267851073127396,28.337254630609507,25.96150997149434,22.58317958127243,12.24744871391589,8.0,24.372115213907882,17.029386365926403,25.495097567963924,24.041630560342615,29.478805945967352,28.861739379323623,25.495097567963924,18.788294228055936,29.899832775452108,24.124676163629637,24.06241883103193,26.94438717061496,13.490737563232042,7.211102550927978,13.45362404707371,17.029386365926403,28.722813232690143,28.879058156387302,28.089143810376278,25.65151067676132,12.727922061357855,25.337718918639855,23.366642891095847,26.68332812825267,18.439088914585774,23.366642891095847,24.041630560342615,21.6794833886788,30.479501308256342,17.146428199482248,17.05872210923198,21.6794833886788
businessinsider,23.0,12.041594578792296,21.6794833886788,29.8496231131986,29.8496231131986,21.6794833886788,12.041594578792296,23.0,,20.049937655763422,16.792855623746664,14.317821063276353,23.0,24.041630560342615,19.313207915827967,12.041594578792296,4.58257569495584,21.6794833886788,29.8496231131986,14.0,24.596747752497688,18.05547008526779,20.273134932713294,24.1039415863879,17.05872210923198,12.24744871391589,18.05547008526779,25.337718918639855,26.720778431774775,17.74823934929885,6.324555320336759,26.267851073127396,28.337254630609507,25.96150997149434,22.58317958127243,12.24744871391589,8.0,24.372115213907882,17.029386365926403,25.495097567963924,24.041630560342615,29.478805945967352,28.861739379323623,25.495097567963924,18.788294228055936,29.899832775452108,24.124676163629637,24.06241883103193,26.94438717061496,13.490737563232042,7.211102550927978,13.45362404707371,17.029386365926403,28.722813232690143,28.879058156387302,28.089143810376278,25.65151067676132,12.727922061357855,25.337718918639855,23.366642891095847,26.68332812825267,18.439088914585774,23.366642891095847,24.041630560342615,21.6794833886788
buzzfeed,24.041630560342615,4.58257569495584,29.8496231131986,14.0,14.0,29.8496231131986,4.58257569495584,24.041630560342615,20.049937655763422,,9.433981132056603,16.76305461424021,20.639767440550294,14.798648586948742,20.049937655763422,16.792855623746664,14.317821063276353,23.0,24.041630560342615,19.313207915827967,12.041594578792296,4.58257569495584,21.6794833886788,29.8496231131986,14.0,24.596747752497688,18.05547008526779,20.273134932713294,24.1039415863879,17.05872210923198,12.24744871391589,18.05547008526779,25.337718918639855,26.720778431774775,17.74823934929885,6.324555320336759,26.267851073127396,28.337254630609507,25.96150997149434,22.58317958127243,12.24744871391589,8.0,24.372115213907882,17.029386365926403,25.495097567963924,24.041630560342615,29.478805945967352,28.861739379323623,25.495097567963924,18.788294228055936,29.899832775452108,24.124676163629637,24.06241883103193,26.94438717061496,13.490737563232042,7.211102550927978,13.45362404707371,17.029386365926403,28.722813232690143,28.879058156387302,28.089143810376278,25.65151067676132,12.727922061357855,25.337718918639855,23.366642891095847
