,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,bbc,breitbart,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,peoplesdaily,pjmedia,rawstory,redstate,rt,shadowproof,slate,socialistproject,spectator,strategicculture,truthdig,usatoday,veteranstoday,vice,vox,wapo
aljazeera,100.0,71.66278315232111,68.44501077874139,58.0328465342071,80.78076445356649,13.15055237675644,52.245273337296226,62.76413508491707,8.118640877620942,46.683844665052845,69.74413182725523,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893,24.919743155206998,51.41179459481151,95.37255186617253,50.700843290697215,5.052702548403798,53.66771166687151,22.949167200361988,31.05257565840135,27.34759060425852,28.23724549866523,48.993009674177976,28.686234814553135,97.68627593308626,42.11064234081777,66.87251282013307,60.59869892038341,71.7573984977559,55.31456603583993,63.4168103570238,53.437201346832495,38.218801498977875,47.39138898534962,63.4168103570238,66.7918123663747,69.47988341994812,49.20334867466914,36.341045195773155,53.437201346832495,16.417218457090833,33.22189898506698,36.00555430954088,55.49462896018209,62.549104241049825,16.09758906307974,54.424921344746444,25.780290282887076,36.42519454492241,65.29413899629394,53.89937456006816
alternet,71.66278315232111,100.0,13.15055237675644,52.245273337296226,62.76413508491707,8.118640877620942,46.683844665052845,69.74413182725523,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893,24.919743155206998,51.41179459481151,95.37255186617253,50.700843290697215,5.052702548403798,53.66771166687151,22.949167200361988,31.05257565840135,27.34759060425852,28.23724549866523,48.993009674177976,28.686234814553135,97.68627593308626,42.11064234081777,66.87251282013307,60.59869892038341,71.7573984977559,55.31456603583993,63.4168103570238,53.437201346832495,38.218801498977875,47.39138898534962,63.4168103570238,66.7918123663747,69.47988341994812,49.20334867466914,36.341045195773155,53.437201346832495,16.417218457090833,33.22189898506698,36.00555430954088,55.49462896018209,62.549104241049825,16.09758906307974,54.424921344746444,25.780290282887076,36.42519454492241,65.29413899629394,53.89937456006816,55.49462896018209,49.839657525357275,39.53251355903553
americanconservative,68.44501077874139,13.15055237675644,100.0,8.118640877620942,46.683844665052845,69.74413182725523,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893,24.919743155206998,51.41179459481151,95.37255186617253,50.700843290697215,5.052702548403798,53.66771166687151,22.949167200361988,31.05257565840135,27.34759060425852,28.23724549866523,48.993009674177976,28.686234814553135,97.68627593308626,42.11064234081777,66.87251282013307,60.59869892038341,71.7573984977559,55.31456603583993,63.4168103570238,53.437201346832495,38.218801498977875,47.39138898534962,63.4168103570238,66.7918123663747,69.47988341994812,49.20334867466914,36.341045195773155,53.437201346832495,16.417218457090833,33.22189898506698,36.00555430954088,55.49462896018209,62.549104241049825,16.09758906307974,54.424921344746444,25.780290282887076,36.42519454492241,65.29413899629394,53.89937456006816,55.49462896018209,49.839657525357275,39.53251355903553,33.382423498529036,25.026771373331957
americanspectator,58.0328465342071,52.245273337296226,8.118640877620942,100.0,69.74413182725523,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893,24.919743155206998,51.41179459481151,95.37255186617253,50.700843290697215,5.052702548403798,53.66771166687151,22.949167200361988,31.05257565840135,27.34759060425852,28.23724549866523,48.993009674177976,28.686234814553135,97.68627593308626,42.11064234081777,66.87251282013307,60.59869892038341,71.7573984977559,55.31456603583993,63.4168103570238,53.437201346832495,38.218801498977875,47.39138898534962,63.4168103570238,66.7918123663747,69.47988341994812,49.20334867466914,36.341045195773155,53.437201346832495,16.417218457090833,33.22189898506698,36.00555430954088,55.49462896018209,62.549104241049825,16.09758906307974,54.424921344746444,25.780290282887076,36.42519454492241,65.29413899629394,53.89937456006816,55.49462896018209,49.839657525357275,39.53251355903553,33.382423498529036,25.026771373331957,80.09659299822333
americanthinker,80.78076445356649,62.76413508491707,46.683844665052845,69.74413182725523,100.0,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893,24.919743155206998,51.41179459481151,95.37255186617253,50.700843290697215,5.052702548403798,53.66771166687151,22.949167200361988,31.05257565840135,27.34759060425852,28.23724549866523,48.993009674177976,28.686234814553135,97.68627593308626,42.11064234081777,66.87251282013307,60.59869892038341,71.7573984977559,55.31456603583993,63.4168103570238,53.437201346832495,38.218801498977875,47.39138898534962,63.4168103570238,66.7918123663747,69.47988341994812,49.20334867466914,36.341045195773155,53.437201346832495,16.417218457090833,33.22189898506698,36.00555430954088,55.49462896018209,62.549104241049825,16.09758906307974,54.424921344746444,25.780290282887076,36.42519454492241,65.29413899629394,53.89937456006816,55.49462896018209,49.839657525357275,39.53251355903553,33.382423498529036,25.026771373331957,80.09659299822333
antiwar,13.15055237675644,8.118640877620942,69.74413182725523,53.437201346832495,53.437201346832495,100.0,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893,24.919743155206998,51.41179459481151,95.37255186617253,50.700843290697215,5.052702548403798,53.66771166687151,22.949167200361988,31.05257565840135,27.34759060425852,28.23724549866523,48.993009674177976,28.686234814553135,97.68627593308626,42.11064234081777,66.87251282013307,60.59869892038341,71.7573984977559,55.31456603583993,63.4168103570238,53.437201346832495,38.218801498977875,47.39138898534962,63.4168103570238,66.7918123663747,69.47988341994812,49.20334867466914,36.341045195773155,53.437201346832495,16.417218457090833,33.22189898506698,36.00555430954088,55.49462896018209,62.549104241049825,16.09758906307974,54.424921344746444,25.780290282887076,36.42519454492241,65.29413899629394,53.89937456006816,55.49462896018209,49.839657525357275,39.53251355903553,33.382423498529036,25.026771373331957
ap,52.245273337296226,46.683844665052845,53.437201346832495,51.85452095955154,51.85452095955154,53.437201346832495,100.0,69.74413182725523,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893,24.919743155206998,51.41179459481151,95.37255186617253,50.700843290697215,5.052702548403798,53.66771166687151,22.949167200361988,31.05257565840135,27.34759060425852,28.23724549866523,48.993009674177976,28.686234814553135,97.68627593308626,42.11064234081777,66.87251282013307,60.59869892038341,71.7573984977559,55.31456603583993,63.4168103570238,53.437201346832495,38.218801498977875,47.39138898534962,63.4168103570238,66.7918123663747,69.47988341994812,49.20334867466914,36.341045195773155,53.437201346832495,16.417218457090833,33.22189898506698,36.00555430954088,55.49462896018209,62.549104241049825,16.09758906307974,54.424921344746444,25.780290282887076,36.42519454492241,65.29413899629394,53.89937456006816,55.49462896018209,49.839657525357275,39.53251355903553
atlantic,62.76413508491707,69.74413182725523,51.85452095955154,67.60786306320767,67.60786306320767,51.85452095955154,69.74413182725523,100.0,8.118640877620942,46.683844665052845,69.74413182725523,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893,24.919743155206998,51.41179459481151,95.37255186617253,50.700843290697215,5.052702548403798,53.66771166687151,22.949167200361988,31.05257565840135,27.34759060425852,28.23724549866523,48.993009674177976,28.686234814553135,97.68627593308626,42.11064234081777,66.87251282013307,60.59869892038341,71.7573984977559,55.31456603583993,63.4168103570238,53.437201346832495,38.218801498977875,47.39138898534962,63.4168103570238,66.7918123663747,69.47988341994812,49.20334867466914,36.341045195773155,53.437201346832495,16.417218457090833,33.22189898506698,36.00555430954088,55.49462896018209,62.549104241049825,16.09758906307974,54.424921344746444,25.780290282887076,36.42519454492241,65.29413899629394,53.89937456006816
bbc,8.118640877620942,53.437201346832495,67.60786306320767,83.80393153160384,83.80393153160384,67.60786306320767,53.437201346832495,8.118640877620942,100.0,13.15055237675644,52.245273337296226,62.76413508491707,8.118640877620942,46.683844665052845,69.74413182725523,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893,24.919743155206998,51.41179459481151,95.37255186617253,50.700843290697215,5.052702548403798,53.66771166687151,22.949167200361988,31.05257565840135,27.34759060425852,28.23724549866523,48.993009674177976,28.686234814553135,97.68627593308626,42.11064234081777,66.87251282013307,60.59869892038341,71.7573984977559,55.31456603583993,63.4168103570238,53.437201346832495,38.218801498977875,47.39138898534962,63.4168103570238,66.7918123663747,69.47988341994812,49.20334867466914,36.341045195773155,53.437201346832495,16.417218457090833,33.22189898506698,36.00555430954088,55.49462896018209,62.549104241049825,16.09758906307974,54.424921344746444
breitbart,46.683844665052845,51.85452095955154,83.80393153160384,19.019657658019185,19.019657658019185,83.80393153160384,51.85452095955154,46.683844665052845,13.15055237675644,100.0,71.66278315232111,68.44501077874139,58.0328465342071,80.78076445356649,13.15055237675644,52.245273337296226,62.76413508491707,8.118640877620942,46.683844665052845,69.74413182725523,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893,24.919743155206998,51.41179459481151,95.37255186617253,50.700843290697215,5.052702548403798,53.66771166687151,22.949167200361988,31.05257565840135,27.34759060425852,28.23724549866523,48.993009674177976,28.686234814553135,97.68627593308626,42.11064234081777,66.87251282013307,60.59869892038341,71.7573984977559,55.31456603583993,63.4168103570238,53.437201346832495,38.218801498977875,47.39138898534962,63.4168103570238,66.7918123663747,69.47988341994812,49.20334867466914,36.341045195773155,53.437201346832495,16.417218457090833,33.22189898506698
