,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,foreignaffairs,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,peoplesdaily,pjmedia,rawstory,redstate,reuters,rt,shadowproof,slate,socialistproject,spectator,strategicculture,time,townhall,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
aljazeera,,23.895606290697042,30.479501308256342,20.0,23.0,7.810249675906654,6.557438524302,15.0,18.24828759089466,25.059928172283335,21.470910553583888,15.811388300841896,23.194827009486403,4.123105625617661,17.233687939614086,22.561028345356956,2.449489742783178,10.0,30.757112998459398,3.605551275463989,21.118712081942874,21.307275752662516,21.72556098240043,18.547236990991408,6.782329983125268,22.93468988235943,7.615773105863909,15.264337522473747,9.273618495495704,6.164414002968976,13.152946437965905,22.93468988235943,6.164414002968976,2.8284271247461903,21.095023109728988,18.2208671582886,6.164414002968976,22.825424421026653,18.35755975068582,8.306623862918075,18.275666882497067,20.493901531919196,5.477225575051661,5.0990195135927845,10.344080432788601,7.280109889280518,0.0,5.830951894845301,1.0,7.874007874011811,13.152946437965905,5.744562646538029,6.4031242374328485,19.87460691435179,21.6794833886788,3.0,5.477225575051661,3.605551275463989,14.177446878757825,4.898979485566356,22.293496809607955,8.602325267042627,15.0,8.774964387392123,5.0990195135927845,26.28687885618983,22.181073012818835,22.561028345356956,24.55605831561735
alternet,23.895606290697042,,7.810249675906654,6.557438524302,15.0,18.24828759089466,25.059928172283335,21.470910553583888,15.811388300841896,23.194827009486403,4.123105625617661,17.233687939614086,22.561028345356956,2.449489742783178,10.0,30.757112998459398,3.605551275463989,21.118712081942874,21.307275752662516,21.72556098240043,18.547236990991408,6.782329983125268,22.93468988235943,7.615773105863909,15.264337522473747,9.273618495495704,6.164414002968976,13.152946437965905,22.93468988235943,6.164414002968976,2.8284271247461903,21.095023109728988,18.2208671582886,6.164414002968976,22.825424421026653,18.35755975068582,8.306623862918075,18.275666882497067,20.493901531919196,5.477225575051661,5.0990195135927845,10.344080432788601,7.280109889280518,0.0,5.830951894845301,1.0,7.874007874011811,13.152946437965905,5.744562646538029,6.4031242374328485,19.87460691435179,21.6794833886788,3.0,5.477225575051661,3.605551275463989,14.177446878757825,4.898979485566356,22.293496809607955,8.602325267042627,15.0,8.774964387392123,5.0990195135927845,26.28687885618983,22.181073012818835,22.561028345356956,24.55605831561735,28.142494558940577,5.385164807134504,18.110770276274835
americanconservative,30.479501308256342,7.810249675906654,,18.24828759089466,25.059928172283335,21.470910553583888,15.811388300841896,23.194827009486403,4.123105625617661,17.233687939614086,22.561028345356956,2.449489742783178,10.0,30.757112998459398,3.605551275463989,21.118712081942874,21.307275752662516,21.72556098240043,18.547236990991408,6.782329983125268,22.93468988235943,7.615773105863909,15.264337522473747,9.273618495495704,6.164414002968976,13.152946437965905,22.93468988235943,6.164414002968976,2.8284271247461903,21.095023109728988,18.2208671582886,6.164414002968976,22.825424421026653,18.35755975068582,8.306623862918075,18.275666882497067,20.493901531919196,5.477225575051661,5.0990195135927845,10.344080432788601,7.280109889280518,0.0,5.830951894845301,1.0,7.874007874011811,13.152946437965905,5.744562646538029,6.4031242374328485,19.87460691435179,21.6794833886788,3.0,5.477225575051661,3.605551275463989,14.177446878757825,4.898979485566356,22.293496809607955,8.602325267042627,15.0,8.774964387392123,5.0990195135927845,26.28687885618983,22.181073012818835,22.561028345356956,24.55605831561735,28.142494558940577,5.385164807134504,18.110770276274835,3.1622776601683795,11.224972160321824
americanthinker,20.0,6.557438524302,18.24828759089466,,21.470910553583888,15.811388300841896,23.194827009486403,4.123105625617661,17.233687939614086,22.561028345356956,2.449489742783178,10.0,30.757112998459398,3.605551275463989,21.118712081942874,21.307275752662516,21.72556098240043,18.547236990991408,6.782329983125268,22.93468988235943,7.615773105863909,15.264337522473747,9.273618495495704,6.164414002968976,13.152946437965905,22.93468988235943,6.164414002968976,2.8284271247461903,21.095023109728988,18.2208671582886,6.164414002968976,22.825424421026653,18.35755975068582,8.306623862918075,18.275666882497067,20.493901531919196,5.477225575051661,5.0990195135927845,10.344080432788601,7.280109889280518,0.0,5.830951894845301,1.0,7.874007874011811,13.152946437965905,5.744562646538029,6.4031242374328485,19.87460691435179,21.6794833886788,3.0,5.477225575051661,3.605551275463989,14.177446878757825,4.898979485566356,22.293496809607955,8.602325267042627,15.0,8.774964387392123,5.0990195135927845,26.28687885618983,22.181073012818835,22.561028345356956,24.55605831561735,28.142494558940577,5.385164807134504,18.110770276274835,3.1622776601683795,11.224972160321824,24.331050121192877
antiwar,23.0,15.0,25.059928172283335,21.470910553583888,,15.811388300841896,23.194827009486403,4.123105625617661,17.233687939614086,22.561028345356956,2.449489742783178,10.0,30.757112998459398,3.605551275463989,21.118712081942874,21.307275752662516,21.72556098240043,18.547236990991408,6.782329983125268,22.93468988235943,7.615773105863909,15.264337522473747,9.273618495495704,6.164414002968976,13.152946437965905,22.93468988235943,6.164414002968976,2.8284271247461903,21.095023109728988,18.2208671582886,6.164414002968976,22.825424421026653,18.35755975068582,8.306623862918075,18.275666882497067,20.493901531919196,5.477225575051661,5.0990195135927845,10.344080432788601,7.280109889280518,0.0,5.830951894845301,1.0,7.874007874011811,13.152946437965905,5.744562646538029,6.4031242374328485,19.87460691435179,21.6794833886788,3.0,5.477225575051661,3.605551275463989,14.177446878757825,4.898979485566356,22.293496809607955,8.602325267042627,15.0,8.774964387392123,5.0990195135927845,26.28687885618983,22.181073012818835,22.561028345356956,24.55605831561735,28.142494558940577,5.385164807134504,18.110770276274835,3.1622776601683795,11.224972160321824,24.331050121192877
ap,7.810249675906654,18.24828759089466,21.470910553583888,15.811388300841896,15.811388300841896,,15.811388300841896,23.194827009486403,4.123105625617661,17.233687939614086,22.561028345356956,2.449489742783178,10.0,30.757112998459398,3.605551275463989,21.118712081942874,21.307275752662516,21.72556098240043,18.547236990991408,6.782329983125268,22.93468988235943,7.615773105863909,15.264337522473747,9.273618495495704,6.164414002968976,13.152946437965905,22.93468988235943,6.164414002968976,2.8284271247461903,21.095023109728988,18.2208671582886,6.164414002968976,22.825424421026653,18.35755975068582,8.306623862918075,18.275666882497067,20.493901531919196,5.477225575051661,5.0990195135927845,10.344080432788601,7.280109889280518,0.0,5.830951894845301,1.0,7.874007874011811,13.152946437965905,5.744562646538029,6.4031242374328485,19.87460691435179,21.6794833886788,3.0,5.477225575051661,3.605551275463989,14.177446878757825,4.898979485566356,22.293496809607955,8.602325267042627,15.0,8.774964387392123,5.0990195135927845,26.28687885618983,22.181073012818835,22.561028345356956,24.55605831561735,28.142494558940577,5.385164807134504,18.110770276274835,3.1622776601683795,11.224972160321824
atlantic,6.557438524302,25.059928172283335,15.811388300841896,23.194827009486403,23.194827009486403,15.811388300841896,,21.470910553583888,15.811388300841896,23.194827009486403,4.123105625617661,17.233687939614086,22.561028345356956,2.449489742783178,10.0,30.757112998459398,3.605551275463989,21.118712081942874,21.307275752662516,21.72556098240043,18.547236990991408,6.782329983125268,22.93468988235943,7.615773105863909,15.264337522473747,9.273618495495704,6.164414002968976,13.152946437965905,22.93468988235943,6.164414002968976,2.8284271247461903,21.095023109728988,18.2208671582886,6.164414002968976,22.825424421026653,18.35755975068582,8.306623862918075,18.275666882497067,20.493901531919196,5.477225575051661,5.0990195135927845,10.344080432788601,7.280109889280518,0.0,5.830951894845301,1.0,7.874007874011811,13.152946437965905,5.744562646538029,6.4031242374328485,19.87460691435179,21.6794833886788,3.0,5.477225575051661,3.605551275463989,14.177446878757825,4.898979485566356,22.293496809607955,8.602325267042627,15.0,8.774964387392123,5.0990195135927845,26.28687885618983,22.181073012818835,22.561028345356956,24.55605831561735,28.142494558940577,5.385164807134504,18.110770276274835
axios,15.0,21.470910553583888,23.194827009486403,4.123105625617661,4.123105625617661,23.194827009486403,21.470910553583888,,18.24828759089466,25.059928172283335,21.470910553583888,15.811388300841896,23.194827009486403,4.123105625617661,17.233687939614086,22.561028345356956,2.449489742783178,10.0,30.757112998459398,3.605551275463989,21.118712081942874,21.307275752662516,21.72556098240043,18.547236990991408,6.782329983125268,22.93468988235943,7.615773105863909,15.264337522473747,9.273618495495704,6.164414002968976,13.152946437965905,22.93468988235943,6.164414002968976,2.8284271247461903,21.095023109728988,18.2208671582886,6.164414002968976,22.825424421026653,18.35755975068582,8.306623862918075,18.275666882497067,20.493901531919196,5.477225575051661,5.0990195135927845,10.344080432788601,7.280109889280518,0.0,5.830951894845301,1.0,7.874007874011811,13.152946437965905,5.744562646538029,6.4031242374328485,19.87460691435179,21.6794833886788,3.0,5.477225575051661,3.605551275463989,14.177446878757825,4.898979485566356,22.293496809607955,8.602325267042627,15.0,8.774964387392123,5.0990195135927845,26.28687885618983,22.181073012818835,22.561028345356956,24.55605831561735
bbc,18.24828759089466,15.811388300841896,4.123105625617661,17.233687939614086,17.233687939614086,4.123105625617661,15.811388300841896,18.24828759089466,,7.810249675906654,6.557438524302,15.0,18.24828759089466,25.059928172283335,21.470910553583888,15.811388300841896,23.194827009486403,4.123105625617661,17.233687939614086,22.561028345356956,2.449489742783178,10.0,30.757112998459398,3.605551275463989,21.118712081942874,21.307275752662516,21.72556098240043,18.547236990991408,6.782329983125268,22.93468988235943,7.615773105863909,15.264337522473747,9.273618495495704,6.164414002968976,13.152946437965905,22.93468988235943,6.164414002968976,2.8284271247461903,21.095023109728988,18.2208671582886,6.164414002968976,22.825424421026653,18.35755975068582,8.306623862918075,18.275666882497067,20.493901531919196,5.477225575051661,5.0990195135927845,10.344080432788601,7.280109889280518,0.0,5.830951894845301,1.0,7.874007874011811,13.152946437965905,5.744562646538029,6.4031242374328485,19.87460691435179,21.6794833886788,3.0,5.477225575051661,3.605551275463989,14.177446878757825,4.898979485566356,22.293496809607955,8.602325267042627,15.0,8.774964387392123,5.0990195135927845
breitbart,25.059928172283335,23.194827009486403,17.233687939614086,22.561028345356956,22.561028345356956,17.233687939614086,23.194827009486403,25.059928172283335,7.810249675906654,,23.895606290697042,30.479501308256342,20.0,23.0,7.810249675906654,6.557438524302,15.0,18.24828759089466,25.059928172283335,21.470910553583888,15.811388300841896,23.194827009486403,4.123105625617661,17.233687939614086,22.561028345356956,2.449489742783178,10.0,30.757112998459398,3.605551275463989,21.118712081942874,21.307275752662516,21.72556098240043,18.547236990991408,6.782329983125268,22.93468988235943,7.615773105863909,15.264337522473747,9.273618495495704,6.164414002968976,13.152946437965905,22.93468988235943,6.164414002968976,2.8284271247461903,21.095023109728988,18.2208671582886,6.164414002968976,22.825424421026653,18.35755975068582,8.306623862918075,18.275666882497067,20.493901531919196,5.477225575051661,5.0990195135927845,10.344080432788601,7.280109889280518,0.0,5.830951894845301,1.0,7.874007874011811,13.152946437965905,5.744562646538029,6.4031242374328485,19.87460691435179,21.6794833886788,3.0,5.477225575051661,3.605551275463989,14.177446878757825,4.898979485566356
