,aljazeera,alternet,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,independent,infowars,intercept,motherjones,nationalreview,nbc,npr,nypost,nytimes,observerny,pjmedia,rawstory,redstate,rt,slate,spectator,time,townhall,usatoday,vice,vox,wapo,wsj
aljazeera,100.0,60.058929918827644,69.13107076215275,90.18370013494467,62.9804149293802,67.60786306320767,96.72790004498155,88.43137966543131,96.72790004498155,87.54021458143603,68.95813423122166,72.23531119703514,59.00070507735315,93.0588277992588,100.0,42.156898327156554,100.0,59.59254632331019,48.574912595494524,59.00070507735315,42.156898327156554,69.47988341994812,88.43137966543131,67.60786306320767,95.37255186617253,60.59869892038341,41.10220080966804,50.48414265632012,95.37255186617253,100.0,100.0,100.0,59.00070507735315,95.37255186617253,100.0,50.430115518215366,95.37255186617253,50.48414265632012,42.668177235509695,100.0,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648
alternet,60.058929918827644,100.0,67.60786306320767,96.72790004498155,88.43137966543131,96.72790004498155,87.54021458143603,68.95813423122166,72.23531119703514,59.00070507735315,93.0588277992588,100.0,42.156898327156554,100.0,59.59254632331019,48.574912595494524,59.00070507735315,42.156898327156554,69.47988341994812,88.43137966543131,67.60786306320767,95.37255186617253,60.59869892038341,41.10220080966804,50.48414265632012,95.37255186617253,100.0,100.0,100.0,59.00070507735315,95.37255186617253,100.0,50.430115518215366,95.37255186617253,50.48414265632012,42.668177235509695,100.0,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767
ap,69.13107076215275,67.60786306320767,100.0,96.72790004498155,87.54021458143603,68.95813423122166,72.23531119703514,59.00070507735315,93.0588277992588,100.0,42.156898327156554,100.0,59.59254632331019,48.574912595494524,59.00070507735315,42.156898327156554,69.47988341994812,88.43137966543131,67.60786306320767,95.37255186617253,60.59869892038341,41.10220080966804,50.48414265632012,95.37255186617253,100.0,100.0,100.0,59.00070507735315,95.37255186617253,100.0,50.430115518215366,95.37255186617253,50.48414265632012,42.668177235509695,100.0,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767,65.21710036431148,65.60401895893501
atlantic,90.18370013494467,96.72790004498155,96.72790004498155,100.0,68.95813423122166,72.23531119703514,59.00070507735315,93.0588277992588,100.0,42.156898327156554,100.0,59.59254632331019,48.574912595494524,59.00070507735315,42.156898327156554,69.47988341994812,88.43137966543131,67.60786306320767,95.37255186617253,60.59869892038341,41.10220080966804,50.48414265632012,95.37255186617253,100.0,100.0,100.0,59.00070507735315,95.37255186617253,100.0,50.430115518215366,95.37255186617253,50.48414265632012,42.668177235509695,100.0,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767,65.21710036431148,65.60401895893501,65.21710036431148
bbc,62.9804149293802,88.43137966543131,87.54021458143603,68.95813423122166,100.0,72.23531119703514,59.00070507735315,93.0588277992588,100.0,42.156898327156554,100.0,59.59254632331019,48.574912595494524,59.00070507735315,42.156898327156554,69.47988341994812,88.43137966543131,67.60786306320767,95.37255186617253,60.59869892038341,41.10220080966804,50.48414265632012,95.37255186617253,100.0,100.0,100.0,59.00070507735315,95.37255186617253,100.0,50.430115518215366,95.37255186617253,50.48414265632012,42.668177235509695,100.0,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767,65.21710036431148,65.60401895893501,65.21710036431148
breitbart,67.60786306320767,96.72790004498155,68.95813423122166,72.23531119703514,72.23531119703514,100.0,72.23531119703514,59.00070507735315,93.0588277992588,100.0,42.156898327156554,100.0,59.59254632331019,48.574912595494524,59.00070507735315,42.156898327156554,69.47988341994812,88.43137966543131,67.60786306320767,95.37255186617253,60.59869892038341,41.10220080966804,50.48414265632012,95.37255186617253,100.0,100.0,100.0,59.00070507735315,95.37255186617253,100.0,50.430115518215366,95.37255186617253,50.48414265632012,42.668177235509695,100.0,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767,65.21710036431148,65.60401895893501
businessinsider,96.72790004498155,87.54021458143603,72.23531119703514,59.00070507735315,59.00070507735315,72.23531119703514,100.0,68.95813423122166,72.23531119703514,59.00070507735315,93.0588277992588,100.0,42.156898327156554,100.0,59.59254632331019,48.574912595494524,59.00070507735315,42.156898327156554,69.47988341994812,88.43137966543131,67.60786306320767,95.37255186617253,60.59869892038341,41.10220080966804,50.48414265632012,95.37255186617253,100.0,100.0,100.0,59.00070507735315,95.37255186617253,100.0,50.430115518215366,95.37255186617253,50.48414265632012,42.668177235509695,100.0,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767
buzzfeed,88.43137966543131,68.95813423122166,59.00070507735315,93.0588277992588,93.0588277992588,59.00070507735315,68.95813423122166,100.0,96.72790004498155,87.54021458143603,68.95813423122166,72.23531119703514,59.00070507735315,93.0588277992588,100.0,42.156898327156554,100.0,59.59254632331019,48.574912595494524,59.00070507735315,42.156898327156554,69.47988341994812,88.43137966543131,67.60786306320767,95.37255186617253,60.59869892038341,41.10220080966804,50.48414265632012,95.37255186617253,100.0,100.0,100.0,59.00070507735315,95.37255186617253,100.0,50.430115518215366,95.37255186617253,50.48414265632012,42.668177235509695,100.0,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648
cbs,96.72790004498155,72.23531119703514,93.0588277992588,100.0,100.0,93.0588277992588,72.23531119703514,96.72790004498155,100.0,67.60786306320767,96.72790004498155,88.43137966543131,96.72790004498155,87.54021458143603,68.95813423122166,72.23531119703514,59.00070507735315,93.0588277992588,100.0,42.156898327156554,100.0,59.59254632331019,48.574912595494524,59.00070507735315,42.156898327156554,69.47988341994812,88.43137966543131,67.60786306320767,95.37255186617253,60.59869892038341,41.10220080966804,50.48414265632012,95.37255186617253,100.0,100.0,100.0,59.00070507735315,95.37255186617253,100.0,50.430115518215366,95.37255186617253,50.48414265632012,42.668177235509695,100.0
cnn,87.54021458143603,59.00070507735315,100.0,42.156898327156554,42.156898327156554,100.0,59.00070507735315,87.54021458143603,67.60786306320767,100.0,60.058929918827644,69.13107076215275,90.18370013494467,62.9804149293802,67.60786306320767,96.72790004498155,88.43137966543131,96.72790004498155,87.54021458143603,68.95813423122166,72.23531119703514,59.00070507735315,93.0588277992588,100.0,42.156898327156554,100.0,59.59254632331019,48.574912595494524,59.00070507735315,42.156898327156554,69.47988341994812,88.43137966543131,67.60786306320767,95.37255186617253,60.59869892038341,41.10220080966804,50.48414265632012,95.37255186617253,100.0,100.0,100.0,59.00070507735315,95.37255186617253,100.0
