,aljazeera,alternet,americanconservative,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,eff,federalist,fox,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,techcrunch,time,usatoday,verge,vice,vox,wapo,wsj
aljazeera,100.0,74.5490352639489,56.03924272863898,80.09659299822333,38.91593183736332,16.449248648549762,74.5490352639489,76.17875275875589,64.08134338628993,6.3870559289766815,65.99533978278531,44.27814563806055,35.05067038406874,39.66545799200283,91.65774923946745,86.50878626788017,27.34759060425852,94.82635570520361,71.380813850743,88.43137966543131,67.77355282975994,43.27835727213709,83.15583453939496,11.865636934900392,85.73724696291063,69.56771127565096,93.0588277992588,97.68627593308626,93.0588277992588,44.27814563806055,60.66669086246645,67.52533519203436,71.380813850743,83.80393153160384,91.65774923946745,34.844938701218574,24.919743155206998,79.17648339777637,80.36740026988936,83.15583453939496,71.380813850743,67.69060173457126,29.02484072997997,90.460271283581,82.37920247680829,39.84317426024282,74.44408238678304
alternet,74.5490352639489,100.0,16.449248648549762,74.5490352639489,76.17875275875589,64.08134338628993,6.3870559289766815,65.99533978278531,44.27814563806055,35.05067038406874,39.66545799200283,91.65774923946745,86.50878626788017,27.34759060425852,94.82635570520361,71.380813850743,88.43137966543131,67.77355282975994,43.27835727213709,83.15583453939496,11.865636934900392,85.73724696291063,69.56771127565096,93.0588277992588,97.68627593308626,93.0588277992588,44.27814563806055,60.66669086246645,67.52533519203436,71.380813850743,83.80393153160384,91.65774923946745,34.844938701218574,24.919743155206998,79.17648339777637,80.36740026988936,83.15583453939496,71.380813850743,67.69060173457126,29.02484072997997,90.460271283581,82.37920247680829,39.84317426024282,74.44408238678304,78.17237080795053,36.72059849171886,97.68627593308626
americanconservative,56.03924272863898,16.449248648549762,100.0,64.08134338628993,6.3870559289766815,65.99533978278531,44.27814563806055,35.05067038406874,39.66545799200283,91.65774923946745,86.50878626788017,27.34759060425852,94.82635570520361,71.380813850743,88.43137966543131,67.77355282975994,43.27835727213709,83.15583453939496,11.865636934900392,85.73724696291063,69.56771127565096,93.0588277992588,97.68627593308626,93.0588277992588,44.27814563806055,60.66669086246645,67.52533519203436,71.380813850743,83.80393153160384,91.65774923946745,34.844938701218574,24.919743155206998,79.17648339777637,80.36740026988936,83.15583453939496,71.380813850743,67.69060173457126,29.02484072997997,90.460271283581,82.37920247680829,39.84317426024282,74.44408238678304,78.17237080795053,36.72059849171886,97.68627593308626,24.351483340351344,32.70283867121731
ap,80.09659299822333,74.5490352639489,64.08134338628993,100.0,65.99533978278531,44.27814563806055,35.05067038406874,39.66545799200283,91.65774923946745,86.50878626788017,27.34759060425852,94.82635570520361,71.380813850743,88.43137966543131,67.77355282975994,43.27835727213709,83.15583453939496,11.865636934900392,85.73724696291063,69.56771127565096,93.0588277992588,97.68627593308626,93.0588277992588,44.27814563806055,60.66669086246645,67.52533519203436,71.380813850743,83.80393153160384,91.65774923946745,34.844938701218574,24.919743155206998,79.17648339777637,80.36740026988936,83.15583453939496,71.380813850743,67.69060173457126,29.02484072997997,90.460271283581,82.37920247680829,39.84317426024282,74.44408238678304,78.17237080795053,36.72059849171886,97.68627593308626,24.351483340351344,32.70283867121731,26.505109501842316
atlantic,38.91593183736332,76.17875275875589,6.3870559289766815,65.99533978278531,100.0,44.27814563806055,35.05067038406874,39.66545799200283,91.65774923946745,86.50878626788017,27.34759060425852,94.82635570520361,71.380813850743,88.43137966543131,67.77355282975994,43.27835727213709,83.15583453939496,11.865636934900392,85.73724696291063,69.56771127565096,93.0588277992588,97.68627593308626,93.0588277992588,44.27814563806055,60.66669086246645,67.52533519203436,71.380813850743,83.80393153160384,91.65774923946745,34.844938701218574,24.919743155206998,79.17648339777637,80.36740026988936,83.15583453939496,71.380813850743,67.69060173457126,29.02484072997997,90.460271283581,82.37920247680829,39.84317426024282,74.44408238678304,78.17237080795053,36.72059849171886,97.68627593308626,24.351483340351344,32.70283867121731,26.505109501842316
bbc,16.449248648549762,64.08134338628993,65.99533978278531,44.27814563806055,44.27814563806055,100.0,44.27814563806055,35.05067038406874,39.66545799200283,91.65774923946745,86.50878626788017,27.34759060425852,94.82635570520361,71.380813850743,88.43137966543131,67.77355282975994,43.27835727213709,83.15583453939496,11.865636934900392,85.73724696291063,69.56771127565096,93.0588277992588,97.68627593308626,93.0588277992588,44.27814563806055,60.66669086246645,67.52533519203436,71.380813850743,83.80393153160384,91.65774923946745,34.844938701218574,24.919743155206998,79.17648339777637,80.36740026988936,83.15583453939496,71.380813850743,67.69060173457126,29.02484072997997,90.460271283581,82.37920247680829,39.84317426024282,74.44408238678304,78.17237080795053,36.72059849171886,97.68627593308626,24.351483340351344,32.70283867121731
breitbart,74.5490352639489,6.3870559289766815,44.27814563806055,35.05067038406874,35.05067038406874,44.27814563806055,100.0,65.99533978278531,44.27814563806055,35.05067038406874,39.66545799200283,91.65774923946745,86.50878626788017,27.34759060425852,94.82635570520361,71.380813850743,88.43137966543131,67.77355282975994,43.27835727213709,83.15583453939496,11.865636934900392,85.73724696291063,69.56771127565096,93.0588277992588,97.68627593308626,93.0588277992588,44.27814563806055,60.66669086246645,67.52533519203436,71.380813850743,83.80393153160384,91.65774923946745,34.844938701218574,24.919743155206998,79.17648339777637,80.36740026988936,83.15583453939496,71.380813850743,67.69060173457126,29.02484072997997,90.460271283581,82.37920247680829,39.84317426024282,74.44408238678304,78.17237080795053,36.72059849171886,97.68627593308626
businessinsider,76.17875275875589,65.99533978278531,35.05067038406874,39.66545799200283,39.66545799200283,35.05067038406874,65.99533978278531,100.0,64.08134338628993,6.3870559289766815,65.99533978278531,44.27814563806055,35.05067038406874,39.66545799200283,91.65774923946745,86.50878626788017,27.34759060425852,94.82635570520361,71.380813850743,88.43137966543131,67.77355282975994,43.27835727213709,83.15583453939496,11.865636934900392,85.73724696291063,69.56771127565096,93.0588277992588,97.68627593308626,93.0588277992588,44.27814563806055,60.66669086246645,67.52533519203436,71.380813850743,83.80393153160384,91.65774923946745,34.844938701218574,24.919743155206998,79.17648339777637,80.36740026988936,83.15583453939496,71.380813850743,67.69060173457126,29.02484072997997,90.460271283581,82.37920247680829,39.84317426024282,74.44408238678304
buzzfeed,64.08134338628993,44.27814563806055,39.66545799200283,91.65774923946745,91.65774923946745,39.66545799200283,44.27814563806055,64.08134338628993,100.0,16.449248648549762,74.5490352639489,76.17875275875589,64.08134338628993,6.3870559289766815,65.99533978278531,44.27814563806055,35.05067038406874,39.66545799200283,91.65774923946745,86.50878626788017,27.34759060425852,94.82635570520361,71.380813850743,88.43137966543131,67.77355282975994,43.27835727213709,83.15583453939496,11.865636934900392,85.73724696291063,69.56771127565096,93.0588277992588,97.68627593308626,93.0588277992588,44.27814563806055,60.66669086246645,67.52533519203436,71.380813850743,83.80393153160384,91.65774923946745,34.844938701218574,24.919743155206998,79.17648339777637,80.36740026988936,83.15583453939496,71.380813850743,67.69060173457126,29.02484072997997
cbs,6.3870559289766815,35.05067038406874,91.65774923946745,86.50878626788017,86.50878626788017,91.65774923946745,35.05067038406874,6.3870559289766815,16.449248648549762,100.0,74.5490352639489,56.03924272863898,80.09659299822333,38.91593183736332,16.449248648549762,74.5490352639489,76.17875275875589,64.08134338628993,6.3870559289766815,65.99533978278531,44.27814563806055,35.05067038406874,39.66545799200283,91.65774923946745,86.50878626788017,27.34759060425852,94.82635570520361,71.380813850743,88.43137966543131,67.77355282975994,43.27835727213709,83.15583453939496,11.865636934900392,85.73724696291063,69.56771127565096,93.0588277992588,97.68627593308626,93.0588277992588,44.27814563806055,60.66669086246645,67.52533519203436,71.380813850743,83.80393153160384,91.65774923946745,34.844938701218574,24.919743155206998,79.17648339777637
