,aljazeera,alternet,americanconservative,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,eff,federalist,fox,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,techcrunch,time,usatoday,verge,vice,vox,wapo,wsj
aljazeera,,71.58103057303732,71.84575877182785,74.14698340366095,72.47843748116468,57.261124839324665,70.87358027422594,66.72668439246937,70.03663176363924,70.75785949483449,77.27607358410594,70.95875922262564,70.80311747115391,75.5171342007236,78.59349076391848,71.9312710029568,64.44184131650286,73.47365410365987,67.16261641491916,75.02713011196327,67.08695622243798,69.02753567622564,76.74048900971972,66.61072659927612,78.17019738306583,68.14447323592404,66.60119535392035,69.59478070570657,66.1722288165072,70.92692025792637,64.12067844633074,74.09432515463936,73.03964837178513,81.20952303180015,74.36170240367159,71.21376809641096,68.24521198747068,74.44195385954613,60.85331466136734,82.19292139198909,72.94061878667185,75.97530011632928,61.625864611050865,66.42099230779021,82.25976866301582,72.09639180781619,61.2465119889293
alternet,71.58103057303732,,57.261124839324665,70.87358027422594,66.72668439246937,70.03663176363924,70.75785949483449,77.27607358410594,70.95875922262564,70.80311747115391,75.5171342007236,78.59349076391848,71.9312710029568,64.44184131650286,73.47365410365987,67.16261641491916,75.02713011196327,67.08695622243798,69.02753567622564,76.74048900971972,66.61072659927612,78.17019738306583,68.14447323592404,66.60119535392035,69.59478070570657,66.1722288165072,70.92692025792637,64.12067844633074,74.09432515463936,71.52515431457418,79.38884646701801,72.20239528439726,71.21376809641096,68.24521198747068,74.44195385954613,60.85331466136734,82.19292139198909,73.21252893804693,77.19555209368139,62.70597148925603,66.42099230779021,81.59513159543347,72.41634095841263,64.376182966371,70.42243343986728,65.97330906044347,72.89017657583557
americanconservative,71.84575877182785,57.261124839324665,,70.03663176363924,70.75785949483449,77.27607358410594,70.95875922262564,70.80311747115391,75.5171342007236,78.59349076391848,71.9312710029568,64.44184131650286,73.47365410365987,67.16261641491916,75.02713011196327,67.08695622243798,69.02753567622564,76.74048900971972,66.61072659927612,78.17019738306583,68.14447323592404,66.60119535392035,69.59478070570657,66.1722288165072,70.92692025792637,64.12067844633074,74.09432515463936,71.52515431457418,79.38884646701801,72.20239528439726,70.33929521941269,66.8651476721806,74.44195385954613,60.85331466136734,82.19292139198909,73.21252893804693,77.19555209368139,62.70597148925603,67.76127409640613,82.6235159358604,72.41634095841263,64.376182966371,70.02202320328605,64.79103727913224,71.18033182621268,64.34147672530088,59.57729687437858
ap,74.14698340366095,70.87358027422594,70.03663176363924,,77.27607358410594,70.95875922262564,70.80311747115391,75.5171342007236,78.59349076391848,71.9312710029568,64.44184131650286,73.47365410365987,67.16261641491916,75.02713011196327,67.08695622243798,69.02753567622564,76.74048900971972,66.61072659927612,78.17019738306583,68.14447323592404,66.60119535392035,69.59478070570657,66.1722288165072,70.92692025792637,64.12067844633074,74.09432515463936,71.52515431457418,79.38884646701801,72.20239528439726,70.33929521941269,66.8651476721806,73.4125372740666,60.85331466136734,82.19292139198909,73.21252893804693,77.19555209368139,62.70597148925603,67.76127409640613,82.6235159358604,73.68543804245063,64.376182966371,70.02202320328605,64.79103727913224,70.72162171375874,63.18669888621915,59.16805213962499,60.26658066850044
atlantic,72.47843748116468,66.72668439246937,70.75785949483449,77.27607358410594,,70.95875922262564,70.80311747115391,75.5171342007236,78.59349076391848,71.9312710029568,64.44184131650286,73.47365410365987,67.16261641491916,75.02713011196327,67.08695622243798,69.02753567622564,76.74048900971972,66.61072659927612,78.17019738306583,68.14447323592404,66.60119535392035,69.59478070570657,66.1722288165072,70.92692025792637,64.12067844633074,74.09432515463936,71.52515431457418,79.38884646701801,72.20239528439726,70.33929521941269,66.8651476721806,73.4125372740666,60.85331466136734,82.19292139198909,73.21252893804693,77.19555209368139,62.70597148925603,67.76127409640613,82.6235159358604,73.68543804245063,64.376182966371,70.02202320328605,64.79103727913224,70.72162171375874,63.18669888621915,59.16805213962499,60.26658066850044
bbc,57.261124839324665,70.03663176363924,77.27607358410594,70.95875922262564,70.95875922262564,,70.95875922262564,70.80311747115391,75.5171342007236,78.59349076391848,71.9312710029568,64.44184131650286,73.47365410365987,67.16261641491916,75.02713011196327,67.08695622243798,69.02753567622564,76.74048900971972,66.61072659927612,78.17019738306583,68.14447323592404,66.60119535392035,69.59478070570657,66.1722288165072,70.92692025792637,64.12067844633074,74.09432515463936,71.52515431457418,79.38884646701801,72.20239528439726,70.33929521941269,66.8651476721806,74.44195385954613,60.85331466136734,82.19292139198909,73.21252893804693,77.19555209368139,62.70597148925603,67.76127409640613,82.6235159358604,72.41634095841263,64.376182966371,70.02202320328605,64.79103727913224,71.18033182621268,64.34147672530088,59.57729687437858
breitbart,70.87358027422594,70.75785949483449,70.95875922262564,70.80311747115391,70.80311747115391,70.95875922262564,,77.27607358410594,70.95875922262564,70.80311747115391,75.5171342007236,78.59349076391848,71.9312710029568,64.44184131650286,73.47365410365987,67.16261641491916,75.02713011196327,67.08695622243798,69.02753567622564,76.74048900971972,66.61072659927612,78.17019738306583,68.14447323592404,66.60119535392035,69.59478070570657,66.1722288165072,70.92692025792637,64.12067844633074,74.09432515463936,71.52515431457418,79.38884646701801,72.20239528439726,71.21376809641096,68.24521198747068,74.44195385954613,60.85331466136734,82.19292139198909,73.21252893804693,77.19555209368139,62.70597148925603,66.42099230779021,81.59513159543347,72.41634095841263,64.376182966371,70.42243343986728,65.97330906044347,72.89017657583557
businessinsider,66.72668439246937,77.27607358410594,70.80311747115391,75.5171342007236,75.5171342007236,70.80311747115391,77.27607358410594,,70.03663176363924,70.75785949483449,77.27607358410594,70.95875922262564,70.80311747115391,75.5171342007236,78.59349076391848,71.9312710029568,64.44184131650286,73.47365410365987,67.16261641491916,75.02713011196327,67.08695622243798,69.02753567622564,76.74048900971972,66.61072659927612,78.17019738306583,68.14447323592404,66.60119535392035,69.59478070570657,66.1722288165072,70.92692025792637,64.12067844633074,74.09432515463936,73.03964837178513,81.20952303180015,74.36170240367159,71.21376809641096,68.24521198747068,74.44195385954613,60.85331466136734,82.19292139198909,72.94061878667185,75.97530011632928,61.625864611050865,66.42099230779021,82.25976866301582,72.09639180781619,61.2465119889293
buzzfeed,70.03663176363924,70.95875922262564,75.5171342007236,78.59349076391848,78.59349076391848,75.5171342007236,70.95875922262564,70.03663176363924,,57.261124839324665,70.87358027422594,66.72668439246937,70.03663176363924,70.75785949483449,77.27607358410594,70.95875922262564,70.80311747115391,75.5171342007236,78.59349076391848,71.9312710029568,64.44184131650286,73.47365410365987,67.16261641491916,75.02713011196327,67.08695622243798,69.02753567622564,76.74048900971972,66.61072659927612,78.17019738306583,68.14447323592404,66.60119535392035,69.59478070570657,66.87419218797906,72.96867932201401,63.59540591208144,75.28229833820215,73.03964837178513,81.20952303180015,74.36170240367159,71.21376809641096,67.32318730137938,73.66986822446422,59.63069571947843,80.82314611444978,75.07395911636141,75.101307956963,61.0532619807737
cbs,70.75785949483449,70.80311747115391,78.59349076391848,71.9312710029568,71.9312710029568,78.59349076391848,70.80311747115391,70.75785949483449,57.261124839324665,,71.58103057303732,71.84575877182785,74.14698340366095,72.47843748116468,57.261124839324665,70.87358027422594,66.72668439246937,70.03663176363924,70.75785949483449,77.27607358410594,70.95875922262564,70.80311747115391,75.5171342007236,78.59349076391848,71.9312710029568,64.44184131650286,73.47365410365987,67.16261641491916,75.02713011196327,67.08695622243798,69.02753567622564,76.74048900971972,66.38691194013475,79.28087978583424,67.82453220648138,66.38930135951102,70.73242849419479,66.87419218797906,72.96867932201401,63.59540591208144,75.23908962849636,72.78951490805174,81.02260170925341,74.04003291936978,72.48460641046792,66.55273901421675,74.7161284876857
