,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,bbc,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,intercept,jacobinmag,motherjones,nationalreview,nbc,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,vice,vox,wapo,wsj
aljazeera,,5.0990195135927845,4.242640687119285,5.0990195135927845,1.4142135623730951,22.360679774997898,10.816653826391969,35.24202037341219,3.0,5.656854249492381,9.055385138137417,1.4142135623730951,1.4142135623730951,5.656854249492381,5.656854249492381,3.1622776601683795,16.61324772583615,6.782329983125268,10.04987562112089,5.0990195135927845,5.0990195135927845,27.018512172212592,17.916472867168917,10.04987562112089,10.04987562112089,5.0990195135927845,5.656854249492381,11.224972160321824,29.017236257093817,11.40175425099138,5.0990195135927845,1.4142135623730951,5.0990195135927845,0.0,6.0,5.656854249492381,18.867962264113206,10.04987562112089,1.4142135623730951,7.681145747868608,3.3166247903554,5.0990195135927845,9.539392014169456,26.324893162176366,0.0,5.0990195135927845
alternet,5.0990195135927845,,22.360679774997898,10.816653826391969,35.24202037341219,3.0,5.656854249492381,9.055385138137417,1.4142135623730951,1.4142135623730951,5.656854249492381,5.656854249492381,3.1622776601683795,16.61324772583615,6.782329983125268,10.04987562112089,5.0990195135927845,5.0990195135927845,27.018512172212592,17.916472867168917,10.04987562112089,10.04987562112089,5.0990195135927845,5.656854249492381,11.224972160321824,29.017236257093817,11.40175425099138,5.0990195135927845,1.4142135623730951,5.0990195135927845,0.0,6.0,5.656854249492381,18.867962264113206,10.04987562112089,1.4142135623730951,7.681145747868608,3.3166247903554,5.0990195135927845,9.539392014169456,26.324893162176366,0.0,5.0990195135927845,5.0990195135927845,1.4142135623730951,2.0
americanconservative,4.242640687119285,22.360679774997898,,3.0,5.656854249492381,9.055385138137417,1.4142135623730951,1.4142135623730951,5.656854249492381,5.656854249492381,3.1622776601683795,16.61324772583615,6.782329983125268,10.04987562112089,5.0990195135927845,5.0990195135927845,27.018512172212592,17.916472867168917,10.04987562112089,10.04987562112089,5.0990195135927845,5.656854249492381,11.224972160321824,29.017236257093817,11.40175425099138,5.0990195135927845,1.4142135623730951,5.0990195135927845,0.0,6.0,5.656854249492381,18.867962264113206,10.04987562112089,1.4142135623730951,7.681145747868608,3.3166247903554,5.0990195135927845,9.539392014169456,26.324893162176366,0.0,5.0990195135927845,5.0990195135927845,1.4142135623730951,2.0,28.30194339616981,21.77154105707724
americanspectator,5.0990195135927845,10.816653826391969,3.0,,9.055385138137417,1.4142135623730951,1.4142135623730951,5.656854249492381,5.656854249492381,3.1622776601683795,16.61324772583615,6.782329983125268,10.04987562112089,5.0990195135927845,5.0990195135927845,27.018512172212592,17.916472867168917,10.04987562112089,10.04987562112089,5.0990195135927845,5.656854249492381,11.224972160321824,29.017236257093817,11.40175425099138,5.0990195135927845,1.4142135623730951,5.0990195135927845,0.0,6.0,5.656854249492381,18.867962264113206,10.04987562112089,1.4142135623730951,7.681145747868608,3.3166247903554,5.0990195135927845,9.539392014169456,26.324893162176366,0.0,5.0990195135927845,5.0990195135927845,1.4142135623730951,2.0,28.30194339616981,21.77154105707724,19.4164878389476
ap,1.4142135623730951,35.24202037341219,5.656854249492381,9.055385138137417,,1.4142135623730951,1.4142135623730951,5.656854249492381,5.656854249492381,3.1622776601683795,16.61324772583615,6.782329983125268,10.04987562112089,5.0990195135927845,5.0990195135927845,27.018512172212592,17.916472867168917,10.04987562112089,10.04987562112089,5.0990195135927845,5.656854249492381,11.224972160321824,29.017236257093817,11.40175425099138,5.0990195135927845,1.4142135623730951,5.0990195135927845,0.0,6.0,5.656854249492381,18.867962264113206,10.04987562112089,1.4142135623730951,7.681145747868608,3.3166247903554,5.0990195135927845,9.539392014169456,26.324893162176366,0.0,5.0990195135927845,5.0990195135927845,1.4142135623730951,2.0,28.30194339616981,21.77154105707724,19.4164878389476
atlantic,22.360679774997898,3.0,9.055385138137417,1.4142135623730951,1.4142135623730951,,1.4142135623730951,1.4142135623730951,5.656854249492381,5.656854249492381,3.1622776601683795,16.61324772583615,6.782329983125268,10.04987562112089,5.0990195135927845,5.0990195135927845,27.018512172212592,17.916472867168917,10.04987562112089,10.04987562112089,5.0990195135927845,5.656854249492381,11.224972160321824,29.017236257093817,11.40175425099138,5.0990195135927845,1.4142135623730951,5.0990195135927845,0.0,6.0,5.656854249492381,18.867962264113206,10.04987562112089,1.4142135623730951,7.681145747868608,3.3166247903554,5.0990195135927845,9.539392014169456,26.324893162176366,0.0,5.0990195135927845,5.0990195135927845,1.4142135623730951,2.0,28.30194339616981,21.77154105707724
bbc,10.816653826391969,5.656854249492381,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,,9.055385138137417,1.4142135623730951,1.4142135623730951,5.656854249492381,5.656854249492381,3.1622776601683795,16.61324772583615,6.782329983125268,10.04987562112089,5.0990195135927845,5.0990195135927845,27.018512172212592,17.916472867168917,10.04987562112089,10.04987562112089,5.0990195135927845,5.656854249492381,11.224972160321824,29.017236257093817,11.40175425099138,5.0990195135927845,1.4142135623730951,5.0990195135927845,0.0,6.0,5.656854249492381,18.867962264113206,10.04987562112089,1.4142135623730951,7.681145747868608,3.3166247903554,5.0990195135927845,9.539392014169456,26.324893162176366,0.0,5.0990195135927845,5.0990195135927845,1.4142135623730951,2.0
breitbart,35.24202037341219,9.055385138137417,1.4142135623730951,5.656854249492381,5.656854249492381,1.4142135623730951,9.055385138137417,,3.0,5.656854249492381,9.055385138137417,1.4142135623730951,1.4142135623730951,5.656854249492381,5.656854249492381,3.1622776601683795,16.61324772583615,6.782329983125268,10.04987562112089,5.0990195135927845,5.0990195135927845,27.018512172212592,17.916472867168917,10.04987562112089,10.04987562112089,5.0990195135927845,5.656854249492381,11.224972160321824,29.017236257093817,11.40175425099138,5.0990195135927845,1.4142135623730951,5.0990195135927845,0.0,6.0,5.656854249492381,18.867962264113206,10.04987562112089,1.4142135623730951,7.681145747868608,3.3166247903554,5.0990195135927845,9.539392014169456,26.324893162176366,0.0,5.0990195135927845
buzzfeed,3.0,1.4142135623730951,5.656854249492381,5.656854249492381,5.656854249492381,5.656854249492381,1.4142135623730951,3.0,,22.360679774997898,10.816653826391969,35.24202037341219,3.0,5.656854249492381,9.055385138137417,1.4142135623730951,1.4142135623730951,5.656854249492381,5.656854249492381,3.1622776601683795,16.61324772583615,6.782329983125268,10.04987562112089,5.0990195135927845,5.0990195135927845,27.018512172212592,17.916472867168917,10.04987562112089,10.04987562112089,5.0990195135927845,5.656854249492381,11.224972160321824,29.017236257093817,11.40175425099138,5.0990195135927845,1.4142135623730951,5.0990195135927845,0.0,6.0,5.656854249492381,18.867962264113206,10.04987562112089,1.4142135623730951,7.681145747868608,3.3166247903554,5.0990195135927845
cbs,5.656854249492381,1.4142135623730951,5.656854249492381,3.1622776601683795,3.1622776601683795,5.656854249492381,1.4142135623730951,5.656854249492381,22.360679774997898,,5.0990195135927845,4.242640687119285,5.0990195135927845,1.4142135623730951,22.360679774997898,10.816653826391969,35.24202037341219,3.0,5.656854249492381,9.055385138137417,1.4142135623730951,1.4142135623730951,5.656854249492381,5.656854249492381,3.1622776601683795,16.61324772583615,6.782329983125268,10.04987562112089,5.0990195135927845,5.0990195135927845,27.018512172212592,17.916472867168917,10.04987562112089,10.04987562112089,5.0990195135927845,5.656854249492381,11.224972160321824,29.017236257093817,11.40175425099138,5.0990195135927845,1.4142135623730951,5.0990195135927845,0.0,6.0,5.656854249492381,18.867962264113206
cnn,9.055385138137417,5.656854249492381,3.1622776601683795,16.61324772583615,16.61324772583615,3.1622776601683795,5.656854249492381,9.055385138137417,10.816653826391969,5.0990195135927845,,5.0990195135927845,1.4142135623730951,2.0,0.0,4.242640687119285,5.0990195135927845,4.242640687119285,5.0990195135927845,1.4142135623730951,22.360679774997898,10.816653826391969,35.24202037341219,3.0,5.656854249492381,9.055385138137417,1.4142135623730951,1.4142135623730951,5.656854249492381,5.656854249492381,3.1622776601683795,16.61324772583615,6.782329983125268,10.04987562112089,5.0990195135927845,5.0990195135927845,27.018512172212592,17.916472867168917,10.04987562112089,10.04987562112089,5.0990195135927845,5.656854249492381,11.224972160321824,29.017236257093817,11.40175425099138,5.0990195135927845
commondreams,1.4142135623730951,5.656854249492381,16.61324772583615,6.782329983125268,6.782329983125268,16.61324772583615,5.656854249492381,1.4142135623730951,35.24202037341219,4.242640687119285,5.0990195135927845,,26.324893162176366,28.337254630609507,28.337254630609507,27.367864366808018,28.30194339616981,5.0990195135927845,5.0990195135927845,1.4142135623730951,2.0,0.0,4.242640687119285,5.0990195135927845,4.242640687119285,5.0990195135927845,1.4142135623730951,22.360679774997898,10.816653826391969,35.24202037341219,3.0,5.656854249492381,9.055385138137417,1.4142135623730951,1.4142135623730951,5.656854249492381,5.656854249492381,3.1622776601683795,16.61324772583615,6.782329983125268,10.04987562112089,5.0990195135927845,5.0990195135927845,27.018512172212592,17.916472867168917,10.04987562112089
