,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,fox,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,newyorker,npr,nypost,nytimes,opednews,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,spectator,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
aljazeera,,6.4031242374328485,9.899494936611665,9.0,7.280109889280518,0.0,9.433981132056603,11.445523142259598,9.0,0.0,5.0,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285,9.899494936611665,5.656854249492381,12.0,9.0,0.0,9.0,12.0,12.0,12.0,0.0,10.0,12.0,8.48528137423857,8.602325267042627,13.892443989449804,4.0,9.0,12.0,0.0,0.0,12.0,10.770329614269007,7.3484692283495345,13.114877048604,9.899494936611665,9.899494936611665,4.0,6.0,9.0,10.04987562112089,0.0,12.0,5.656854249492381,0.0,11.74734012447073,12.0,0.0,5.0,7.0710678118654755
alternet,6.4031242374328485,,0.0,9.433981132056603,11.445523142259598,9.0,0.0,5.0,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285,9.899494936611665,5.656854249492381,12.0,9.0,0.0,9.0,12.0,12.0,12.0,0.0,10.0,12.0,8.48528137423857,8.602325267042627,13.892443989449804,4.0,9.0,12.0,0.0,0.0,12.0,10.770329614269007,7.3484692283495345,13.114877048604,9.899494936611665,9.899494936611665,4.0,6.0,9.0,10.04987562112089,0.0,12.0,5.656854249492381,0.0,11.74734012447073,12.0,0.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0
americanconservative,9.899494936611665,0.0,,9.0,0.0,5.0,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285,9.899494936611665,5.656854249492381,12.0,9.0,0.0,9.0,12.0,12.0,12.0,0.0,10.0,12.0,8.48528137423857,8.602325267042627,13.892443989449804,4.0,9.0,12.0,0.0,0.0,12.0,10.770329614269007,7.3484692283495345,13.114877048604,9.899494936611665,9.899494936611665,4.0,6.0,9.0,10.04987562112089,0.0,12.0,5.656854249492381,0.0,11.74734012447073,12.0,0.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,9.433981132056603,11.445523142259598
americanspectator,9.0,9.433981132056603,9.0,,5.0,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285,9.899494936611665,5.656854249492381,12.0,9.0,0.0,9.0,12.0,12.0,12.0,0.0,10.0,12.0,8.48528137423857,8.602325267042627,13.892443989449804,4.0,9.0,12.0,0.0,0.0,12.0,10.770329614269007,7.3484692283495345,13.114877048604,9.899494936611665,9.899494936611665,4.0,6.0,9.0,10.04987562112089,0.0,12.0,5.656854249492381,0.0,11.74734012447073,12.0,0.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,9.433981132056603,11.445523142259598,9.0
ap,7.280109889280518,11.445523142259598,0.0,5.0,,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285,9.899494936611665,5.656854249492381,12.0,9.0,0.0,9.0,12.0,12.0,12.0,0.0,10.0,12.0,8.48528137423857,8.602325267042627,13.892443989449804,4.0,9.0,12.0,0.0,0.0,12.0,10.770329614269007,7.3484692283495345,13.114877048604,9.899494936611665,9.899494936611665,4.0,6.0,9.0,10.04987562112089,0.0,12.0,5.656854249492381,0.0,11.74734012447073,12.0,0.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,9.433981132056603,11.445523142259598,9.0
atlantic,0.0,9.0,5.0,13.892443989449804,13.892443989449804,,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285,9.899494936611665,5.656854249492381,12.0,9.0,0.0,9.0,12.0,12.0,12.0,0.0,10.0,12.0,8.48528137423857,8.602325267042627,13.892443989449804,4.0,9.0,12.0,0.0,0.0,12.0,10.770329614269007,7.3484692283495345,13.114877048604,9.899494936611665,9.899494936611665,4.0,6.0,9.0,10.04987562112089,0.0,12.0,5.656854249492381,0.0,11.74734012447073,12.0,0.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,9.433981132056603,11.445523142259598
axios,9.433981132056603,0.0,13.892443989449804,8.602325267042627,8.602325267042627,13.892443989449804,,5.0,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285,9.899494936611665,5.656854249492381,12.0,9.0,0.0,9.0,12.0,12.0,12.0,0.0,10.0,12.0,8.48528137423857,8.602325267042627,13.892443989449804,4.0,9.0,12.0,0.0,0.0,12.0,10.770329614269007,7.3484692283495345,13.114877048604,9.899494936611665,9.899494936611665,4.0,6.0,9.0,10.04987562112089,0.0,12.0,5.656854249492381,0.0,11.74734012447073,12.0,0.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0
bbc,11.445523142259598,5.0,8.602325267042627,9.899494936611665,9.899494936611665,8.602325267042627,5.0,,9.0,0.0,5.0,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285,9.899494936611665,5.656854249492381,12.0,9.0,0.0,9.0,12.0,12.0,12.0,0.0,10.0,12.0,8.48528137423857,8.602325267042627,13.892443989449804,4.0,9.0,12.0,0.0,0.0,12.0,10.770329614269007,7.3484692283495345,13.114877048604,9.899494936611665,9.899494936611665,4.0,6.0,9.0,10.04987562112089,0.0,12.0,5.656854249492381,0.0,11.74734012447073,12.0,0.0,5.0,7.0710678118654755
breitbart,9.0,13.892443989449804,9.899494936611665,0.0,0.0,9.899494936611665,13.892443989449804,9.0,,0.0,9.433981132056603,11.445523142259598,9.0,0.0,5.0,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285,9.899494936611665,5.656854249492381,12.0,9.0,0.0,9.0,12.0,12.0,12.0,0.0,10.0,12.0,8.48528137423857,8.602325267042627,13.892443989449804,4.0,9.0,12.0,0.0,0.0,12.0,10.770329614269007,7.3484692283495345,13.114877048604,9.899494936611665,9.899494936611665,4.0,6.0,9.0,10.04987562112089,0.0,12.0,5.656854249492381,0.0,11.74734012447073
businessinsider,0.0,8.602325267042627,0.0,12.0,12.0,0.0,8.602325267042627,0.0,0.0,,6.4031242374328485,9.899494936611665,9.0,7.280109889280518,0.0,9.433981132056603,11.445523142259598,9.0,0.0,5.0,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285,9.899494936611665,5.656854249492381,12.0,9.0,0.0,9.0,12.0,12.0,12.0,0.0,10.0,12.0,8.48528137423857,8.602325267042627,13.892443989449804,4.0,9.0,12.0,0.0,0.0,12.0,10.770329614269007,7.3484692283495345,13.114877048604,9.899494936611665,9.899494936611665,4.0,6.0,9.0,10.04987562112089
buzzfeed,5.0,9.899494936611665,12.0,0.0,0.0,12.0,9.899494936611665,5.0,9.433981132056603,6.4031242374328485,,5.0,13.892443989449804,10.295630140987,7.0710678118654755,12.165525060596439,6.4031242374328485,9.899494936611665,9.0,7.280109889280518,0.0,9.433981132056603,11.445523142259598,9.0,0.0,5.0,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285,9.899494936611665,5.656854249492381,12.0,9.0,0.0,9.0,12.0,12.0,12.0,0.0,10.0,12.0,8.48528137423857,8.602325267042627,13.892443989449804,4.0,9.0,12.0,0.0,0.0,12.0,10.770329614269007,7.3484692283495345,13.114877048604
canary,13.892443989449804,0.0,0.0,12.165525060596439,12.165525060596439,0.0,0.0,13.892443989449804,11.445523142259598,9.899494936611665,5.0,,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,5.0,5.0,13.892443989449804,10.295630140987,7.0710678118654755,12.165525060596439,6.4031242374328485,9.899494936611665,9.0,7.280109889280518,0.0,9.433981132056603,11.445523142259598,9.0,0.0,5.0,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285,9.899494936611665,5.656854249492381,12.0,9.0,0.0,9.0,12.0,12.0,12.0,0.0,10.0,12.0,8.48528137423857,8.602325267042627,13.892443989449804,4.0,9.0
cbs,8.602325267042627,12.0,12.165525060596439,5.0,5.0,12.165525060596439,12.0,8.602325267042627,9.0,9.0,13.892443989449804,5.0,,14.177446878757825,12.0,13.0,8.602325267042627,12.0,8.602325267042627,3.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,5.0,5.0,13.892443989449804,10.295630140987,7.0710678118654755,12.165525060596439,6.4031242374328485,9.899494936611665,9.0,7.280109889280518,0.0,9.433981132056603,11.445523142259598,9.0,0.0,5.0,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285,9.899494936611665,5.656854249492381,12.0,9.0,0.0,9.0,12.0,12.0,12.0
cnbc,9.899494936611665,0.0,5.0,9.0,9.0,5.0,0.0,9.899494936611665,0.0,7.280109889280518,10.295630140987,7.0710678118654755,14.177446878757825,,9.899494936611665,9.0,16.06237840420901,11.74734012447073,14.247806848775006,14.7648230602334,11.74734012447073,12.884098726725126,14.177446878757825,12.0,13.0,8.602325267042627,12.0,8.602325267042627,3.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,5.0,5.0,13.892443989449804,10.295630140987,7.0710678118654755,12.165525060596439,6.4031242374328485,9.899494936611665,9.0,7.280109889280518,0.0,9.433981132056603,11.445523142259598,9.0,0.0,5.0,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0,0.0,12.165525060596439,5.0,9.0,0.0,9.273618495495704,3.0,0.0,12.0,4.242640687119285
cnn,0.0,12.165525060596439,9.0,0.0,0.0,9.0,12.165525060596439,0.0,5.0,0.0,7.0710678118654755,0.0,12.0,9.899494936611665,,5.656854249492381,4.242640687119285,6.4031242374328485,11.74734012447073,12.0,0.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,16.06237840420901,11.74734012447073,14.247806848775006,14.7648230602334,11.74734012447073,12.884098726725126,14.177446878757825,12.0,13.0,8.602325267042627,12.0,8.602325267042627,3.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,5.0,5.0,13.892443989449804,10.295630140987,7.0710678118654755,12.165525060596439,6.4031242374328485,9.899494936611665,9.0,7.280109889280518,0.0,9.433981132056603,11.445523142259598,9.0,0.0,5.0,13.892443989449804,8.602325267042627,9.899494936611665,0.0,12.0
