,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,axios,bbc,bloomberg,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,eff,factcheck,federalist,fivethirtyeight,foreignaffairs,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newsbud,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,peoplesdaily,pjmedia,psychologytoday,rawstory,redstate,reuters,reveal,rt,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,voltairenetwork,vox,wapo,wsj
aljazeera,,19.05255888325765,13.490737563232042,15.748015748023622,15.556349186104045,14.89966442575134,1.4142135623730951,16.0312195418814,14.89966442575134,3.0,14.142135623730951,15.556349186104045,1.0,0.0,14.89966442575134,14.142135623730951,15.652475842498529,19.1049731745428,14.866068747318506,14.89966442575134,1.4142135623730951,14.89966442575134,0.0,10.198039027185569,0.0,14.89966442575134,14.89966442575134,14.89966442575134,1.7320508075688772,12.529964086141668,14.89966442575134,17.349351572897472,5.0990195135927845,0.0,18.49324200890693,1.4142135623730951,16.34013463836819,0.0,15.556349186104045,14.89966442575134,14.89966442575134,5.0990195135927845,14.89966442575134,1.7320508075688772,14.89966442575134,2.0,14.89966442575134,16.0312195418814,15.556349186104045,14.89966442575134,0.0,13.638181696985855,15.652475842498529,14.89966442575134,14.89966442575134,14.89966442575134,18.49324200890693,14.866068747318506,12.806248474865697,14.89966442575134,0.0,12.12435565298214,15.748015748023622,14.89966442575134,12.083045973594572,1.7320508075688772,15.588457268119896,11.090536506409418,14.866068747318506,12.041594578792296,6.0,1.4142135623730951,10.488088481701515,15.556349186104045,0.0,15.652475842498529,14.142135623730951,12.529964086141668,15.556349186104045,14.89966442575134,15.652475842498529,4.0,1.0
alternet,19.05255888325765,,14.89966442575134,1.4142135623730951,16.0312195418814,14.89966442575134,3.0,14.142135623730951,15.556349186104045,1.0,0.0,14.89966442575134,14.142135623730951,15.652475842498529,19.1049731745428,14.866068747318506,14.89966442575134,1.4142135623730951,14.89966442575134,0.0,10.198039027185569,0.0,14.89966442575134,14.89966442575134,14.89966442575134,1.7320508075688772,12.529964086141668,14.89966442575134,17.349351572897472,5.0990195135927845,0.0,18.49324200890693,1.4142135623730951,16.34013463836819,0.0,15.556349186104045,14.89966442575134,14.89966442575134,5.0990195135927845,14.89966442575134,1.7320508075688772,14.89966442575134,2.0,14.89966442575134,16.0312195418814,15.556349186104045,14.89966442575134,0.0,13.638181696985855,15.652475842498529,14.89966442575134,14.89966442575134,14.89966442575134,18.49324200890693,14.866068747318506,12.806248474865697,14.89966442575134,0.0,12.12435565298214,15.748015748023622,14.89966442575134,12.083045973594572,1.7320508075688772,15.588457268119896,11.090536506409418,14.866068747318506,12.041594578792296,6.0,1.4142135623730951,10.488088481701515,15.556349186104045,0.0,15.652475842498529,14.142135623730951,12.529964086141668,15.556349186104045,14.89966442575134,15.652475842498529,4.0,1.0,8.12403840463596,11.045361017187261,18.49324200890693
americanconservative,13.490737563232042,14.89966442575134,,14.89966442575134,3.0,14.142135623730951,15.556349186104045,1.0,0.0,14.89966442575134,14.142135623730951,15.652475842498529,19.1049731745428,14.866068747318506,14.89966442575134,1.4142135623730951,14.89966442575134,0.0,10.198039027185569,0.0,14.89966442575134,14.89966442575134,14.89966442575134,1.7320508075688772,12.529964086141668,14.89966442575134,17.349351572897472,5.0990195135927845,0.0,18.49324200890693,1.4142135623730951,16.34013463836819,0.0,15.556349186104045,14.89966442575134,14.89966442575134,5.0990195135927845,14.89966442575134,1.7320508075688772,14.89966442575134,2.0,14.89966442575134,16.0312195418814,15.556349186104045,14.89966442575134,0.0,13.638181696985855,15.652475842498529,14.89966442575134,14.89966442575134,14.89966442575134,18.49324200890693,14.866068747318506,12.806248474865697,14.89966442575134,0.0,12.12435565298214,15.748015748023622,14.89966442575134,12.083045973594572,1.7320508075688772,15.588457268119896,11.090536506409418,14.866068747318506,12.041594578792296,6.0,1.4142135623730951,10.488088481701515,15.556349186104045,0.0,15.652475842498529,14.142135623730951,12.529964086141668,15.556349186104045,14.89966442575134,15.652475842498529,4.0,1.0,8.12403840463596,11.045361017187261,18.49324200890693,14.142135623730951,12.12435565298214
americanspectator,15.748015748023622,1.4142135623730951,14.89966442575134,,14.142135623730951,15.556349186104045,1.0,0.0,14.89966442575134,14.142135623730951,15.652475842498529,19.1049731745428,14.866068747318506,14.89966442575134,1.4142135623730951,14.89966442575134,0.0,10.198039027185569,0.0,14.89966442575134,14.89966442575134,14.89966442575134,1.7320508075688772,12.529964086141668,14.89966442575134,17.349351572897472,5.0990195135927845,0.0,18.49324200890693,1.4142135623730951,16.34013463836819,0.0,15.556349186104045,14.89966442575134,14.89966442575134,5.0990195135927845,14.89966442575134,1.7320508075688772,14.89966442575134,2.0,14.89966442575134,16.0312195418814,15.556349186104045,14.89966442575134,0.0,13.638181696985855,15.652475842498529,14.89966442575134,14.89966442575134,14.89966442575134,18.49324200890693,14.866068747318506,12.806248474865697,14.89966442575134,0.0,12.12435565298214,15.748015748023622,14.89966442575134,12.083045973594572,1.7320508075688772,15.588457268119896,11.090536506409418,14.866068747318506,12.041594578792296,6.0,1.4142135623730951,10.488088481701515,15.556349186104045,0.0,15.652475842498529,14.142135623730951,12.529964086141668,15.556349186104045,14.89966442575134,15.652475842498529,4.0,1.0,8.12403840463596,11.045361017187261,18.49324200890693,14.142135623730951,12.12435565298214,14.89966442575134
americanthinker,15.556349186104045,16.0312195418814,3.0,14.142135623730951,,15.556349186104045,1.0,0.0,14.89966442575134,14.142135623730951,15.652475842498529,19.1049731745428,14.866068747318506,14.89966442575134,1.4142135623730951,14.89966442575134,0.0,10.198039027185569,0.0,14.89966442575134,14.89966442575134,14.89966442575134,1.7320508075688772,12.529964086141668,14.89966442575134,17.349351572897472,5.0990195135927845,0.0,18.49324200890693,1.4142135623730951,16.34013463836819,0.0,15.556349186104045,14.89966442575134,14.89966442575134,5.0990195135927845,14.89966442575134,1.7320508075688772,14.89966442575134,2.0,14.89966442575134,16.0312195418814,15.556349186104045,14.89966442575134,0.0,13.638181696985855,15.652475842498529,14.89966442575134,14.89966442575134,14.89966442575134,18.49324200890693,14.866068747318506,12.806248474865697,14.89966442575134,0.0,12.12435565298214,15.748015748023622,14.89966442575134,12.083045973594572,1.7320508075688772,15.588457268119896,11.090536506409418,14.866068747318506,12.041594578792296,6.0,1.4142135623730951,10.488088481701515,15.556349186104045,0.0,15.652475842498529,14.142135623730951,12.529964086141668,15.556349186104045,14.89966442575134,15.652475842498529,4.0,1.0,8.12403840463596,11.045361017187261,18.49324200890693,14.142135623730951,12.12435565298214,14.89966442575134
antiwar,14.89966442575134,14.89966442575134,14.142135623730951,15.556349186104045,15.556349186104045,,15.556349186104045,1.0,0.0,14.89966442575134,14.142135623730951,15.652475842498529,19.1049731745428,14.866068747318506,14.89966442575134,1.4142135623730951,14.89966442575134,0.0,10.198039027185569,0.0,14.89966442575134,14.89966442575134,14.89966442575134,1.7320508075688772,12.529964086141668,14.89966442575134,17.349351572897472,5.0990195135927845,0.0,18.49324200890693,1.4142135623730951,16.34013463836819,0.0,15.556349186104045,14.89966442575134,14.89966442575134,5.0990195135927845,14.89966442575134,1.7320508075688772,14.89966442575134,2.0,14.89966442575134,16.0312195418814,15.556349186104045,14.89966442575134,0.0,13.638181696985855,15.652475842498529,14.89966442575134,14.89966442575134,14.89966442575134,18.49324200890693,14.866068747318506,12.806248474865697,14.89966442575134,0.0,12.12435565298214,15.748015748023622,14.89966442575134,12.083045973594572,1.7320508075688772,15.588457268119896,11.090536506409418,14.866068747318506,12.041594578792296,6.0,1.4142135623730951,10.488088481701515,15.556349186104045,0.0,15.652475842498529,14.142135623730951,12.529964086141668,15.556349186104045,14.89966442575134,15.652475842498529,4.0,1.0,8.12403840463596,11.045361017187261,18.49324200890693,14.142135623730951,12.12435565298214
ap,1.4142135623730951,3.0,15.556349186104045,1.0,1.0,15.556349186104045,,14.142135623730951,15.556349186104045,1.0,0.0,14.89966442575134,14.142135623730951,15.652475842498529,19.1049731745428,14.866068747318506,14.89966442575134,1.4142135623730951,14.89966442575134,0.0,10.198039027185569,0.0,14.89966442575134,14.89966442575134,14.89966442575134,1.7320508075688772,12.529964086141668,14.89966442575134,17.349351572897472,5.0990195135927845,0.0,18.49324200890693,1.4142135623730951,16.34013463836819,0.0,15.556349186104045,14.89966442575134,14.89966442575134,5.0990195135927845,14.89966442575134,1.7320508075688772,14.89966442575134,2.0,14.89966442575134,16.0312195418814,15.556349186104045,14.89966442575134,0.0,13.638181696985855,15.652475842498529,14.89966442575134,14.89966442575134,14.89966442575134,18.49324200890693,14.866068747318506,12.806248474865697,14.89966442575134,0.0,12.12435565298214,15.748015748023622,14.89966442575134,12.083045973594572,1.7320508075688772,15.588457268119896,11.090536506409418,14.866068747318506,12.041594578792296,6.0,1.4142135623730951,10.488088481701515,15.556349186104045,0.0,15.652475842498529,14.142135623730951,12.529964086141668,15.556349186104045,14.89966442575134,15.652475842498529,4.0,1.0,8.12403840463596,11.045361017187261,18.49324200890693
atlantic,16.0312195418814,14.142135623730951,1.0,0.0,0.0,1.0,14.142135623730951,,14.89966442575134,3.0,14.142135623730951,15.556349186104045,1.0,0.0,14.89966442575134,14.142135623730951,15.652475842498529,19.1049731745428,14.866068747318506,14.89966442575134,1.4142135623730951,14.89966442575134,0.0,10.198039027185569,0.0,14.89966442575134,14.89966442575134,14.89966442575134,1.7320508075688772,12.529964086141668,14.89966442575134,17.349351572897472,5.0990195135927845,0.0,18.49324200890693,1.4142135623730951,16.34013463836819,0.0,15.556349186104045,14.89966442575134,14.89966442575134,5.0990195135927845,14.89966442575134,1.7320508075688772,14.89966442575134,2.0,14.89966442575134,16.0312195418814,15.556349186104045,14.89966442575134,0.0,13.638181696985855,15.652475842498529,14.89966442575134,14.89966442575134,14.89966442575134,18.49324200890693,14.866068747318506,12.806248474865697,14.89966442575134,0.0,12.12435565298214,15.748015748023622,14.89966442575134,12.083045973594572,1.7320508075688772,15.588457268119896,11.090536506409418,14.866068747318506,12.041594578792296,6.0,1.4142135623730951,10.488088481701515,15.556349186104045,0.0,15.652475842498529,14.142135623730951,12.529964086141668,15.556349186104045,14.89966442575134,15.652475842498529,4.0,1.0
axios,14.89966442575134,15.556349186104045,0.0,14.89966442575134,14.89966442575134,0.0,15.556349186104045,14.89966442575134,,14.89966442575134,1.4142135623730951,16.0312195418814,14.89966442575134,3.0,14.142135623730951,15.556349186104045,1.0,0.0,14.89966442575134,14.142135623730951,15.652475842498529,19.1049731745428,14.866068747318506,14.89966442575134,1.4142135623730951,14.89966442575134,0.0,10.198039027185569,0.0,14.89966442575134,14.89966442575134,14.89966442575134,1.7320508075688772,12.529964086141668,14.89966442575134,17.349351572897472,5.0990195135927845,0.0,18.49324200890693,1.4142135623730951,16.34013463836819,0.0,15.556349186104045,14.89966442575134,14.89966442575134,5.0990195135927845,14.89966442575134,1.7320508075688772,14.89966442575134,2.0,14.89966442575134,16.0312195418814,15.556349186104045,14.89966442575134,0.0,13.638181696985855,15.652475842498529,14.89966442575134,14.89966442575134,14.89966442575134,18.49324200890693,14.866068747318506,12.806248474865697,14.89966442575134,0.0,12.12435565298214,15.748015748023622,14.89966442575134,12.083045973594572,1.7320508075688772,15.588457268119896,11.090536506409418,14.866068747318506,12.041594578792296,6.0,1.4142135623730951,10.488088481701515,15.556349186104045,0.0,15.652475842498529,14.142135623730951,12.529964086141668,15.556349186104045
bbc,3.0,1.0,14.89966442575134,14.142135623730951,14.142135623730951,14.89966442575134,1.0,3.0,14.89966442575134,,19.05255888325765,13.490737563232042,15.748015748023622,15.556349186104045,14.89966442575134,1.4142135623730951,16.0312195418814,14.89966442575134,3.0,14.142135623730951,15.556349186104045,1.0,0.0,14.89966442575134,14.142135623730951,15.652475842498529,19.1049731745428,14.866068747318506,14.89966442575134,1.4142135623730951,14.89966442575134,0.0,10.198039027185569,0.0,14.89966442575134,14.89966442575134,14.89966442575134,1.7320508075688772,12.529964086141668,14.89966442575134,17.349351572897472,5.0990195135927845,0.0,18.49324200890693,1.4142135623730951,16.34013463836819,0.0,15.556349186104045,14.89966442575134,14.89966442575134,5.0990195135927845,14.89966442575134,1.7320508075688772,14.89966442575134,2.0,14.89966442575134,16.0312195418814,15.556349186104045,14.89966442575134,0.0,13.638181696985855,15.652475842498529,14.89966442575134,14.89966442575134,14.89966442575134,18.49324200890693,14.866068747318506,12.806248474865697,14.89966442575134,0.0,12.12435565298214,15.748015748023622,14.89966442575134,12.083045973594572,1.7320508075688772,15.588457268119896,11.090536506409418,14.866068747318506,12.041594578792296,6.0,1.4142135623730951,10.488088481701515,15.556349186104045
