,aljazeera,alternet,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailymail,dailywire,economist,federalist,fox,guardian,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,reuters,rt,shadowproof,slate,truthdig,usatoday,veteranstoday,vox,wapo,wsj
aljazeera,,16.15549442140351,13.892443989449804,18.439088914585774,7.0,13.92838827718412,16.15549442140351,15.811388300841896,12.0,15.264337522473747,13.152946437965905,16.401219466856727,14.035668847618199,16.278820596099706,15.231546211727817,15.231546211727817,16.15549442140351,16.278820596099706,14.45683229480096,17.4928556845359,17.029386365926403,19.6468827043885,9.055385138137417,16.401219466856727,12.165525060596439,12.165525060596439,18.439088914585774,17.0,17.4928556845359,13.416407864998739,14.45683229480096,5.385164807134504,7.0710678118654755,14.7648230602334,2.8284271247461903,14.0,22.58317958127243,7.211102550927978,19.748417658131498,13.564659966250536,13.92838827718412,4.242640687119285,13.638181696985855,17.72004514666935,4.0
alternet,16.15549442140351,,13.92838827718412,16.15549442140351,15.811388300841896,12.0,15.264337522473747,13.152946437965905,16.401219466856727,14.035668847618199,16.278820596099706,15.231546211727817,15.231546211727817,16.15549442140351,16.278820596099706,14.45683229480096,17.4928556845359,17.029386365926403,19.6468827043885,9.055385138137417,16.401219466856727,12.165525060596439,12.165525060596439,18.439088914585774,17.0,17.4928556845359,13.416407864998739,14.45683229480096,5.385164807134504,7.0710678118654755,14.7648230602334,2.8284271247461903,14.0,22.58317958127243,7.211102550927978,19.748417658131498,13.564659966250536,13.92838827718412,4.242640687119285,13.638181696985855,17.72004514666935,4.0,20.322401432901575,13.564659966250536,12.206555615733702
ap,13.892443989449804,13.92838827718412,,12.0,15.264337522473747,13.152946437965905,16.401219466856727,14.035668847618199,16.278820596099706,15.231546211727817,15.231546211727817,16.15549442140351,16.278820596099706,14.45683229480096,17.4928556845359,17.029386365926403,19.6468827043885,9.055385138137417,16.401219466856727,12.165525060596439,12.165525060596439,18.439088914585774,17.0,17.4928556845359,13.416407864998739,14.45683229480096,5.385164807134504,7.0710678118654755,14.7648230602334,2.8284271247461903,14.0,22.58317958127243,7.211102550927978,19.748417658131498,13.564659966250536,13.92838827718412,4.242640687119285,13.638181696985855,17.72004514666935,4.0,20.322401432901575,13.564659966250536,12.206555615733702,21.18962010041709,4.0
atlantic,18.439088914585774,16.15549442140351,12.0,,13.152946437965905,16.401219466856727,14.035668847618199,16.278820596099706,15.231546211727817,15.231546211727817,16.15549442140351,16.278820596099706,14.45683229480096,17.4928556845359,17.029386365926403,19.6468827043885,9.055385138137417,16.401219466856727,12.165525060596439,12.165525060596439,18.439088914585774,17.0,17.4928556845359,13.416407864998739,14.45683229480096,5.385164807134504,7.0710678118654755,14.7648230602334,2.8284271247461903,14.0,22.58317958127243,7.211102550927978,19.748417658131498,13.564659966250536,13.92838827718412,4.242640687119285,13.638181696985855,17.72004514666935,4.0,20.322401432901575,13.564659966250536,12.206555615733702,21.18962010041709,4.0,21.400934559032695
axios,7.0,15.811388300841896,15.264337522473747,13.152946437965905,,16.401219466856727,14.035668847618199,16.278820596099706,15.231546211727817,15.231546211727817,16.15549442140351,16.278820596099706,14.45683229480096,17.4928556845359,17.029386365926403,19.6468827043885,9.055385138137417,16.401219466856727,12.165525060596439,12.165525060596439,18.439088914585774,17.0,17.4928556845359,13.416407864998739,14.45683229480096,5.385164807134504,7.0710678118654755,14.7648230602334,2.8284271247461903,14.0,22.58317958127243,7.211102550927978,19.748417658131498,13.564659966250536,13.92838827718412,4.242640687119285,13.638181696985855,17.72004514666935,4.0,20.322401432901575,13.564659966250536,12.206555615733702,21.18962010041709,4.0,21.400934559032695
bbc,13.92838827718412,12.0,13.152946437965905,16.401219466856727,16.401219466856727,,16.401219466856727,14.035668847618199,16.278820596099706,15.231546211727817,15.231546211727817,16.15549442140351,16.278820596099706,14.45683229480096,17.4928556845359,17.029386365926403,19.6468827043885,9.055385138137417,16.401219466856727,12.165525060596439,12.165525060596439,18.439088914585774,17.0,17.4928556845359,13.416407864998739,14.45683229480096,5.385164807134504,7.0710678118654755,14.7648230602334,2.8284271247461903,14.0,22.58317958127243,7.211102550927978,19.748417658131498,13.564659966250536,13.92838827718412,4.242640687119285,13.638181696985855,17.72004514666935,4.0,20.322401432901575,13.564659966250536,12.206555615733702,21.18962010041709,4.0
breitbart,16.15549442140351,15.264337522473747,16.401219466856727,14.035668847618199,14.035668847618199,16.401219466856727,,13.152946437965905,16.401219466856727,14.035668847618199,16.278820596099706,15.231546211727817,15.231546211727817,16.15549442140351,16.278820596099706,14.45683229480096,17.4928556845359,17.029386365926403,19.6468827043885,9.055385138137417,16.401219466856727,12.165525060596439,12.165525060596439,18.439088914585774,17.0,17.4928556845359,13.416407864998739,14.45683229480096,5.385164807134504,7.0710678118654755,14.7648230602334,2.8284271247461903,14.0,22.58317958127243,7.211102550927978,19.748417658131498,13.564659966250536,13.92838827718412,4.242640687119285,13.638181696985855,17.72004514666935,4.0,20.322401432901575,13.564659966250536,12.206555615733702
businessinsider,15.811388300841896,13.152946437965905,14.035668847618199,16.278820596099706,16.278820596099706,14.035668847618199,13.152946437965905,,12.0,15.264337522473747,13.152946437965905,16.401219466856727,14.035668847618199,16.278820596099706,15.231546211727817,15.231546211727817,16.15549442140351,16.278820596099706,14.45683229480096,17.4928556845359,17.029386365926403,19.6468827043885,9.055385138137417,16.401219466856727,12.165525060596439,12.165525060596439,18.439088914585774,17.0,17.4928556845359,13.416407864998739,14.45683229480096,5.385164807134504,7.0710678118654755,14.7648230602334,2.8284271247461903,14.0,22.58317958127243,7.211102550927978,19.748417658131498,13.564659966250536,13.92838827718412,4.242640687119285,13.638181696985855,17.72004514666935,4.0
buzzfeed,12.0,16.401219466856727,16.278820596099706,15.231546211727817,15.231546211727817,16.278820596099706,16.401219466856727,12.0,,13.92838827718412,16.15549442140351,15.811388300841896,12.0,15.264337522473747,13.152946437965905,16.401219466856727,14.035668847618199,16.278820596099706,15.231546211727817,15.231546211727817,16.15549442140351,16.278820596099706,14.45683229480096,17.4928556845359,17.029386365926403,19.6468827043885,9.055385138137417,16.401219466856727,12.165525060596439,12.165525060596439,18.439088914585774,17.0,17.4928556845359,13.416407864998739,14.45683229480096,5.385164807134504,7.0710678118654755,14.7648230602334,2.8284271247461903,14.0,22.58317958127243,7.211102550927978,19.748417658131498,13.564659966250536,13.92838827718412
canary,15.264337522473747,14.035668847618199,15.231546211727817,15.231546211727817,15.231546211727817,15.231546211727817,14.035668847618199,15.264337522473747,13.92838827718412,,16.15549442140351,13.892443989449804,18.439088914585774,7.0,13.92838827718412,16.15549442140351,15.811388300841896,12.0,15.264337522473747,13.152946437965905,16.401219466856727,14.035668847618199,16.278820596099706,15.231546211727817,15.231546211727817,16.15549442140351,16.278820596099706,14.45683229480096,17.4928556845359,17.029386365926403,19.6468827043885,9.055385138137417,16.401219466856727,12.165525060596439,12.165525060596439,18.439088914585774,17.0,17.4928556845359,13.416407864998739,14.45683229480096,5.385164807134504,7.0710678118654755,14.7648230602334,2.8284271247461903,14.0
