,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,lewrockwell,motherjones,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,vice,vox,wapo,wsj
aljazeera,,10.04987562112089,7.0710678118654755,0.0,7.0710678118654755,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0
alternet,10.04987562112089,,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0,10.04987562112089,3.0,10.04987562112089
ap,7.0710678118654755,10.246950765959598,,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0,10.04987562112089,3.0,10.04987562112089,6.4031242374328485,1.7320508075688772
atlantic,0.0,4.0,11.180339887498949,,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0,10.04987562112089,3.0,10.04987562112089,6.4031242374328485,1.7320508075688772,4.242640687119285
breitbart,7.0710678118654755,9.055385138137417,10.04987562112089,11.0,,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0,10.04987562112089,3.0,10.04987562112089,6.4031242374328485,1.7320508075688772,4.242640687119285
buzzfeed,10.246950765959598,11.180339887498949,11.0,0.0,0.0,,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0,10.04987562112089,3.0,10.04987562112089,6.4031242374328485,1.7320508075688772
cbs,4.0,10.04987562112089,0.0,11.357816691600547,11.357816691600547,0.0,,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0,10.04987562112089,3.0,10.04987562112089
cnn,9.055385138137417,11.0,11.357816691600547,11.40175425099138,11.40175425099138,11.357816691600547,11.0,,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089,8.54400374531753,6.708203932499369,10.04987562112089,0.0
commondreams,11.180339887498949,0.0,11.40175425099138,6.708203932499369,6.708203932499369,11.40175425099138,0.0,11.180339887498949,,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661,10.44030650891055,10.246950765959598,7.0710678118654755,9.273618495495704,10.04987562112089
conversation,10.04987562112089,11.357816691600547,6.708203932499369,3.0,3.0,6.708203932499369,11.357816691600547,10.04987562112089,10.246950765959598,,10.04987562112089,7.0710678118654755,0.0,7.0710678118654755,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285,10.198039027185569,10.198039027185569,11.357816691600547,10.04987562112089,10.04987562112089,4.123105625617661
dailycaller,11.0,11.40175425099138,3.0,3.7416573867739413,3.7416573867739413,3.0,11.40175425099138,11.0,4.0,10.04987562112089,,2.0,7.0710678118654755,2.0,10.04987562112089,3.0,10.04987562112089,7.0710678118654755,0.0,7.0710678118654755,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075,7.0710678118654755,16.55294535724685,7.0,11.0,12.206555615733702,7.280109889280518,4.242640687119285
dailykos,0.0,6.708203932499369,3.7416573867739413,8.306623862918075,8.306623862918075,3.7416573867739413,6.708203932499369,0.0,9.055385138137417,7.0710678118654755,2.0,,4.47213595499958,6.708203932499369,5.656854249492381,4.242640687119285,5.656854249492381,10.04987562112089,2.0,7.0710678118654755,2.0,10.04987562112089,3.0,10.04987562112089,7.0710678118654755,0.0,7.0710678118654755,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089,11.0,0.0,11.357816691600547,11.40175425099138,6.708203932499369,3.0,3.7416573867739413,8.306623862918075
dailymail,11.357816691600547,3.0,8.306623862918075,7.0710678118654755,7.0710678118654755,8.306623862918075,3.0,11.357816691600547,11.180339887498949,0.0,7.0710678118654755,4.47213595499958,,0.0,2.0,2.8284271247461903,8.54400374531753,4.47213595499958,5.830951894845301,4.47213595499958,4.47213595499958,6.708203932499369,5.656854249492381,4.242640687119285,5.656854249492381,10.04987562112089,2.0,7.0710678118654755,2.0,10.04987562112089,3.0,10.04987562112089,7.0710678118654755,0.0,7.0710678118654755,10.246950765959598,4.0,9.055385138137417,11.180339887498949,10.04987562112089
dailywire,11.40175425099138,3.7416573867739413,7.0710678118654755,16.55294535724685,16.55294535724685,7.0710678118654755,3.7416573867739413,11.40175425099138,10.04987562112089,7.0710678118654755,2.0,6.708203932499369,0.0,,6.4031242374328485,1.7320508075688772,4.47213595499958,5.656854249492381,2.0,10.04987562112089,0.0,7.0710678118654755,0.0,2.0,2.8284271247461903,8.54400374531753,4.47213595499958,5.830951894845301,4.47213595499958,4.47213595499958,6.708203932499369,5.656854249492381,4.242640687119285,5.656854249492381,10.04987562112089,2.0,7.0710678118654755,2.0,10.04987562112089,3.0
economist,6.708203932499369,8.306623862918075,16.55294535724685,7.0,7.0,16.55294535724685,8.306623862918075,6.708203932499369,11.0,10.246950765959598,10.04987562112089,5.656854249492381,2.0,6.4031242374328485,,3.0,4.123105625617661,3.0,1.7320508075688772,5.196152422706632,5.916079783099616,3.3166247903554,9.273618495495704,1.7320508075688772,6.4031242374328485,1.7320508075688772,4.47213595499958,5.656854249492381,2.0,10.04987562112089,0.0,7.0710678118654755,0.0,2.0,2.8284271247461903,8.54400374531753,4.47213595499958,5.830951894845301,4.47213595499958,4.47213595499958
federalist,3.0,7.0710678118654755,7.0,11.0,11.0,7.0,7.0710678118654755,3.0,0.0,4.0,3.0,4.242640687119285,2.8284271247461903,1.7320508075688772,3.0,,10.246950765959598,1.4142135623730951,7.3484692283495345,1.4142135623730951,2.449489742783178,3.0,4.123105625617661,4.123105625617661,3.605551275463989,7.0710678118654755,3.0,4.123105625617661,3.0,1.7320508075688772,5.196152422706632,5.916079783099616,3.3166247903554,9.273618495495704,1.7320508075688772,6.4031242374328485,1.7320508075688772,4.47213595499958,5.656854249492381,2.0
fox,3.7416573867739413,16.55294535724685,11.0,12.206555615733702,12.206555615733702,11.0,16.55294535724685,3.7416573867739413,11.357816691600547,9.055385138137417,10.04987562112089,5.656854249492381,8.54400374531753,4.47213595499958,4.123105625617661,10.246950765959598,,2.0,10.44030650891055,4.0,7.615773105863909,4.0,3.3166247903554,1.0,1.4142135623730951,5.477225575051661,6.48074069840786,3.1622776601683795,10.246950765959598,1.4142135623730951,7.3484692283495345,1.4142135623730951,2.449489742783178,3.0,4.123105625617661,4.123105625617661,3.605551275463989,7.0710678118654755,3.0,4.123105625617661
guardian,8.306623862918075,7.0,12.206555615733702,7.280109889280518,7.280109889280518,12.206555615733702,7.0,8.306623862918075,11.40175425099138,11.180339887498949,7.0710678118654755,10.04987562112089,4.47213595499958,5.656854249492381,3.0,1.4142135623730951,2.0,,4.47213595499958,6.324555320336759,4.123105625617661,6.0,1.4142135623730951,6.0,5.0990195135927845,5.0,5.196152422706632,4.0,2.0,4.0,2.0,10.44030650891055,4.0,7.615773105863909,4.0,3.3166247903554,1.0,1.4142135623730951,5.477225575051661,6.48074069840786
huffingtonpost,7.0710678118654755,11.0,7.280109889280518,4.242640687119285,4.242640687119285,7.280109889280518,11.0,7.0710678118654755,6.708203932499369,10.04987562112089,0.0,2.0,5.830951894845301,2.0,1.7320508075688772,7.3484692283495345,10.44030650891055,4.47213595499958,,4.47213595499958,5.656854249492381,2.0,10.04987562112089,0.0,7.0710678118654755,0.0,7.211102550927978,6.164414002968976,3.0,5.196152422706632,6.0,5.656854249492381,4.47213595499958,6.324555320336759,4.123105625617661,6.0,1.4142135623730951,6.0,5.0990195135927845,5.0
