,aljazeera,alternet,americanconservative,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,foreignaffairs,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,time,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
aljazeera,,4.69041575982343,12.569805089976535,12.206555615733702,11.704699910719626,12.96148139681572,8.306623862918075,9.643650760992955,24.124676163629637,5.656854249492381,7.874007874011811,7.615773105863909,5.385164807134504,8.54400374531753,1.4142135623730951,3.1622776601683795,23.0,5.744562646538029,2.23606797749979,8.306623862918075,6.324555320336759,4.898979485566356,25.96150997149434,7.874007874011811,9.433981132056603,7.3484692283495345,10.295630140987,8.306623862918075,32.01562118716424,7.0,38.379682124790975,15.394804318340652,8.54400374531753,13.038404810405298,16.24807680927192,8.12403840463596,5.477225575051661,5.744562646538029,41.30375285612676,4.898979485566356,2.449489742783178,24.24871130596428,27.0,9.0,10.954451150103322,5.477225575051661,19.209372712298546,3.3166247903554,8.306623862918075,32.01562118716424,9.16515138991168,20.615528128088304,10.862780491200215,16.15549442140351,5.477225575051661,7.681145747868608
alternet,4.69041575982343,,12.96148139681572,8.306623862918075,9.643650760992955,24.124676163629637,5.656854249492381,7.874007874011811,7.615773105863909,5.385164807134504,8.54400374531753,1.4142135623730951,3.1622776601683795,23.0,5.744562646538029,2.23606797749979,8.306623862918075,6.324555320336759,4.898979485566356,25.96150997149434,7.874007874011811,9.433981132056603,7.3484692283495345,10.295630140987,8.306623862918075,32.01562118716424,7.0,38.379682124790975,15.394804318340652,8.54400374531753,13.038404810405298,16.24807680927192,8.12403840463596,5.477225575051661,5.744562646538029,41.30375285612676,4.898979485566356,2.449489742783178,24.24871130596428,27.0,9.0,10.954451150103322,5.477225575051661,19.209372712298546,3.3166247903554,8.306623862918075,32.01562118716424,9.16515138991168,20.615528128088304,10.862780491200215,16.15549442140351,5.477225575051661,7.681145747868608,7.0710678118654755,7.211102550927978,8.306623862918075
americanconservative,12.569805089976535,12.96148139681572,,24.124676163629637,5.656854249492381,7.874007874011811,7.615773105863909,5.385164807134504,8.54400374531753,1.4142135623730951,3.1622776601683795,23.0,5.744562646538029,2.23606797749979,8.306623862918075,6.324555320336759,4.898979485566356,25.96150997149434,7.874007874011811,9.433981132056603,7.3484692283495345,10.295630140987,8.306623862918075,32.01562118716424,7.0,38.379682124790975,15.394804318340652,8.54400374531753,13.038404810405298,16.24807680927192,8.12403840463596,5.477225575051661,5.744562646538029,41.30375285612676,4.898979485566356,2.449489742783178,24.24871130596428,27.0,9.0,10.954451150103322,5.477225575051661,19.209372712298546,3.3166247903554,8.306623862918075,32.01562118716424,9.16515138991168,20.615528128088304,10.862780491200215,16.15549442140351,5.477225575051661,7.681145747868608,7.0710678118654755,7.211102550927978,8.306623862918075,11.0,12.68857754044952
ap,12.206555615733702,8.306623862918075,24.124676163629637,,7.874007874011811,7.615773105863909,5.385164807134504,8.54400374531753,1.4142135623730951,3.1622776601683795,23.0,5.744562646538029,2.23606797749979,8.306623862918075,6.324555320336759,4.898979485566356,25.96150997149434,7.874007874011811,9.433981132056603,7.3484692283495345,10.295630140987,8.306623862918075,32.01562118716424,7.0,38.379682124790975,15.394804318340652,8.54400374531753,13.038404810405298,16.24807680927192,8.12403840463596,5.477225575051661,5.744562646538029,41.30375285612676,4.898979485566356,2.449489742783178,24.24871130596428,27.0,9.0,10.954451150103322,5.477225575051661,19.209372712298546,3.3166247903554,8.306623862918075,32.01562118716424,9.16515138991168,20.615528128088304,10.862780491200215,16.15549442140351,5.477225575051661,7.681145747868608,7.0710678118654755,7.211102550927978,8.306623862918075,11.0,12.68857754044952,15.297058540778355
atlantic,11.704699910719626,9.643650760992955,5.656854249492381,7.874007874011811,,7.615773105863909,5.385164807134504,8.54400374531753,1.4142135623730951,3.1622776601683795,23.0,5.744562646538029,2.23606797749979,8.306623862918075,6.324555320336759,4.898979485566356,25.96150997149434,7.874007874011811,9.433981132056603,7.3484692283495345,10.295630140987,8.306623862918075,32.01562118716424,7.0,38.379682124790975,15.394804318340652,8.54400374531753,13.038404810405298,16.24807680927192,8.12403840463596,5.477225575051661,5.744562646538029,41.30375285612676,4.898979485566356,2.449489742783178,24.24871130596428,27.0,9.0,10.954451150103322,5.477225575051661,19.209372712298546,3.3166247903554,8.306623862918075,32.01562118716424,9.16515138991168,20.615528128088304,10.862780491200215,16.15549442140351,5.477225575051661,7.681145747868608,7.0710678118654755,7.211102550927978,8.306623862918075,11.0,12.68857754044952,15.297058540778355
axios,12.96148139681572,24.124676163629637,7.874007874011811,7.615773105863909,7.615773105863909,,7.615773105863909,5.385164807134504,8.54400374531753,1.4142135623730951,3.1622776601683795,23.0,5.744562646538029,2.23606797749979,8.306623862918075,6.324555320336759,4.898979485566356,25.96150997149434,7.874007874011811,9.433981132056603,7.3484692283495345,10.295630140987,8.306623862918075,32.01562118716424,7.0,38.379682124790975,15.394804318340652,8.54400374531753,13.038404810405298,16.24807680927192,8.12403840463596,5.477225575051661,5.744562646538029,41.30375285612676,4.898979485566356,2.449489742783178,24.24871130596428,27.0,9.0,10.954451150103322,5.477225575051661,19.209372712298546,3.3166247903554,8.306623862918075,32.01562118716424,9.16515138991168,20.615528128088304,10.862780491200215,16.15549442140351,5.477225575051661,7.681145747868608,7.0710678118654755,7.211102550927978,8.306623862918075,11.0,12.68857754044952
bbc,8.306623862918075,5.656854249492381,7.615773105863909,5.385164807134504,5.385164807134504,7.615773105863909,,7.874007874011811,7.615773105863909,5.385164807134504,8.54400374531753,1.4142135623730951,3.1622776601683795,23.0,5.744562646538029,2.23606797749979,8.306623862918075,6.324555320336759,4.898979485566356,25.96150997149434,7.874007874011811,9.433981132056603,7.3484692283495345,10.295630140987,8.306623862918075,32.01562118716424,7.0,38.379682124790975,15.394804318340652,8.54400374531753,13.038404810405298,16.24807680927192,8.12403840463596,5.477225575051661,5.744562646538029,41.30375285612676,4.898979485566356,2.449489742783178,24.24871130596428,27.0,9.0,10.954451150103322,5.477225575051661,19.209372712298546,3.3166247903554,8.306623862918075,32.01562118716424,9.16515138991168,20.615528128088304,10.862780491200215,16.15549442140351,5.477225575051661,7.681145747868608,7.0710678118654755,7.211102550927978,8.306623862918075
breitbart,9.643650760992955,7.874007874011811,5.385164807134504,8.54400374531753,8.54400374531753,5.385164807134504,7.874007874011811,,24.124676163629637,5.656854249492381,7.874007874011811,7.615773105863909,5.385164807134504,8.54400374531753,1.4142135623730951,3.1622776601683795,23.0,5.744562646538029,2.23606797749979,8.306623862918075,6.324555320336759,4.898979485566356,25.96150997149434,7.874007874011811,9.433981132056603,7.3484692283495345,10.295630140987,8.306623862918075,32.01562118716424,7.0,38.379682124790975,15.394804318340652,8.54400374531753,13.038404810405298,16.24807680927192,8.12403840463596,5.477225575051661,5.744562646538029,41.30375285612676,4.898979485566356,2.449489742783178,24.24871130596428,27.0,9.0,10.954451150103322,5.477225575051661,19.209372712298546,3.3166247903554,8.306623862918075,32.01562118716424,9.16515138991168,20.615528128088304,10.862780491200215,16.15549442140351,5.477225575051661,7.681145747868608
businessinsider,24.124676163629637,7.615773105863909,8.54400374531753,1.4142135623730951,1.4142135623730951,8.54400374531753,7.615773105863909,24.124676163629637,,12.96148139681572,8.306623862918075,9.643650760992955,24.124676163629637,5.656854249492381,7.874007874011811,7.615773105863909,5.385164807134504,8.54400374531753,1.4142135623730951,3.1622776601683795,23.0,5.744562646538029,2.23606797749979,8.306623862918075,6.324555320336759,4.898979485566356,25.96150997149434,7.874007874011811,9.433981132056603,7.3484692283495345,10.295630140987,8.306623862918075,32.01562118716424,7.0,38.379682124790975,15.394804318340652,8.54400374531753,13.038404810405298,16.24807680927192,8.12403840463596,5.477225575051661,5.744562646538029,41.30375285612676,4.898979485566356,2.449489742783178,24.24871130596428,27.0,9.0,10.954451150103322,5.477225575051661,19.209372712298546,3.3166247903554,8.306623862918075,32.01562118716424,9.16515138991168,20.615528128088304
buzzfeed,5.656854249492381,5.385164807134504,1.4142135623730951,3.1622776601683795,3.1622776601683795,1.4142135623730951,5.385164807134504,5.656854249492381,12.96148139681572,,4.69041575982343,12.569805089976535,12.206555615733702,11.704699910719626,12.96148139681572,8.306623862918075,9.643650760992955,24.124676163629637,5.656854249492381,7.874007874011811,7.615773105863909,5.385164807134504,8.54400374531753,1.4142135623730951,3.1622776601683795,23.0,5.744562646538029,2.23606797749979,8.306623862918075,6.324555320336759,4.898979485566356,25.96150997149434,7.874007874011811,9.433981132056603,7.3484692283495345,10.295630140987,8.306623862918075,32.01562118716424,7.0,38.379682124790975,15.394804318340652,8.54400374531753,13.038404810405298,16.24807680927192,8.12403840463596,5.477225575051661,5.744562646538029,41.30375285612676,4.898979485566356,2.449489742783178,24.24871130596428,27.0,9.0,10.954451150103322,5.477225575051661,19.209372712298546
