,aljazeera,alternet,americanconservative,americanthinker,ap,atlantic,bbc,breitbart,buzzfeed,canary,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,guardian,huffingtonpost,independent,infowars,intercept,mintpress,motherjones,nationalreview,nbc,npr,nypost,nytimes,opednews,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,truthdig,usatoday,vice,vox,wapo,wsj
aljazeera,,6.0,16.278820596099706,18.627936010197157,32.341923257592455,33.015148038438355,28.160255680657446,19.261360284258224,7.280109889280518,31.874754901018456,11.0,3.0,20.615528128088304,23.345235059857504,29.832867780352597,6.4031242374328485,36.72873534441391,4.0,33.13608305156178,14.866068747318506,27.09243436828813,0.0,17.46424919657298,13.638181696985855,6.708203932499369,23.194827009486403,25.079872407968907,4.0,18.0,18.275666882497067,36.6742416417845,28.442925306655784,26.720778431774775,8.06225774829855,13.0,13.038404810405298,3.0,5.656854249492381,25.553864678361276,14.560219778561036,29.068883707497267,9.0,6.708203932499369,33.0,9.0,18.466185312619388,12.206555615733702
alternet,6.0,,33.015148038438355,28.160255680657446,19.261360284258224,7.280109889280518,31.874754901018456,11.0,3.0,20.615528128088304,23.345235059857504,29.832867780352597,6.4031242374328485,36.72873534441391,4.0,33.13608305156178,14.866068747318506,27.09243436828813,0.0,17.46424919657298,13.638181696985855,6.708203932499369,23.194827009486403,25.079872407968907,4.0,18.0,18.275666882497067,36.6742416417845,28.442925306655784,26.720778431774775,8.06225774829855,13.0,13.038404810405298,3.0,5.656854249492381,25.553864678361276,14.560219778561036,29.068883707497267,9.0,6.708203932499369,33.0,9.0,18.466185312619388,12.206555615733702,18.275666882497067,34.07345007480164,8.06225774829855
americanconservative,16.278820596099706,33.015148038438355,,7.280109889280518,31.874754901018456,11.0,3.0,20.615528128088304,23.345235059857504,29.832867780352597,6.4031242374328485,36.72873534441391,4.0,33.13608305156178,14.866068747318506,27.09243436828813,0.0,17.46424919657298,13.638181696985855,6.708203932499369,23.194827009486403,25.079872407968907,4.0,18.0,18.275666882497067,36.6742416417845,28.442925306655784,26.720778431774775,8.06225774829855,13.0,13.038404810405298,3.0,5.656854249492381,25.553864678361276,14.560219778561036,29.068883707497267,9.0,6.708203932499369,33.0,9.0,18.466185312619388,12.206555615733702,18.275666882497067,34.07345007480164,8.06225774829855,6.4031242374328485,35.566838487557476
americanthinker,18.627936010197157,28.160255680657446,7.280109889280518,,11.0,3.0,20.615528128088304,23.345235059857504,29.832867780352597,6.4031242374328485,36.72873534441391,4.0,33.13608305156178,14.866068747318506,27.09243436828813,0.0,17.46424919657298,13.638181696985855,6.708203932499369,23.194827009486403,25.079872407968907,4.0,18.0,18.275666882497067,36.6742416417845,28.442925306655784,26.720778431774775,8.06225774829855,13.0,13.038404810405298,3.0,5.656854249492381,25.553864678361276,14.560219778561036,29.068883707497267,9.0,6.708203932499369,33.0,9.0,18.466185312619388,12.206555615733702,18.275666882497067,34.07345007480164,8.06225774829855,6.4031242374328485,35.566838487557476,37.3496987939662
ap,32.341923257592455,19.261360284258224,31.874754901018456,11.0,,3.0,20.615528128088304,23.345235059857504,29.832867780352597,6.4031242374328485,36.72873534441391,4.0,33.13608305156178,14.866068747318506,27.09243436828813,0.0,17.46424919657298,13.638181696985855,6.708203932499369,23.194827009486403,25.079872407968907,4.0,18.0,18.275666882497067,36.6742416417845,28.442925306655784,26.720778431774775,8.06225774829855,13.0,13.038404810405298,3.0,5.656854249492381,25.553864678361276,14.560219778561036,29.068883707497267,9.0,6.708203932499369,33.0,9.0,18.466185312619388,12.206555615733702,18.275666882497067,34.07345007480164,8.06225774829855,6.4031242374328485,35.566838487557476,37.3496987939662
atlantic,33.015148038438355,7.280109889280518,11.0,3.0,3.0,,3.0,20.615528128088304,23.345235059857504,29.832867780352597,6.4031242374328485,36.72873534441391,4.0,33.13608305156178,14.866068747318506,27.09243436828813,0.0,17.46424919657298,13.638181696985855,6.708203932499369,23.194827009486403,25.079872407968907,4.0,18.0,18.275666882497067,36.6742416417845,28.442925306655784,26.720778431774775,8.06225774829855,13.0,13.038404810405298,3.0,5.656854249492381,25.553864678361276,14.560219778561036,29.068883707497267,9.0,6.708203932499369,33.0,9.0,18.466185312619388,12.206555615733702,18.275666882497067,34.07345007480164,8.06225774829855,6.4031242374328485,35.566838487557476
bbc,28.160255680657446,31.874754901018456,3.0,20.615528128088304,20.615528128088304,3.0,,11.0,3.0,20.615528128088304,23.345235059857504,29.832867780352597,6.4031242374328485,36.72873534441391,4.0,33.13608305156178,14.866068747318506,27.09243436828813,0.0,17.46424919657298,13.638181696985855,6.708203932499369,23.194827009486403,25.079872407968907,4.0,18.0,18.275666882497067,36.6742416417845,28.442925306655784,26.720778431774775,8.06225774829855,13.0,13.038404810405298,3.0,5.656854249492381,25.553864678361276,14.560219778561036,29.068883707497267,9.0,6.708203932499369,33.0,9.0,18.466185312619388,12.206555615733702,18.275666882497067,34.07345007480164,8.06225774829855
breitbart,19.261360284258224,11.0,20.615528128088304,23.345235059857504,23.345235059857504,20.615528128088304,11.0,,7.280109889280518,31.874754901018456,11.0,3.0,20.615528128088304,23.345235059857504,29.832867780352597,6.4031242374328485,36.72873534441391,4.0,33.13608305156178,14.866068747318506,27.09243436828813,0.0,17.46424919657298,13.638181696985855,6.708203932499369,23.194827009486403,25.079872407968907,4.0,18.0,18.275666882497067,36.6742416417845,28.442925306655784,26.720778431774775,8.06225774829855,13.0,13.038404810405298,3.0,5.656854249492381,25.553864678361276,14.560219778561036,29.068883707497267,9.0,6.708203932499369,33.0,9.0,18.466185312619388,12.206555615733702
buzzfeed,7.280109889280518,3.0,23.345235059857504,29.832867780352597,29.832867780352597,23.345235059857504,3.0,7.280109889280518,,33.015148038438355,28.160255680657446,19.261360284258224,7.280109889280518,31.874754901018456,11.0,3.0,20.615528128088304,23.345235059857504,29.832867780352597,6.4031242374328485,36.72873534441391,4.0,33.13608305156178,14.866068747318506,27.09243436828813,0.0,17.46424919657298,13.638181696985855,6.708203932499369,23.194827009486403,25.079872407968907,4.0,18.0,18.275666882497067,36.6742416417845,28.442925306655784,26.720778431774775,8.06225774829855,13.0,13.038404810405298,3.0,5.656854249492381,25.553864678361276,14.560219778561036,29.068883707497267,9.0,6.708203932499369
canary,31.874754901018456,20.615528128088304,29.832867780352597,6.4031242374328485,6.4031242374328485,29.832867780352597,20.615528128088304,31.874754901018456,33.015148038438355,,6.0,16.278820596099706,18.627936010197157,32.341923257592455,33.015148038438355,28.160255680657446,19.261360284258224,7.280109889280518,31.874754901018456,11.0,3.0,20.615528128088304,23.345235059857504,29.832867780352597,6.4031242374328485,36.72873534441391,4.0,33.13608305156178,14.866068747318506,27.09243436828813,0.0,17.46424919657298,13.638181696985855,6.708203932499369,23.194827009486403,25.079872407968907,4.0,18.0,18.275666882497067,36.6742416417845,28.442925306655784,26.720778431774775,8.06225774829855,13.0,13.038404810405298,3.0,5.656854249492381
