,aljazeera,alternet,americanconservative,americanspectator,americanthinker,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,freebeacon,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,newyorker,npr,nypost,nytimes,observerny,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
aljazeera,,6.0,11.40175425099138,11.40175425099138,0.0,13.152946437965905,15.620499351813308,2.8284271247461903,16.401219466856727,4.0,13.0,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0,13.0,11.180339887498949,11.180339887498949,17.804493814764857,10.198039027185569,0.0,13.0,16.401219466856727,13.0,16.278820596099706,13.0,17.204650534085253,14.7648230602334,18.193405398660254,2.8284271247461903,13.0,12.165525060596439,13.341664064126334,16.76305461424021,15.652475842498529,17.69180601295413,11.180339887498949,13.0,13.0,14.317821063276353,18.193405398660254,13.0,13.0,10.0,12.0,13.0,15.264337522473747,8.0,13.0,16.278820596099706,8.94427190999916,13.0,18.193405398660254,7.0
alternet,6.0,,13.152946437965905,15.620499351813308,2.8284271247461903,16.401219466856727,4.0,13.0,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0,13.0,11.180339887498949,11.180339887498949,17.804493814764857,10.198039027185569,0.0,13.0,16.401219466856727,13.0,16.278820596099706,13.0,17.204650534085253,14.7648230602334,18.193405398660254,2.8284271247461903,13.0,12.165525060596439,13.341664064126334,16.76305461424021,15.652475842498529,17.69180601295413,11.180339887498949,13.0,13.0,14.317821063276353,18.193405398660254,13.0,13.0,10.0,12.0,13.0,15.264337522473747,8.0,13.0,16.278820596099706,8.94427190999916,13.0,18.193405398660254,7.0,3.605551275463989,13.0,13.0
americanconservative,11.40175425099138,13.152946437965905,,16.401219466856727,4.0,13.0,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0,13.0,11.180339887498949,11.180339887498949,17.804493814764857,10.198039027185569,0.0,13.0,16.401219466856727,13.0,16.278820596099706,13.0,17.204650534085253,14.7648230602334,18.193405398660254,2.8284271247461903,13.0,12.165525060596439,13.341664064126334,16.76305461424021,15.652475842498529,17.69180601295413,11.180339887498949,13.0,13.0,14.317821063276353,18.193405398660254,13.0,13.0,10.0,12.0,13.0,15.264337522473747,8.0,13.0,16.278820596099706,8.94427190999916,13.0,18.193405398660254,7.0,3.605551275463989,13.0,13.0,14.317821063276353,11.704699910719626
americanspectator,11.40175425099138,15.620499351813308,16.401219466856727,,13.0,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0,13.0,11.180339887498949,11.180339887498949,17.804493814764857,10.198039027185569,0.0,13.0,16.401219466856727,13.0,16.278820596099706,13.0,17.204650534085253,14.7648230602334,18.193405398660254,2.8284271247461903,13.0,12.165525060596439,13.341664064126334,16.76305461424021,15.652475842498529,17.69180601295413,11.180339887498949,13.0,13.0,14.317821063276353,18.193405398660254,13.0,13.0,10.0,12.0,13.0,15.264337522473747,8.0,13.0,16.278820596099706,8.94427190999916,13.0,18.193405398660254,7.0,3.605551275463989,13.0,13.0,14.317821063276353,11.704699910719626,12.0
americanthinker,0.0,2.8284271247461903,4.0,13.0,,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0,13.0,11.180339887498949,11.180339887498949,17.804493814764857,10.198039027185569,0.0,13.0,16.401219466856727,13.0,16.278820596099706,13.0,17.204650534085253,14.7648230602334,18.193405398660254,2.8284271247461903,13.0,12.165525060596439,13.341664064126334,16.76305461424021,15.652475842498529,17.69180601295413,11.180339887498949,13.0,13.0,14.317821063276353,18.193405398660254,13.0,13.0,10.0,12.0,13.0,15.264337522473747,8.0,13.0,16.278820596099706,8.94427190999916,13.0,18.193405398660254,7.0,3.605551275463989,13.0,13.0,14.317821063276353,11.704699910719626,12.0
ap,13.152946437965905,16.401219466856727,13.0,13.0,13.0,,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0,13.0,11.180339887498949,11.180339887498949,17.804493814764857,10.198039027185569,0.0,13.0,16.401219466856727,13.0,16.278820596099706,13.0,17.204650534085253,14.7648230602334,18.193405398660254,2.8284271247461903,13.0,12.165525060596439,13.341664064126334,16.76305461424021,15.652475842498529,17.69180601295413,11.180339887498949,13.0,13.0,14.317821063276353,18.193405398660254,13.0,13.0,10.0,12.0,13.0,15.264337522473747,8.0,13.0,16.278820596099706,8.94427190999916,13.0,18.193405398660254,7.0,3.605551275463989,13.0,13.0,14.317821063276353,11.704699910719626
atlantic,15.620499351813308,4.0,13.0,13.0,13.0,13.0,,13.0,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0,13.0,11.180339887498949,11.180339887498949,17.804493814764857,10.198039027185569,0.0,13.0,16.401219466856727,13.0,16.278820596099706,13.0,17.204650534085253,14.7648230602334,18.193405398660254,2.8284271247461903,13.0,12.165525060596439,13.341664064126334,16.76305461424021,15.652475842498529,17.69180601295413,11.180339887498949,13.0,13.0,14.317821063276353,18.193405398660254,13.0,13.0,10.0,12.0,13.0,15.264337522473747,8.0,13.0,16.278820596099706,8.94427190999916,13.0,18.193405398660254,7.0,3.605551275463989,13.0,13.0
bbc,2.8284271247461903,13.0,13.0,5.385164807134504,5.385164807134504,13.0,13.0,,16.401219466856727,4.0,13.0,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0,13.0,11.180339887498949,11.180339887498949,17.804493814764857,10.198039027185569,0.0,13.0,16.401219466856727,13.0,16.278820596099706,13.0,17.204650534085253,14.7648230602334,18.193405398660254,2.8284271247461903,13.0,12.165525060596439,13.341664064126334,16.76305461424021,15.652475842498529,17.69180601295413,11.180339887498949,13.0,13.0,14.317821063276353,18.193405398660254,13.0,13.0,10.0,12.0,13.0,15.264337522473747,8.0,13.0,16.278820596099706,8.94427190999916,13.0,18.193405398660254,7.0
breitbart,16.401219466856727,13.0,5.385164807134504,18.193405398660254,18.193405398660254,5.385164807134504,13.0,16.401219466856727,,13.152946437965905,15.620499351813308,2.8284271247461903,16.401219466856727,4.0,13.0,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0,13.0,11.180339887498949,11.180339887498949,17.804493814764857,10.198039027185569,0.0,13.0,16.401219466856727,13.0,16.278820596099706,13.0,17.204650534085253,14.7648230602334,18.193405398660254,2.8284271247461903,13.0,12.165525060596439,13.341664064126334,16.76305461424021,15.652475842498529,17.69180601295413,11.180339887498949,13.0,13.0,14.317821063276353,18.193405398660254,13.0,13.0,10.0,12.0,13.0,15.264337522473747,8.0,13.0,16.278820596099706
businessinsider,4.0,13.0,18.193405398660254,17.69180601295413,17.69180601295413,18.193405398660254,13.0,4.0,13.152946437965905,,6.0,11.40175425099138,11.40175425099138,0.0,13.152946437965905,15.620499351813308,2.8284271247461903,16.401219466856727,4.0,13.0,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0,13.0,11.180339887498949,11.180339887498949,17.804493814764857,10.198039027185569,0.0,13.0,16.401219466856727,13.0,16.278820596099706,13.0,17.204650534085253,14.7648230602334,18.193405398660254,2.8284271247461903,13.0,12.165525060596439,13.341664064126334,16.76305461424021,15.652475842498529,17.69180601295413,11.180339887498949,13.0,13.0,14.317821063276353,18.193405398660254,13.0,13.0,10.0,12.0
