,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,axios,bbc,bloomberg,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,defenseone,economist,federalist,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,vice,voltairenetwork,vox,wapo,wsj
aljazeera,,9.0,11.045361017187261,11.045361017187261,2.0,18.49324200890693,19.05255888325765,18.384776310850235,14.89966442575134,19.672315572906,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0,7.0,19.672315572906,20.346989949375804,9.899494936611665,1.0,18.49324200890693,19.672315572906,15.937377450509228,19.05255888325765,0.0,19.05255888325765,8.0,1.0,18.411952639521967,5.0,1.0,5.0,18.627936010197157,19.672315572906,2.0,0.0,17.804493814764857,14.89966442575134,18.411952639521967,18.411952639521967,7.810249675906654,7.0,19.672315572906,19.05255888325765,19.672315572906,18.384776310850235,2.0,12.206555615733702,20.024984394500787,19.05255888325765,18.81488772222678,19.05255888325765,19.026297590440446,18.81488772222678
alternet,9.0,,18.49324200890693,19.05255888325765,18.384776310850235,14.89966442575134,19.672315572906,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0,7.0,19.672315572906,20.346989949375804,9.899494936611665,1.0,18.49324200890693,19.672315572906,15.937377450509228,19.05255888325765,0.0,19.05255888325765,8.0,1.0,18.411952639521967,5.0,1.0,5.0,18.627936010197157,19.672315572906,2.0,0.0,17.804493814764857,14.89966442575134,18.411952639521967,18.411952639521967,7.810249675906654,7.0,19.672315572906,19.05255888325765,19.672315572906,18.384776310850235,2.0,12.206555615733702,20.024984394500787,19.05255888325765,18.81488772222678,19.05255888325765,19.026297590440446,18.81488772222678,14.45683229480096,19.672315572906,19.05255888325765
americanconservative,11.045361017187261,18.49324200890693,,14.89966442575134,19.672315572906,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0,7.0,19.672315572906,20.346989949375804,9.899494936611665,1.0,18.49324200890693,19.672315572906,15.937377450509228,19.05255888325765,0.0,19.05255888325765,8.0,1.0,18.411952639521967,5.0,1.0,5.0,18.627936010197157,19.672315572906,2.0,0.0,17.804493814764857,14.89966442575134,18.411952639521967,18.411952639521967,7.810249675906654,7.0,19.672315572906,19.05255888325765,19.672315572906,18.384776310850235,2.0,12.206555615733702,20.024984394500787,19.05255888325765,18.81488772222678,19.05255888325765,19.026297590440446,18.81488772222678,14.45683229480096,19.672315572906,19.05255888325765,7.0,2.0
americanspectator,11.045361017187261,19.05255888325765,14.89966442575134,,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0,7.0,19.672315572906,20.346989949375804,9.899494936611665,1.0,18.49324200890693,19.672315572906,15.937377450509228,19.05255888325765,0.0,19.05255888325765,8.0,1.0,18.411952639521967,5.0,1.0,5.0,18.627936010197157,19.672315572906,2.0,0.0,17.804493814764857,14.89966442575134,18.411952639521967,18.411952639521967,7.810249675906654,7.0,19.672315572906,19.05255888325765,19.672315572906,18.384776310850235,2.0,12.206555615733702,20.024984394500787,19.05255888325765,18.81488772222678,19.05255888325765,19.026297590440446,18.81488772222678,14.45683229480096,19.672315572906,19.05255888325765,7.0,2.0,6.0
americanthinker,2.0,18.384776310850235,19.672315572906,0.0,,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0,7.0,19.672315572906,20.346989949375804,9.899494936611665,1.0,18.49324200890693,19.672315572906,15.937377450509228,19.05255888325765,0.0,19.05255888325765,8.0,1.0,18.411952639521967,5.0,1.0,5.0,18.627936010197157,19.672315572906,2.0,0.0,17.804493814764857,14.89966442575134,18.411952639521967,18.411952639521967,7.810249675906654,7.0,19.672315572906,19.05255888325765,19.672315572906,18.384776310850235,2.0,12.206555615733702,20.024984394500787,19.05255888325765,18.81488772222678,19.05255888325765,19.026297590440446,18.81488772222678,14.45683229480096,19.672315572906,19.05255888325765,7.0,2.0,6.0
antiwar,18.49324200890693,14.89966442575134,0.0,18.384776310850235,18.384776310850235,,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0,7.0,19.672315572906,20.346989949375804,9.899494936611665,1.0,18.49324200890693,19.672315572906,15.937377450509228,19.05255888325765,0.0,19.05255888325765,8.0,1.0,18.411952639521967,5.0,1.0,5.0,18.627936010197157,19.672315572906,2.0,0.0,17.804493814764857,14.89966442575134,18.411952639521967,18.411952639521967,7.810249675906654,7.0,19.672315572906,19.05255888325765,19.672315572906,18.384776310850235,2.0,12.206555615733702,20.024984394500787,19.05255888325765,18.81488772222678,19.05255888325765,19.026297590440446,18.81488772222678,14.45683229480096,19.672315572906,19.05255888325765,7.0,2.0
ap,19.05255888325765,19.672315572906,18.384776310850235,18.384776310850235,18.384776310850235,18.384776310850235,,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0,7.0,19.672315572906,20.346989949375804,9.899494936611665,1.0,18.49324200890693,19.672315572906,15.937377450509228,19.05255888325765,0.0,19.05255888325765,8.0,1.0,18.411952639521967,5.0,1.0,5.0,18.627936010197157,19.672315572906,2.0,0.0,17.804493814764857,14.89966442575134,18.411952639521967,18.411952639521967,7.810249675906654,7.0,19.672315572906,19.05255888325765,19.672315572906,18.384776310850235,2.0,12.206555615733702,20.024984394500787,19.05255888325765,18.81488772222678,19.05255888325765,19.026297590440446,18.81488772222678,14.45683229480096,19.672315572906,19.05255888325765
atlantic,18.384776310850235,0.0,18.384776310850235,9.219544457292887,9.219544457292887,18.384776310850235,0.0,,14.89966442575134,19.672315572906,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0,7.0,19.672315572906,20.346989949375804,9.899494936611665,1.0,18.49324200890693,19.672315572906,15.937377450509228,19.05255888325765,0.0,19.05255888325765,8.0,1.0,18.411952639521967,5.0,1.0,5.0,18.627936010197157,19.672315572906,2.0,0.0,17.804493814764857,14.89966442575134,18.411952639521967,18.411952639521967,7.810249675906654,7.0,19.672315572906,19.05255888325765,19.672315572906,18.384776310850235,2.0,12.206555615733702,20.024984394500787,19.05255888325765,18.81488772222678,19.05255888325765,19.026297590440446,18.81488772222678
axios,14.89966442575134,18.384776310850235,9.219544457292887,9.899494936611665,9.899494936611665,9.219544457292887,18.384776310850235,14.89966442575134,,18.49324200890693,19.05255888325765,18.384776310850235,14.89966442575134,19.672315572906,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0,7.0,19.672315572906,20.346989949375804,9.899494936611665,1.0,18.49324200890693,19.672315572906,15.937377450509228,19.05255888325765,0.0,19.05255888325765,8.0,1.0,18.411952639521967,5.0,1.0,5.0,18.627936010197157,19.672315572906,2.0,0.0,17.804493814764857,14.89966442575134,18.411952639521967,18.411952639521967,7.810249675906654,7.0,19.672315572906,19.05255888325765,19.672315572906,18.384776310850235,2.0,12.206555615733702,20.024984394500787,19.05255888325765
bbc,19.672315572906,18.384776310850235,9.899494936611665,0.0,0.0,9.899494936611665,18.384776310850235,19.672315572906,18.49324200890693,,9.0,11.045361017187261,11.045361017187261,2.0,18.49324200890693,19.05255888325765,18.384776310850235,14.89966442575134,19.672315572906,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0,7.0,19.672315572906,20.346989949375804,9.899494936611665,1.0,18.49324200890693,19.672315572906,15.937377450509228,19.05255888325765,0.0,19.05255888325765,8.0,1.0,18.411952639521967,5.0,1.0,5.0,18.627936010197157,19.672315572906,2.0,0.0,17.804493814764857,14.89966442575134,18.411952639521967,18.411952639521967,7.810249675906654,7.0,19.672315572906,19.05255888325765,19.672315572906
bloomberg,0.0,9.219544457292887,0.0,5.0,5.0,0.0,9.219544457292887,0.0,19.05255888325765,9.0,,10.04987562112089,1.0,2.23606797749979,14.866068747318506,11.0,9.0,11.045361017187261,11.045361017187261,2.0,18.49324200890693,19.05255888325765,18.384776310850235,14.89966442575134,19.672315572906,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0,7.0,19.672315572906,20.346989949375804,9.899494936611665,1.0,18.49324200890693,19.672315572906,15.937377450509228,19.05255888325765,0.0,19.05255888325765,8.0,1.0,18.411952639521967,5.0,1.0,5.0,18.627936010197157,19.672315572906,2.0,0.0,17.804493814764857,14.89966442575134,18.411952639521967
breitbart,18.384776310850235,9.899494936611665,5.0,1.0,1.0,5.0,9.899494936611665,18.384776310850235,18.384776310850235,11.045361017187261,10.04987562112089,,2.23606797749979,9.0,11.045361017187261,2.0,0.0,11.045361017187261,10.04987562112089,1.0,2.23606797749979,14.866068747318506,11.0,9.0,11.045361017187261,11.045361017187261,2.0,18.49324200890693,19.05255888325765,18.384776310850235,14.89966442575134,19.672315572906,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0,7.0,19.672315572906,20.346989949375804,9.899494936611665,1.0,18.49324200890693,19.672315572906,15.937377450509228,19.05255888325765,0.0,19.05255888325765,8.0,1.0,18.411952639521967,5.0,1.0,5.0
businessinsider,18.384776310850235,0.0,1.0,19.672315572906,19.672315572906,1.0,0.0,18.384776310850235,14.89966442575134,11.045361017187261,1.0,2.23606797749979,,0.0,9.0,11.045361017187261,0.0,14.866068747318506,11.0,9.0,2.23606797749979,9.0,11.045361017187261,2.0,0.0,11.045361017187261,10.04987562112089,1.0,2.23606797749979,14.866068747318506,11.0,9.0,11.045361017187261,11.045361017187261,2.0,18.49324200890693,19.05255888325765,18.384776310850235,14.89966442575134,19.672315572906,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0,7.0,19.672315572906,20.346989949375804,9.899494936611665,1.0,18.49324200890693,19.672315572906,15.937377450509228,19.05255888325765
buzzfeed,9.219544457292887,5.0,19.672315572906,18.411952639521967,18.411952639521967,19.672315572906,5.0,9.219544457292887,19.672315572906,2.0,2.23606797749979,9.0,0.0,,1.4142135623730951,1.4142135623730951,9.0,0.0,2.23606797749979,9.0,11.045361017187261,2.0,0.0,9.0,11.045361017187261,0.0,14.866068747318506,11.0,9.0,2.23606797749979,9.0,11.045361017187261,2.0,0.0,11.045361017187261,10.04987562112089,1.0,2.23606797749979,14.866068747318506,11.0,9.0,11.045361017187261,11.045361017187261,2.0,18.49324200890693,19.05255888325765,18.384776310850235,14.89966442575134,19.672315572906,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422,15.937377450509228,7.0,18.627936010197157,0.0,5.0,19.672315572906,2.0,0.0,19.05255888325765,0.0
canary,9.899494936611665,1.0,18.411952639521967,13.892443989449804,13.892443989449804,18.411952639521967,1.0,9.899494936611665,0.0,18.49324200890693,14.866068747318506,11.045361017187261,9.0,1.4142135623730951,,15.937377450509228,16.431676725154983,14.7648230602334,1.4142135623730951,10.04987562112089,1.4142135623730951,2.23606797749979,10.04987562112089,12.0,1.4142135623730951,1.4142135623730951,9.0,0.0,2.23606797749979,9.0,11.045361017187261,2.0,0.0,9.0,11.045361017187261,0.0,14.866068747318506,11.0,9.0,2.23606797749979,9.0,11.045361017187261,2.0,0.0,11.045361017187261,10.04987562112089,1.0,2.23606797749979,14.866068747318506,11.0,9.0,11.045361017187261,11.045361017187261,2.0,18.49324200890693,19.05255888325765,18.384776310850235,14.89966442575134,19.672315572906,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906,18.411952639521967,13.892443989449804,0.0,19.672315572906,19.672315572906,0.0,7.0,0.0,18.49324200890693,5.0,20.049937655763422
cbs,0.0,19.672315572906,13.892443989449804,0.0,0.0,13.892443989449804,19.672315572906,0.0,18.384776310850235,19.05255888325765,11.0,2.0,11.045361017187261,1.4142135623730951,15.937377450509228,,18.49324200890693,15.394804318340652,20.46948949045872,19.672315572906,15.937377450509228,14.7648230602334,9.1104335791443,14.7648230602334,16.15549442140351,9.1104335791443,15.937377450509228,16.431676725154983,14.7648230602334,1.4142135623730951,10.04987562112089,1.4142135623730951,2.23606797749979,10.04987562112089,12.0,1.4142135623730951,1.4142135623730951,9.0,0.0,2.23606797749979,9.0,11.045361017187261,2.0,0.0,9.0,11.045361017187261,0.0,14.866068747318506,11.0,9.0,2.23606797749979,9.0,11.045361017187261,2.0,0.0,11.045361017187261,10.04987562112089,1.0,2.23606797749979,14.866068747318506,11.0,9.0,11.045361017187261,11.045361017187261,2.0,18.49324200890693,19.05255888325765,18.384776310850235,14.89966442575134,19.672315572906,0.0,18.384776310850235,18.384776310850235,9.219544457292887,9.899494936611665,0.0,5.0,1.0,19.672315572906
cnbc,5.0,18.411952639521967,0.0,19.672315572906,19.672315572906,0.0,18.411952639521967,5.0,18.384776310850235,18.384776310850235,9.0,0.0,0.0,9.0,16.431676725154983,18.49324200890693,,7.0710678118654755,4.0,12.529964086141668,7.0,5.0,11.180339887498949,20.71231517720798,19.672315572906,18.49324200890693,19.672315572906,19.849433241279208,18.49324200890693,15.394804318340652,20.46948949045872,19.672315572906,15.937377450509228,14.7648230602334,9.1104335791443,14.7648230602334,16.15549442140351,9.1104335791443,15.937377450509228,16.431676725154983,14.7648230602334,1.4142135623730951,10.04987562112089,1.4142135623730951,2.23606797749979,10.04987562112089,12.0,1.4142135623730951,1.4142135623730951,9.0,0.0,2.23606797749979,9.0,11.045361017187261,2.0,0.0,9.0,11.045361017187261,0.0,14.866068747318506,11.0,9.0,2.23606797749979,9.0,11.045361017187261,2.0,0.0,11.045361017187261,10.04987562112089,1.0,2.23606797749979,14.866068747318506,11.0,9.0,11.045361017187261,11.045361017187261,2.0,18.49324200890693,19.05255888325765
