,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,guardian,huffingtonpost,intercept,motherjones,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,usatoday,vox,wapo,wsj
aljazeera,,35.81898937714463,8.0,4.0,8.94427190999916,21.656407827707714,20.808652046684813,6.708203932499369,9.1104335791443,6.0,11.532562594670797,16.186414056238647,4.47213595499958,17.0,7.681145747868608,21.0,6.4031242374328485,27.27636339397171,16.0312195418814,12.206555615733702,24.1039415863879,12.041594578792296,7.211102550927978,13.076696830622021,16.15549442140351,11.832159566199232,13.152946437965905,20.024984394500787,18.867962264113206,24.919871588754223,12.328828005937952,18.384776310850235
alternet,35.81898937714463,,21.656407827707714,20.808652046684813,6.708203932499369,9.1104335791443,6.0,11.532562594670797,16.186414056238647,4.47213595499958,17.0,7.681145747868608,21.0,6.4031242374328485,27.27636339397171,16.0312195418814,12.206555615733702,24.1039415863879,12.041594578792296,7.211102550927978,13.076696830622021,16.15549442140351,11.832159566199232,13.152946437965905,20.024984394500787,18.867962264113206,24.919871588754223,12.328828005937952,18.384776310850235,21.470910553583888,19.924858845171276,25.079872407968907
ap,8.0,21.656407827707714,,9.1104335791443,6.0,11.532562594670797,16.186414056238647,4.47213595499958,17.0,7.681145747868608,21.0,6.4031242374328485,27.27636339397171,16.0312195418814,12.206555615733702,24.1039415863879,12.041594578792296,7.211102550927978,13.076696830622021,16.15549442140351,11.832159566199232,13.152946437965905,20.024984394500787,18.867962264113206,24.919871588754223,12.328828005937952,18.384776310850235,21.470910553583888,19.924858845171276,25.079872407968907,18.110770276274835,22.67156809750927
atlantic,4.0,20.808652046684813,9.1104335791443,,11.532562594670797,16.186414056238647,4.47213595499958,17.0,7.681145747868608,21.0,6.4031242374328485,27.27636339397171,16.0312195418814,12.206555615733702,24.1039415863879,12.041594578792296,7.211102550927978,13.076696830622021,16.15549442140351,11.832159566199232,13.152946437965905,20.024984394500787,18.867962264113206,24.919871588754223,12.328828005937952,18.384776310850235,21.470910553583888,19.924858845171276,25.079872407968907,18.110770276274835,22.67156809750927,17.72004514666935
breitbart,8.94427190999916,6.708203932499369,6.0,11.532562594670797,,16.186414056238647,4.47213595499958,17.0,7.681145747868608,21.0,6.4031242374328485,27.27636339397171,16.0312195418814,12.206555615733702,24.1039415863879,12.041594578792296,7.211102550927978,13.076696830622021,16.15549442140351,11.832159566199232,13.152946437965905,20.024984394500787,18.867962264113206,24.919871588754223,12.328828005937952,18.384776310850235,21.470910553583888,19.924858845171276,25.079872407968907,18.110770276274835,22.67156809750927,17.72004514666935
buzzfeed,21.656407827707714,9.1104335791443,11.532562594670797,16.186414056238647,16.186414056238647,,16.186414056238647,4.47213595499958,17.0,7.681145747868608,21.0,6.4031242374328485,27.27636339397171,16.0312195418814,12.206555615733702,24.1039415863879,12.041594578792296,7.211102550927978,13.076696830622021,16.15549442140351,11.832159566199232,13.152946437965905,20.024984394500787,18.867962264113206,24.919871588754223,12.328828005937952,18.384776310850235,21.470910553583888,19.924858845171276,25.079872407968907,18.110770276274835,22.67156809750927
cbs,20.808652046684813,6.0,16.186414056238647,4.47213595499958,4.47213595499958,16.186414056238647,,11.532562594670797,16.186414056238647,4.47213595499958,17.0,7.681145747868608,21.0,6.4031242374328485,27.27636339397171,16.0312195418814,12.206555615733702,24.1039415863879,12.041594578792296,7.211102550927978,13.076696830622021,16.15549442140351,11.832159566199232,13.152946437965905,20.024984394500787,18.867962264113206,24.919871588754223,12.328828005937952,18.384776310850235,21.470910553583888,19.924858845171276,25.079872407968907
cnn,6.708203932499369,11.532562594670797,4.47213595499958,17.0,17.0,4.47213595499958,11.532562594670797,,9.1104335791443,6.0,11.532562594670797,16.186414056238647,4.47213595499958,17.0,7.681145747868608,21.0,6.4031242374328485,27.27636339397171,16.0312195418814,12.206555615733702,24.1039415863879,12.041594578792296,7.211102550927978,13.076696830622021,16.15549442140351,11.832159566199232,13.152946437965905,20.024984394500787,18.867962264113206,24.919871588754223,12.328828005937952,18.384776310850235
commondreams,9.1104335791443,16.186414056238647,17.0,7.681145747868608,7.681145747868608,17.0,16.186414056238647,9.1104335791443,,21.656407827707714,20.808652046684813,6.708203932499369,9.1104335791443,6.0,11.532562594670797,16.186414056238647,4.47213595499958,17.0,7.681145747868608,21.0,6.4031242374328485,27.27636339397171,16.0312195418814,12.206555615733702,24.1039415863879,12.041594578792296,7.211102550927978,13.076696830622021,16.15549442140351,11.832159566199232,13.152946437965905,20.024984394500787
conversation,6.0,4.47213595499958,7.681145747868608,21.0,21.0,7.681145747868608,4.47213595499958,6.0,21.656407827707714,,35.81898937714463,8.0,4.0,8.94427190999916,21.656407827707714,20.808652046684813,6.708203932499369,9.1104335791443,6.0,11.532562594670797,16.186414056238647,4.47213595499958,17.0,7.681145747868608,21.0,6.4031242374328485,27.27636339397171,16.0312195418814,12.206555615733702,24.1039415863879,12.041594578792296,7.211102550927978
