,aljazeera,alternet,americanconservative,antiwar,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,truthdig,usatoday,vice,vox,wapo,wsj
aljazeera,,12.083045973594572,20.591260281974,13.0,18.24828759089466,18.275666882497067,15.297058540778355,26.019223662515376,9.0,11.704699910719626,3.1622776601683795,12.68857754044952,10.099504938362077,5.916079783099616,11.445523142259598,0.0,34.597687784012386,3.1622776601683795,20.591260281974,6.164414002968976,30.380915061926625,1.4142135623730951,3.0,1.4142135623730951,6.4031242374328485,24.55605831561735,17.029386365926403,22.0,3.0,4.242640687119285,15.329709716755891,10.954451150103322,6.0,18.681541692269406,19.4164878389476,15.066519173319364,24.1039415863879,10.099504938362077,15.524174696260024,2.449489742783178,0.0,6.782329983125268,9.1104335791443,3.605551275463989,1.4142135623730951,8.0,23.706539182259394,14.177446878757825,5.0990195135927845,9.433981132056603,16.278820596099706,6.082762530298219,12.727922061357855
alternet,12.083045973594572,,18.275666882497067,15.297058540778355,26.019223662515376,9.0,11.704699910719626,3.1622776601683795,12.68857754044952,10.099504938362077,5.916079783099616,11.445523142259598,0.0,34.597687784012386,3.1622776601683795,20.591260281974,6.164414002968976,30.380915061926625,1.4142135623730951,3.0,1.4142135623730951,6.4031242374328485,24.55605831561735,17.029386365926403,22.0,3.0,4.242640687119285,15.329709716755891,10.954451150103322,6.0,18.681541692269406,19.4164878389476,15.066519173319364,24.1039415863879,10.099504938362077,15.524174696260024,2.449489742783178,0.0,6.782329983125268,9.1104335791443,3.605551275463989,1.4142135623730951,8.0,23.706539182259394,14.177446878757825,5.0990195135927845,9.433981132056603,16.278820596099706,6.082762530298219,12.727922061357855,13.076696830622021,19.261360284258224,1.4142135623730951
americanconservative,20.591260281974,18.275666882497067,,9.0,11.704699910719626,3.1622776601683795,12.68857754044952,10.099504938362077,5.916079783099616,11.445523142259598,0.0,34.597687784012386,3.1622776601683795,20.591260281974,6.164414002968976,30.380915061926625,1.4142135623730951,3.0,1.4142135623730951,6.4031242374328485,24.55605831561735,17.029386365926403,22.0,3.0,4.242640687119285,15.329709716755891,10.954451150103322,6.0,18.681541692269406,19.4164878389476,15.066519173319364,24.1039415863879,10.099504938362077,15.524174696260024,2.449489742783178,0.0,6.782329983125268,9.1104335791443,3.605551275463989,1.4142135623730951,8.0,23.706539182259394,14.177446878757825,5.0990195135927845,9.433981132056603,16.278820596099706,6.082762530298219,12.727922061357855,13.076696830622021,19.261360284258224,1.4142135623730951,17.944358444926362,8.54400374531753
antiwar,13.0,15.297058540778355,9.0,,3.1622776601683795,12.68857754044952,10.099504938362077,5.916079783099616,11.445523142259598,0.0,34.597687784012386,3.1622776601683795,20.591260281974,6.164414002968976,30.380915061926625,1.4142135623730951,3.0,1.4142135623730951,6.4031242374328485,24.55605831561735,17.029386365926403,22.0,3.0,4.242640687119285,15.329709716755891,10.954451150103322,6.0,18.681541692269406,19.4164878389476,15.066519173319364,24.1039415863879,10.099504938362077,15.524174696260024,2.449489742783178,0.0,6.782329983125268,9.1104335791443,3.605551275463989,1.4142135623730951,8.0,23.706539182259394,14.177446878757825,5.0990195135927845,9.433981132056603,16.278820596099706,6.082762530298219,12.727922061357855,13.076696830622021,19.261360284258224,1.4142135623730951,17.944358444926362,8.54400374531753,21.656407827707714
ap,18.24828759089466,26.019223662515376,11.704699910719626,3.1622776601683795,,12.68857754044952,10.099504938362077,5.916079783099616,11.445523142259598,0.0,34.597687784012386,3.1622776601683795,20.591260281974,6.164414002968976,30.380915061926625,1.4142135623730951,3.0,1.4142135623730951,6.4031242374328485,24.55605831561735,17.029386365926403,22.0,3.0,4.242640687119285,15.329709716755891,10.954451150103322,6.0,18.681541692269406,19.4164878389476,15.066519173319364,24.1039415863879,10.099504938362077,15.524174696260024,2.449489742783178,0.0,6.782329983125268,9.1104335791443,3.605551275463989,1.4142135623730951,8.0,23.706539182259394,14.177446878757825,5.0990195135927845,9.433981132056603,16.278820596099706,6.082762530298219,12.727922061357855,13.076696830622021,19.261360284258224,1.4142135623730951,17.944358444926362,8.54400374531753,21.656407827707714
atlantic,18.275666882497067,9.0,3.1622776601683795,12.68857754044952,12.68857754044952,,12.68857754044952,10.099504938362077,5.916079783099616,11.445523142259598,0.0,34.597687784012386,3.1622776601683795,20.591260281974,6.164414002968976,30.380915061926625,1.4142135623730951,3.0,1.4142135623730951,6.4031242374328485,24.55605831561735,17.029386365926403,22.0,3.0,4.242640687119285,15.329709716755891,10.954451150103322,6.0,18.681541692269406,19.4164878389476,15.066519173319364,24.1039415863879,10.099504938362077,15.524174696260024,2.449489742783178,0.0,6.782329983125268,9.1104335791443,3.605551275463989,1.4142135623730951,8.0,23.706539182259394,14.177446878757825,5.0990195135927845,9.433981132056603,16.278820596099706,6.082762530298219,12.727922061357855,13.076696830622021,19.261360284258224,1.4142135623730951,17.944358444926362,8.54400374531753
axios,15.297058540778355,11.704699910719626,12.68857754044952,10.099504938362077,10.099504938362077,12.68857754044952,,3.1622776601683795,12.68857754044952,10.099504938362077,5.916079783099616,11.445523142259598,0.0,34.597687784012386,3.1622776601683795,20.591260281974,6.164414002968976,30.380915061926625,1.4142135623730951,3.0,1.4142135623730951,6.4031242374328485,24.55605831561735,17.029386365926403,22.0,3.0,4.242640687119285,15.329709716755891,10.954451150103322,6.0,18.681541692269406,19.4164878389476,15.066519173319364,24.1039415863879,10.099504938362077,15.524174696260024,2.449489742783178,0.0,6.782329983125268,9.1104335791443,3.605551275463989,1.4142135623730951,8.0,23.706539182259394,14.177446878757825,5.0990195135927845,9.433981132056603,16.278820596099706,6.082762530298219,12.727922061357855,13.076696830622021,19.261360284258224,1.4142135623730951
bbc,26.019223662515376,3.1622776601683795,10.099504938362077,5.916079783099616,5.916079783099616,10.099504938362077,3.1622776601683795,,9.0,11.704699910719626,3.1622776601683795,12.68857754044952,10.099504938362077,5.916079783099616,11.445523142259598,0.0,34.597687784012386,3.1622776601683795,20.591260281974,6.164414002968976,30.380915061926625,1.4142135623730951,3.0,1.4142135623730951,6.4031242374328485,24.55605831561735,17.029386365926403,22.0,3.0,4.242640687119285,15.329709716755891,10.954451150103322,6.0,18.681541692269406,19.4164878389476,15.066519173319364,24.1039415863879,10.099504938362077,15.524174696260024,2.449489742783178,0.0,6.782329983125268,9.1104335791443,3.605551275463989,1.4142135623730951,8.0,23.706539182259394,14.177446878757825,5.0990195135927845,9.433981132056603,16.278820596099706,6.082762530298219,12.727922061357855
breitbart,9.0,12.68857754044952,5.916079783099616,11.445523142259598,11.445523142259598,5.916079783099616,12.68857754044952,9.0,,18.275666882497067,15.297058540778355,26.019223662515376,9.0,11.704699910719626,3.1622776601683795,12.68857754044952,10.099504938362077,5.916079783099616,11.445523142259598,0.0,34.597687784012386,3.1622776601683795,20.591260281974,6.164414002968976,30.380915061926625,1.4142135623730951,3.0,1.4142135623730951,6.4031242374328485,24.55605831561735,17.029386365926403,22.0,3.0,4.242640687119285,15.329709716755891,10.954451150103322,6.0,18.681541692269406,19.4164878389476,15.066519173319364,24.1039415863879,10.099504938362077,15.524174696260024,2.449489742783178,0.0,6.782329983125268,9.1104335791443,3.605551275463989,1.4142135623730951,8.0,23.706539182259394,14.177446878757825,5.0990195135927845
businessinsider,11.704699910719626,10.099504938362077,11.445523142259598,0.0,0.0,11.445523142259598,10.099504938362077,11.704699910719626,18.275666882497067,,12.083045973594572,20.591260281974,13.0,18.24828759089466,18.275666882497067,15.297058540778355,26.019223662515376,9.0,11.704699910719626,3.1622776601683795,12.68857754044952,10.099504938362077,5.916079783099616,11.445523142259598,0.0,34.597687784012386,3.1622776601683795,20.591260281974,6.164414002968976,30.380915061926625,1.4142135623730951,3.0,1.4142135623730951,6.4031242374328485,24.55605831561735,17.029386365926403,22.0,3.0,4.242640687119285,15.329709716755891,10.954451150103322,6.0,18.681541692269406,19.4164878389476,15.066519173319364,24.1039415863879,10.099504938362077,15.524174696260024,2.449489742783178,0.0,6.782329983125268,9.1104335791443,3.605551275463989
