,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,bbc,breitbart,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,peoplesdaily,pjmedia,rawstory,redstate,rt,shadowproof,slate,socialistproject,spectator,strategicculture,truthdig,usatoday,veteranstoday,vice,vox,wapo
aljazeera,,12.24744871391589,13.638181696985855,18.138357147217054,8.306623862918075,37.53664875824692,20.639767440550294,16.09347693943108,39.71145930332956,23.043437243605826,13.076696830622021,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195,32.449961479175904,21.0,2.0,21.307275752662516,41.036569057366385,20.024984394500787,33.301651610693426,29.79932885150268,31.400636936215164,31.016124838541646,22.045407685048602,30.822070014844883,1.0,25.019992006393608,14.317821063276353,17.029386365926403,12.206555615733702,19.313207915827967,15.811388300841896,20.12461179749811,26.70205984563738,22.737634001804146,15.811388300841896,14.352700094407323,13.19090595827292,21.95449840010015,27.51363298439521,20.12461179749811,36.124783736376884,28.861739379323623,27.65863337187866,19.235384061671343,16.186414056238647,36.26292872893749,19.697715603592208,32.07802986469088,27.477263328068172,15.0,19.924858845171276
alternet,12.24744871391589,,37.53664875824692,20.639767440550294,16.09347693943108,39.71145930332956,23.043437243605826,13.076696830622021,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195,32.449961479175904,21.0,2.0,21.307275752662516,41.036569057366385,20.024984394500787,33.301651610693426,29.79932885150268,31.400636936215164,31.016124838541646,22.045407685048602,30.822070014844883,1.0,25.019992006393608,14.317821063276353,17.029386365926403,12.206555615733702,19.313207915827967,15.811388300841896,20.12461179749811,26.70205984563738,22.737634001804146,15.811388300841896,14.352700094407323,13.19090595827292,21.95449840010015,27.51363298439521,20.12461179749811,36.124783736376884,28.861739379323623,27.65863337187866,19.235384061671343,16.186414056238647,36.26292872893749,19.697715603592208,32.07802986469088,27.477263328068172,15.0,19.924858845171276,19.235384061671343,21.6794833886788,26.13426869074396
americanconservative,13.638181696985855,37.53664875824692,,39.71145930332956,23.043437243605826,13.076696830622021,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195,32.449961479175904,21.0,2.0,21.307275752662516,41.036569057366385,20.024984394500787,33.301651610693426,29.79932885150268,31.400636936215164,31.016124838541646,22.045407685048602,30.822070014844883,1.0,25.019992006393608,14.317821063276353,17.029386365926403,12.206555615733702,19.313207915827967,15.811388300841896,20.12461179749811,26.70205984563738,22.737634001804146,15.811388300841896,14.352700094407323,13.19090595827292,21.95449840010015,27.51363298439521,20.12461179749811,36.124783736376884,28.861739379323623,27.65863337187866,19.235384061671343,16.186414056238647,36.26292872893749,19.697715603592208,32.07802986469088,27.477263328068172,15.0,19.924858845171276,19.235384061671343,21.6794833886788,26.13426869074396,28.792360097775937,32.4037034920393
americanspectator,18.138357147217054,20.639767440550294,39.71145930332956,,13.076696830622021,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195,32.449961479175904,21.0,2.0,21.307275752662516,41.036569057366385,20.024984394500787,33.301651610693426,29.79932885150268,31.400636936215164,31.016124838541646,22.045407685048602,30.822070014844883,1.0,25.019992006393608,14.317821063276353,17.029386365926403,12.206555615733702,19.313207915827967,15.811388300841896,20.12461179749811,26.70205984563738,22.737634001804146,15.811388300841896,14.352700094407323,13.19090595827292,21.95449840010015,27.51363298439521,20.12461179749811,36.124783736376884,28.861739379323623,27.65863337187866,19.235384061671343,16.186414056238647,36.26292872893749,19.697715603592208,32.07802986469088,27.477263328068172,15.0,19.924858845171276,19.235384061671343,21.6794833886788,26.13426869074396,28.792360097775937,32.4037034920393,8.602325267042627
americanthinker,8.306623862918075,16.09347693943108,23.043437243605826,13.076696830622021,,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195,32.449961479175904,21.0,2.0,21.307275752662516,41.036569057366385,20.024984394500787,33.301651610693426,29.79932885150268,31.400636936215164,31.016124838541646,22.045407685048602,30.822070014844883,1.0,25.019992006393608,14.317821063276353,17.029386365926403,12.206555615733702,19.313207915827967,15.811388300841896,20.12461179749811,26.70205984563738,22.737634001804146,15.811388300841896,14.352700094407323,13.19090595827292,21.95449840010015,27.51363298439521,20.12461179749811,36.124783736376884,28.861739379323623,27.65863337187866,19.235384061671343,16.186414056238647,36.26292872893749,19.697715603592208,32.07802986469088,27.477263328068172,15.0,19.924858845171276,19.235384061671343,21.6794833886788,26.13426869074396,28.792360097775937,32.4037034920393,8.602325267042627
antiwar,37.53664875824692,39.71145930332956,13.076696830622021,20.12461179749811,20.12461179749811,,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195,32.449961479175904,21.0,2.0,21.307275752662516,41.036569057366385,20.024984394500787,33.301651610693426,29.79932885150268,31.400636936215164,31.016124838541646,22.045407685048602,30.822070014844883,1.0,25.019992006393608,14.317821063276353,17.029386365926403,12.206555615733702,19.313207915827967,15.811388300841896,20.12461179749811,26.70205984563738,22.737634001804146,15.811388300841896,14.352700094407323,13.19090595827292,21.95449840010015,27.51363298439521,20.12461179749811,36.124783736376884,28.861739379323623,27.65863337187866,19.235384061671343,16.186414056238647,36.26292872893749,19.697715603592208,32.07802986469088,27.477263328068172,15.0,19.924858845171276,19.235384061671343,21.6794833886788,26.13426869074396,28.792360097775937,32.4037034920393
ap,20.639767440550294,23.043437243605826,20.12461179749811,20.808652046684813,20.808652046684813,20.12461179749811,,13.076696830622021,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195,32.449961479175904,21.0,2.0,21.307275752662516,41.036569057366385,20.024984394500787,33.301651610693426,29.79932885150268,31.400636936215164,31.016124838541646,22.045407685048602,30.822070014844883,1.0,25.019992006393608,14.317821063276353,17.029386365926403,12.206555615733702,19.313207915827967,15.811388300841896,20.12461179749811,26.70205984563738,22.737634001804146,15.811388300841896,14.352700094407323,13.19090595827292,21.95449840010015,27.51363298439521,20.12461179749811,36.124783736376884,28.861739379323623,27.65863337187866,19.235384061671343,16.186414056238647,36.26292872893749,19.697715603592208,32.07802986469088,27.477263328068172,15.0,19.924858845171276,19.235384061671343,21.6794833886788,26.13426869074396
atlantic,16.09347693943108,13.076696830622021,20.808652046684813,14.0,14.0,20.808652046684813,13.076696830622021,,39.71145930332956,23.043437243605826,13.076696830622021,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195,32.449961479175904,21.0,2.0,21.307275752662516,41.036569057366385,20.024984394500787,33.301651610693426,29.79932885150268,31.400636936215164,31.016124838541646,22.045407685048602,30.822070014844883,1.0,25.019992006393608,14.317821063276353,17.029386365926403,12.206555615733702,19.313207915827967,15.811388300841896,20.12461179749811,26.70205984563738,22.737634001804146,15.811388300841896,14.352700094407323,13.19090595827292,21.95449840010015,27.51363298439521,20.12461179749811,36.124783736376884,28.861739379323623,27.65863337187866,19.235384061671343,16.186414056238647,36.26292872893749,19.697715603592208,32.07802986469088,27.477263328068172,15.0,19.924858845171276
bbc,39.71145930332956,20.12461179749811,14.0,7.0,7.0,14.0,20.12461179749811,39.71145930332956,,37.53664875824692,20.639767440550294,16.09347693943108,39.71145930332956,23.043437243605826,13.076696830622021,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195,32.449961479175904,21.0,2.0,21.307275752662516,41.036569057366385,20.024984394500787,33.301651610693426,29.79932885150268,31.400636936215164,31.016124838541646,22.045407685048602,30.822070014844883,1.0,25.019992006393608,14.317821063276353,17.029386365926403,12.206555615733702,19.313207915827967,15.811388300841896,20.12461179749811,26.70205984563738,22.737634001804146,15.811388300841896,14.352700094407323,13.19090595827292,21.95449840010015,27.51363298439521,20.12461179749811,36.124783736376884,28.861739379323623,27.65863337187866,19.235384061671343,16.186414056238647,36.26292872893749,19.697715603592208
breitbart,23.043437243605826,20.808652046684813,7.0,35.0,35.0,7.0,20.808652046684813,23.043437243605826,37.53664875824692,,12.24744871391589,13.638181696985855,18.138357147217054,8.306623862918075,37.53664875824692,20.639767440550294,16.09347693943108,39.71145930332956,23.043437243605826,13.076696830622021,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195,32.449961479175904,21.0,2.0,21.307275752662516,41.036569057366385,20.024984394500787,33.301651610693426,29.79932885150268,31.400636936215164,31.016124838541646,22.045407685048602,30.822070014844883,1.0,25.019992006393608,14.317821063276353,17.029386365926403,12.206555615733702,19.313207915827967,15.811388300841896,20.12461179749811,26.70205984563738,22.737634001804146,15.811388300841896,14.352700094407323,13.19090595827292,21.95449840010015,27.51363298439521,20.12461179749811,36.124783736376884,28.861739379323623
buzzfeed,13.076696830622021,14.0,35.0,30.23243291566195,30.23243291566195,35.0,14.0,13.076696830622021,20.639767440550294,12.24744871391589,,9.219544457292887,9.1104335791443,16.30950643030009,8.06225774829855,11.445523142259598,12.24744871391589,13.638181696985855,18.138357147217054,8.306623862918075,37.53664875824692,20.639767440550294,16.09347693943108,39.71145930332956,23.043437243605826,13.076696830622021,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195,32.449961479175904,21.0,2.0,21.307275752662516,41.036569057366385,20.024984394500787,33.301651610693426,29.79932885150268,31.400636936215164,31.016124838541646,22.045407685048602,30.822070014844883,1.0,25.019992006393608,14.317821063276353,17.029386365926403,12.206555615733702,19.313207915827967,15.811388300841896,20.12461179749811,26.70205984563738,22.737634001804146,15.811388300841896,14.352700094407323
canary,20.12461179749811,7.0,30.23243291566195,32.449961479175904,32.449961479175904,30.23243291566195,7.0,20.12461179749811,16.09347693943108,13.638181696985855,9.219544457292887,,17.029386365926403,25.099800796022265,18.027756377319946,22.38302928559939,30.066592756745816,11.661903789690601,9.219544457292887,9.1104335791443,16.30950643030009,8.06225774829855,11.445523142259598,12.24744871391589,13.638181696985855,18.138357147217054,8.306623862918075,37.53664875824692,20.639767440550294,16.09347693943108,39.71145930332956,23.043437243605826,13.076696830622021,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195,32.449961479175904,21.0,2.0,21.307275752662516,41.036569057366385,20.024984394500787,33.301651610693426,29.79932885150268,31.400636936215164,31.016124838541646,22.045407685048602,30.822070014844883,1.0,25.019992006393608,14.317821063276353,17.029386365926403,12.206555615733702
