,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,factcheck,federalist,fivethirtyeight,fox,freebeacon,globalresearch,grayzone,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newsbud,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,reveal,rt,science,scientificamerican,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,voltairenetwork,vox,wapo,wsj
aljazeera,,13.379088160259652,8.06225774829855,18.05547008526779,16.15549442140351,10.44030650891055,6.708203932499369,13.892443989449804,6.708203932499369,7.810249675906654,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369,10.0,3.0,13.892443989449804,11.180339887498949,8.48528137423857,14.45683229480096,5.0,15.84297951775486,17.349351572897472,6.708203932499369,8.54400374531753,8.94427190999916,10.44030650891055,3.0,19.05255888325765,3.1622776601683795,15.84297951775486,11.180339887498949,19.05255888325765,3.0,10.0,12.529964086141668,19.87460691435179,11.575836902790225,5.830951894845301,5.656854249492381,17.146428199482248,7.211102550927978,6.708203932499369,12.649110640673518,6.324555320336759,12.727922061357855,11.0,16.06237840420901,3.0,6.324555320336759,12.96148139681572,10.770329614269007,18.49324200890693
alternet,13.379088160259652,,10.44030650891055,6.708203932499369,13.892443989449804,6.708203932499369,7.810249675906654,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369,10.0,3.0,13.892443989449804,11.180339887498949,8.48528137423857,14.45683229480096,5.0,15.84297951775486,17.349351572897472,6.708203932499369,8.54400374531753,8.94427190999916,10.44030650891055,3.0,19.05255888325765,3.1622776601683795,15.84297951775486,11.180339887498949,19.05255888325765,3.0,10.0,12.529964086141668,19.87460691435179,11.575836902790225,5.830951894845301,5.656854249492381,17.146428199482248,7.211102550927978,6.708203932499369,12.649110640673518,6.324555320336759,12.727922061357855,11.0,16.06237840420901,3.0,6.324555320336759,12.96148139681572,10.770329614269007,18.49324200890693,6.708203932499369,10.198039027185569,16.0312195418814
americanconservative,8.06225774829855,10.44030650891055,,6.708203932499369,7.810249675906654,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369,10.0,3.0,13.892443989449804,11.180339887498949,8.48528137423857,14.45683229480096,5.0,15.84297951775486,17.349351572897472,6.708203932499369,8.54400374531753,8.94427190999916,10.44030650891055,3.0,19.05255888325765,3.1622776601683795,15.84297951775486,11.180339887498949,19.05255888325765,3.0,10.0,12.529964086141668,19.87460691435179,11.575836902790225,5.830951894845301,5.656854249492381,17.146428199482248,7.211102550927978,6.708203932499369,12.649110640673518,6.324555320336759,12.727922061357855,11.0,16.06237840420901,3.0,6.324555320336759,12.96148139681572,10.770329614269007,18.49324200890693,6.708203932499369,10.198039027185569,16.0312195418814,7.615773105863909,10.198039027185569
americanthinker,18.05547008526779,6.708203932499369,6.708203932499369,,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369,10.0,3.0,13.892443989449804,11.180339887498949,8.48528137423857,14.45683229480096,5.0,15.84297951775486,17.349351572897472,6.708203932499369,8.54400374531753,8.94427190999916,10.44030650891055,3.0,19.05255888325765,3.1622776601683795,15.84297951775486,11.180339887498949,19.05255888325765,3.0,10.0,12.529964086141668,19.87460691435179,11.575836902790225,5.830951894845301,5.656854249492381,17.146428199482248,7.211102550927978,6.708203932499369,12.649110640673518,6.324555320336759,12.727922061357855,11.0,16.06237840420901,3.0,6.324555320336759,12.96148139681572,10.770329614269007,18.49324200890693,6.708203932499369,10.198039027185569,16.0312195418814,7.615773105863909,10.198039027185569,7.615773105863909
antiwar,16.15549442140351,13.892443989449804,7.810249675906654,7.211102550927978,,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369,10.0,3.0,13.892443989449804,11.180339887498949,8.48528137423857,14.45683229480096,5.0,15.84297951775486,17.349351572897472,6.708203932499369,8.54400374531753,8.94427190999916,10.44030650891055,3.0,19.05255888325765,3.1622776601683795,15.84297951775486,11.180339887498949,19.05255888325765,3.0,10.0,12.529964086141668,19.87460691435179,11.575836902790225,5.830951894845301,5.656854249492381,17.146428199482248,7.211102550927978,6.708203932499369,12.649110640673518,6.324555320336759,12.727922061357855,11.0,16.06237840420901,3.0,6.324555320336759,12.96148139681572,10.770329614269007,18.49324200890693,6.708203932499369,10.198039027185569,16.0312195418814,7.615773105863909,10.198039027185569,7.615773105863909
ap,10.44030650891055,6.708203932499369,7.211102550927978,13.92838827718412,13.92838827718412,,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369,10.0,3.0,13.892443989449804,11.180339887498949,8.48528137423857,14.45683229480096,5.0,15.84297951775486,17.349351572897472,6.708203932499369,8.54400374531753,8.94427190999916,10.44030650891055,3.0,19.05255888325765,3.1622776601683795,15.84297951775486,11.180339887498949,19.05255888325765,3.0,10.0,12.529964086141668,19.87460691435179,11.575836902790225,5.830951894845301,5.656854249492381,17.146428199482248,7.211102550927978,6.708203932499369,12.649110640673518,6.324555320336759,12.727922061357855,11.0,16.06237840420901,3.0,6.324555320336759,12.96148139681572,10.770329614269007,18.49324200890693,6.708203932499369,10.198039027185569,16.0312195418814,7.615773105863909,10.198039027185569
atlantic,6.708203932499369,7.810249675906654,13.92838827718412,14.317821063276353,14.317821063276353,13.92838827718412,,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369,10.0,3.0,13.892443989449804,11.180339887498949,8.48528137423857,14.45683229480096,5.0,15.84297951775486,17.349351572897472,6.708203932499369,8.54400374531753,8.94427190999916,10.44030650891055,3.0,19.05255888325765,3.1622776601683795,15.84297951775486,11.180339887498949,19.05255888325765,3.0,10.0,12.529964086141668,19.87460691435179,11.575836902790225,5.830951894845301,5.656854249492381,17.146428199482248,7.211102550927978,6.708203932499369,12.649110640673518,6.324555320336759,12.727922061357855,11.0,16.06237840420901,3.0,6.324555320336759,12.96148139681572,10.770329614269007,18.49324200890693,6.708203932499369,10.198039027185569,16.0312195418814
axios,13.892443989449804,7.211102550927978,14.317821063276353,3.0,3.0,14.317821063276353,7.211102550927978,,6.708203932499369,7.810249675906654,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369,10.0,3.0,13.892443989449804,11.180339887498949,8.48528137423857,14.45683229480096,5.0,15.84297951775486,17.349351572897472,6.708203932499369,8.54400374531753,8.94427190999916,10.44030650891055,3.0,19.05255888325765,3.1622776601683795,15.84297951775486,11.180339887498949,19.05255888325765,3.0,10.0,12.529964086141668,19.87460691435179,11.575836902790225,5.830951894845301,5.656854249492381,17.146428199482248,7.211102550927978,6.708203932499369,12.649110640673518,6.324555320336759,12.727922061357855,11.0,16.06237840420901,3.0,6.324555320336759,12.96148139681572,10.770329614269007,18.49324200890693
breitbart,6.708203932499369,13.92838827718412,3.0,7.211102550927978,7.211102550927978,3.0,13.92838827718412,6.708203932499369,,10.44030650891055,6.708203932499369,13.892443989449804,6.708203932499369,7.810249675906654,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369,10.0,3.0,13.892443989449804,11.180339887498949,8.48528137423857,14.45683229480096,5.0,15.84297951775486,17.349351572897472,6.708203932499369,8.54400374531753,8.94427190999916,10.44030650891055,3.0,19.05255888325765,3.1622776601683795,15.84297951775486,11.180339887498949,19.05255888325765,3.0,10.0,12.529964086141668,19.87460691435179,11.575836902790225,5.830951894845301,5.656854249492381,17.146428199482248,7.211102550927978,6.708203932499369,12.649110640673518,6.324555320336759,12.727922061357855,11.0,16.06237840420901,3.0
businessinsider,7.810249675906654,14.317821063276353,7.211102550927978,20.346989949375804,20.346989949375804,7.211102550927978,14.317821063276353,7.810249675906654,10.44030650891055,,13.379088160259652,8.06225774829855,18.05547008526779,16.15549442140351,10.44030650891055,6.708203932499369,13.892443989449804,6.708203932499369,7.810249675906654,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369,10.0,3.0,13.892443989449804,11.180339887498949,8.48528137423857,14.45683229480096,5.0,15.84297951775486,17.349351572897472,6.708203932499369,8.54400374531753,8.94427190999916,10.44030650891055,3.0,19.05255888325765,3.1622776601683795,15.84297951775486,11.180339887498949,19.05255888325765,3.0,10.0,12.529964086141668,19.87460691435179,11.575836902790225,5.830951894845301,5.656854249492381,17.146428199482248,7.211102550927978,6.708203932499369,12.649110640673518
