,aljazeera,alternet,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,independent,infowars,intercept,motherjones,nationalreview,nbc,npr,nypost,nytimes,observerny,pjmedia,rawstory,redstate,rt,slate,spectator,time,townhall,usatoday,vice,vox,wapo,wsj
aljazeera,,17.26267650163207,13.341664064126334,4.242640687119285,16.0,14.0,1.4142135623730951,5.0,1.4142135623730951,5.385164807134504,13.416407864998739,12.0,17.72004514666935,3.0,0.0,25.0,0.0,17.46424919657298,22.22611077089287,17.72004514666935,25.0,13.19090595827292,5.0,14.0,2.0,17.029386365926403,25.45584412271571,21.400934559032695,2.0,0.0,0.0,0.0,17.72004514666935,2.0,0.0,21.42428528562855,2.0,21.400934559032695,24.779023386727733,0.0,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615
alternet,17.26267650163207,,14.0,1.4142135623730951,5.0,1.4142135623730951,5.385164807134504,13.416407864998739,12.0,17.72004514666935,3.0,0.0,25.0,0.0,17.46424919657298,22.22611077089287,17.72004514666935,25.0,13.19090595827292,5.0,14.0,2.0,17.029386365926403,25.45584412271571,21.400934559032695,2.0,0.0,0.0,0.0,17.72004514666935,2.0,0.0,21.42428528562855,2.0,21.400934559032695,24.779023386727733,0.0,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0
ap,13.341664064126334,14.0,,1.4142135623730951,5.385164807134504,13.416407864998739,12.0,17.72004514666935,3.0,0.0,25.0,0.0,17.46424919657298,22.22611077089287,17.72004514666935,25.0,13.19090595827292,5.0,14.0,2.0,17.029386365926403,25.45584412271571,21.400934559032695,2.0,0.0,0.0,0.0,17.72004514666935,2.0,0.0,21.42428528562855,2.0,21.400934559032695,24.779023386727733,0.0,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0,15.033296378372908,14.866068747318506
atlantic,4.242640687119285,1.4142135623730951,1.4142135623730951,,13.416407864998739,12.0,17.72004514666935,3.0,0.0,25.0,0.0,17.46424919657298,22.22611077089287,17.72004514666935,25.0,13.19090595827292,5.0,14.0,2.0,17.029386365926403,25.45584412271571,21.400934559032695,2.0,0.0,0.0,0.0,17.72004514666935,2.0,0.0,21.42428528562855,2.0,21.400934559032695,24.779023386727733,0.0,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0,15.033296378372908,14.866068747318506,15.033296378372908
bbc,16.0,5.0,5.385164807134504,13.416407864998739,,12.0,17.72004514666935,3.0,0.0,25.0,0.0,17.46424919657298,22.22611077089287,17.72004514666935,25.0,13.19090595827292,5.0,14.0,2.0,17.029386365926403,25.45584412271571,21.400934559032695,2.0,0.0,0.0,0.0,17.72004514666935,2.0,0.0,21.42428528562855,2.0,21.400934559032695,24.779023386727733,0.0,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0,15.033296378372908,14.866068747318506,15.033296378372908
breitbart,14.0,1.4142135623730951,13.416407864998739,12.0,12.0,,12.0,17.72004514666935,3.0,0.0,25.0,0.0,17.46424919657298,22.22611077089287,17.72004514666935,25.0,13.19090595827292,5.0,14.0,2.0,17.029386365926403,25.45584412271571,21.400934559032695,2.0,0.0,0.0,0.0,17.72004514666935,2.0,0.0,21.42428528562855,2.0,21.400934559032695,24.779023386727733,0.0,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0,15.033296378372908,14.866068747318506
businessinsider,1.4142135623730951,5.385164807134504,12.0,17.72004514666935,17.72004514666935,12.0,,13.416407864998739,12.0,17.72004514666935,3.0,0.0,25.0,0.0,17.46424919657298,22.22611077089287,17.72004514666935,25.0,13.19090595827292,5.0,14.0,2.0,17.029386365926403,25.45584412271571,21.400934559032695,2.0,0.0,0.0,0.0,17.72004514666935,2.0,0.0,21.42428528562855,2.0,21.400934559032695,24.779023386727733,0.0,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0
buzzfeed,5.0,13.416407864998739,17.72004514666935,3.0,3.0,17.72004514666935,13.416407864998739,,1.4142135623730951,5.385164807134504,13.416407864998739,12.0,17.72004514666935,3.0,0.0,25.0,0.0,17.46424919657298,22.22611077089287,17.72004514666935,25.0,13.19090595827292,5.0,14.0,2.0,17.029386365926403,25.45584412271571,21.400934559032695,2.0,0.0,0.0,0.0,17.72004514666935,2.0,0.0,21.42428528562855,2.0,21.400934559032695,24.779023386727733,0.0,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615
cbs,1.4142135623730951,12.0,3.0,0.0,0.0,3.0,12.0,1.4142135623730951,,14.0,1.4142135623730951,5.0,1.4142135623730951,5.385164807134504,13.416407864998739,12.0,17.72004514666935,3.0,0.0,25.0,0.0,17.46424919657298,22.22611077089287,17.72004514666935,25.0,13.19090595827292,5.0,14.0,2.0,17.029386365926403,25.45584412271571,21.400934559032695,2.0,0.0,0.0,0.0,17.72004514666935,2.0,0.0,21.42428528562855,2.0,21.400934559032695,24.779023386727733,0.0
cnn,5.385164807134504,17.72004514666935,0.0,25.0,25.0,0.0,17.72004514666935,5.385164807134504,14.0,,17.26267650163207,13.341664064126334,4.242640687119285,16.0,14.0,1.4142135623730951,5.0,1.4142135623730951,5.385164807134504,13.416407864998739,12.0,17.72004514666935,3.0,0.0,25.0,0.0,17.46424919657298,22.22611077089287,17.72004514666935,25.0,13.19090595827292,5.0,14.0,2.0,17.029386365926403,25.45584412271571,21.400934559032695,2.0,0.0,0.0,0.0,17.72004514666935,2.0,0.0
